"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Galp Energa","9.58B","-","-","197.53K","-","-","0.37","-"
"Asahi Kaisei Corp","9.57B","-","-","103.68K","-","-","-","-"
"ASE Industrial ADR","9.55B","16.40","9.09B","903.35K","0.27","-","0.13","3.67%"
"Polymetal","9.53B","-","2.24B","4.34K","-","-","-","2.95%"
"Vistra Energy","9.52B","10.88","11.81B","5.51M","1.81","1.01","0.54","2.73%"
"SVB","9.52B","10.26","1.78B","680.72K","18.84","2.21","-","-"
"Puma SE","9.49B","-","121.05M","367.00","-3.11","0.37","0.50","0.66%"
"NetApp","9.48B","10.26","5.60B","2.79M","4.27","1.29","1.92","4.39%"
"China Resources Cement ADR","9.46B","-","-","1.83K","-","-","2.04","-"
"Red Electrica ADR","9.45B","-","-","83.71K","-","-","0.55","-"
"Qiagen","9.45B","-","1.53B","2.42M","-0.19","0.31","-","-"
"Red Electrica","9.45B","-","65.82M","3.43K","-","-","-","5.12%"
"Schroders","9.44B","-","-","1.73K","-","-","-","4.05%"
"Arch Capital","9.44B","6.20","6.81B","2.31M","3.88","0.68","-","-"
"Hasbro","9.42B","22.01","5.09B","1.92M","3.28","0.94","2.72","3.77%"
"MongoDB","9.41B","-","421.72M","1.27M","-3.13","-","-","-"
"Expedia","9.41B","18.96","12.07B","4.69M","3.74","1.55","1.36","1.92%"
"Yakult Honsha ADR","9.39B","-","-","1.41K","-","-","-","-"
"Huaneng Power","9.38B","514.68","3.79B","34.06K","0.03","0.74","0.60","3.99%"
"Magellan","9.38B","9.22","2.73B","2.38M","4.46","1.05","4.11","9.99%"
"China Southern Airlines ADR","9.38B","16.51","3.40B","59.55K","1.52","1.79","0.35","1.45%"
"Huntington Bancshares D ADR","9.37B","-","-","71.68K","-","-","1.56","-"
"Celanese","9.37B","13.67","6.30B","1.17M","6.08","1.33","2.48","2.99%"
"Huntington Bancshares","9.37B","-","-","9.45K","-","-","1.47","-"
"NiSource","9.37B","28.64","5.21B","4.00M","0.88","0.31","0.84","3.35%"
"Temenos ADR","9.34B","-","-","7.48K","-","-","1.39","-"
"Orkla ASA ADR","9.33B","-","-","67.39K","-","-","0.22","-"
"Orkla","9.33B","-","-","74.95K","-","-","-","3.78%"
"GSX Techedu A","9.30B","338.26","52.45M","3.91M","0.12","-","-","-"
"CH Robinson","9.30B","19.72","15.36B","2.08M","3.60","0.54","2.04","2.88%"
"Bureau Veritas","9.29B","-","-","886.00","-","-","-","2.55%"
"Heico A","9.29B","32.47","2.10B","662.38K","2.70","1.08","0.16","0.18%"
"Renesas Electronics ADR","9.27B","-","-","14.98K","-","-","-","-"
"WR Berkley","9.25B","21.02","7.78B","1.20M","2.57","0.80","0.44","0.81%"
"Intertek Group Plc","9.23B","-","-","1.77K","-","-","1.32","-"
"Kansai Electric ADR","9.22B","-","-","906.00","-","-","-","-"
"Universal Health Services","9.21B","12.90","11.40B","940.39K","8.19","1.05","0.80","0.76%"
"Inpex ADR","9.20B","-","-","55.74K","-","-","-","-"
"Zhongsheng ADR","9.17B","-","-","0.00","-","-","0.47","-"
"Tokyu ADR","9.16B","-","-","307.00","-","-","-","-"
"Citizens Financial Group Inc","9.14B","7.67","3.97B","6.90M","2.92","1.80","1.56","6.97%"
"Consumers Energy Co Pref","9.12B","12.79","6.38B","473.00","8.44","0.12","4.50","-"
"Wynn Macau ADR","9.12B","-","-","50.46K","-","-","1.15","-"
"Wynn Macau Ltd","9.12B","-","4.61B","19.00K","-","-","-","1.75%"
"Yara International ASA","9.11B","-","-","36.80K","-","-","0.73","-"
"Nordson","9.11B","27.50","2.19B","306.52K","5.85","1.19","1.52","0.94%"
"WPP ADR","9.10B","12.34","291.15M","401.24K","3.14","1.38","3.79","9.79%"
"Darden Restaurants","9.07B","14.31","8.77B","3.77M","5.16","1.31","3.52","10.30%"
"Coca Cola HBC ADR","9.05B","32.55","-","10.75K","0.69","1.57","2.88","-"
"Zillow Group Inc","9.04B","-","2.74B","1.08M","-1.48","1.14","-","-"
