"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Erie Indemnity","9.03B","32.83","2.48B","138.77K","5.42","0.54","3.86","2.17%"
"Aqua America","9.01B","42.90","889.69M","1.39M","0.97","0.48","0.94","2.24%"
"Avery Dennison","9.00B","15.99","7.05B","679.29K","6.90","1.21","2.32","2.10%"
"Cognex","8.99B","50.64","719.38M","1.37M","1.09","1.81","0.22","0.40%"
"Allegion PLC","8.99B","29.38","2.87B","902.59K","3.42","1.21","1.28","1.27%"
"TC Energy","8.99B","15.13","291.61M","2.70M","3.06","0.78","2.33","4.73%"
"Packaging America","8.98B","14.08","6.94B","1.02M","6.86","1.30","3.16","3.27%"
"Loews","8.97B","11.33","14.98B","1.57M","3.06","0.77","0.25","0.72%"
"Hitachi Chemical ADR","8.96B","-","-","1.07K","-","-","-","-"
"Peloton Interactive","8.95B","-","694.30M","7.62M","-","-","-","-"
"Bilibili","8.94B","-","149.11M","6.09M","-0.56","-","-","-"
"Want Want China Holdings","8.94B","-","-","330.00","-","-","1.77","-"
"Franklin Resources","8.93B","9.66","5.68B","6.01M","1.95","1.28","1.08","5.73%"
"Lamb Weston Holdings","8.93B","20.06","3.95B","1.61M","3.24","0.92","0.92","1.42%"
"Kikkoman ADR","8.93B","-","-","2.15K","-","-","-","-"
"Bank Ireland","8.92B","82.52","136.93M","29.92K","0.18","2.55","0.00","-"
"Banco De Chile","8.91B","12.74","34.22B","187.87K","1.41","0.51","0.84","4.65%"
"Erste Group Bank AG PK","8.91B","-","-","130.30K","-","-","0.78","-"
"Erste Group Bank AG","8.91B","-","121.19M","5.18K","-","-","-","-"
"Davide Campari-Milano SpA","8.91B","-","-","4.09K","-","-","0.06","-"
"Cypress","8.90B","230.37","2.21B","12.09M","0.10","1.37","0.44","1.85%"
"Zillow C","8.88B","-","2.74B","4.47M","-1.48","1.09","-","-"
"GDS Holdings","8.87B","-","90.69M","1.47M","-0.52","1.58","-","-"
"Live Nation Entertainment","8.86B","-","11.55B","6.04M","-0.07","1.11","-","-"
"United Rentals","8.85B","8.38","9.35B","1.92M","15.33","2.27","-","-"
"Neurocrine","8.85B","297.62","788.08M","807.30K","0.33","1.26","-","-"
"Sarepta","8.84B","-","380.83M","859.36K","-9.67","1.85","-","-"
"Dentsply","8.82B","36.14","4.03B","2.67M","1.17","1.04","0.40","0.94%"
"Gjensidige Forsikring ADR","8.81B","-","-","1.11K","-","-","0.78","-"
"Carl Zeiss Meditec ADR","8.81B","-","-","776.00","-","-","0.71","-"
"Dropbox","8.80B","-","1.66B","6.28M","-0.13","-","-","-"
"Raymond James Financial","8.79B","8.95","8.08B","1.44M","7.36","1.36","1.48","2.25%"
"Persimmon","8.79B","9.38","80.29M","132.39K","1.80","1.13","1.10","4.99%"
"Persimmon Plc","8.79B","-","-","27.01K","-","-","5.97","-"
"Mowi","8.78B","-","-","5.37K","-","-","1.56","5.54%"
"Mowi ADR","8.78B","-","-","184.70K","-","-","1.15","-"
"Kinnevik B","8.76B","-","-","1.10K","-","-","-","-"
"Kirkland Lake Gold","8.76B","16.07","1.38B","2.77M","0.46","2.67","0.50","0.35%"
"Annaly Capital Management","8.75B","-","929.16M","24.08M","-3.53","1.15","1.00","16.00%"
"Tele2 AB","8.73B","-","-","43.62K","-","-","0.56","-"
"Zscaler","8.72B","-","360.10M","3.11M","-0.50","-","-","-"
"Iliad S A U","8.72B","-","-","7.00K","-","-","0.07","-"
"E-TRADE","8.72B","11.73","3.15B","6.23M","3.46","1.22","0.56","1.38%"
"Bio-Techne","8.72B","47.51","754.51M","257.28K","4.74","1.09","1.28","0.57%"
"Medical Properties","8.71B","20.99","967.88M","5.50M","0.82","0.66","1.08","6.30%"
"Wynn Resorts","8.71B","74.70","6.61B","6.20M","1.14","2.53","4.00","4.68%"
"Yaskawa Electric","8.71B","-","-","15.41K","-","-","-","-"
"Huntington Bancshares","8.70B","9.46","2.82B","14.43M","0.98","1.56","0.60","6.49%"
"Sun Life Financial","8.69B","10.87","716.34M","912.17K","3.16","1.01","1.56","3.64%"
"Pool","8.64B","33.30","3.28B","322.32K","6.36","0.74","2.32","1.10%"
