"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Teleperformance PK","13.18B","-","-","15.50K","-","-","2.35","-"
"National Bank of Canada","13.18B","-","135.12M","10.01K","-","-","2.03","4.20%"
"JM Smucker","13.17B","20.97","7.61B","1.20M","5.48","0.17","3.52","3.06%"
"Dover","13.17B","18.36","7.07B","1.27M","5.10","1.41","1.96","2.09%"
"POSCO","13.17B","7.91","1.42T","312.45K","4.70","1.19","0.82","6.33%"
"Rollins","13.11B","65.00","2.07B","1.55M","0.62","0.38","0.32","0.80%"
"Swedbank AB","13.11B","10.13","690.84M","148.10K","1.16","0.86","0.92","11.06%"
"Bunge Pref","13.09B","-","41.14B","14.41K","-9.44","0.83","4.88","5.04%"
"Hewlett Packard","13.04B","10.58","28.53B","11.45M","0.97","1.38","0.48","4.66%"
"Bio-Rad Labs B","13.03B","7.56","2.31B","671.00","58.20","1.05","-","-"
"Broadridge","12.98B","32.39","4.35B","1.13M","3.58","0.90","2.16","1.86%"
"Fannie Mae 5.375 I","12.97B","53.15","120.25B","10.96K","0.03","1.98","-","-"
"Sumitomo Realty ADR","12.90B","-","-","0.00","-","-","-","-"
"Bio-Rad Labs","12.90B","7.56","2.31B","241.64K","58.20","1.05","-","-"
"Lexington Realty Trust Pref","12.86B","9.69","407.22M","3.99K","1.12","0.79","3.25","3.86%"
"Peugeot SA","12.84B","-","-","57.81K","-","-","0.88","-"
"NortonLifeLock","12.81B","34.40","3.07B","8.92M","0.62","0.87","0.50","2.35%"
"Siam Cement ADR","12.79B","-","-","765.00","-","-","0.44","-"
"Hartford","12.78B","8.11","20.76B","3.63M","4.69","0.97","1.30","3.42%"
"Woodside Petroleum ADR","12.77B","-","-","97.93K","-","-","0.91","-"
"Invitation Homes","12.76B","87.99","1.76B","4.90M","0.27","-","0.60","2.51%"
"Hologic","12.76B","29.77","3.39B","3.06M","1.68","1.44","-","-"
"Nissan Motor","12.75B","-","-","39.92K","-","-","-","6.35%"
"Nissan Motor ADR","12.75B","34.34","231.07B","326.43K","0.20","0.96","0.72","10.39%"
"Nomura ADR","12.74B","5.87","45.78B","402.48K","0.71","0.98","0.16","3.98%"
"Healthpeak Properties","12.73B","290.80","2.00B","4.84M","0.09","0.71","1.48","5.66%"
"ENN Energy Holdings","12.72B","-","-","22.34K","-","-","0.61","-"
"Evergy","12.68B","20.81","5.15B","2.34M","2.81","0.49","2.02","3.46%"
"Discover","12.67B","6.42","7.03B","4.76M","6.69","1.85","1.76","4.10%"
"Exor","12.65B","-","-","3.33K","-","-","-","0.72%"
"Fifth Third","12.65B","8.20","4.79B","8.49M","2.28","1.73","1.08","5.78%"
"iQIYI","12.63B","-","637.86M","9.11M","-2.00","-","-","-"
"Terna Rete Elettrica Nazionale","12.62B","-","-","46.50K","-","-","0.80","-"
"DISH Network","12.57B","9.62","12.81B","4.18M","2.60","1.67","-","-"
"BeiGene","12.57B","-","428.21M","345.98K","-16.80","1.40","-","-"
"China Resources Gas ADR","12.57B","-","-","0.00","-","-","1.91","-"
"Oaktree","12.55B","17.11","579.90M","548.75K","3.01","0.54","3.05","5.92%"
"Mid-America Apartment","12.54B","38.54","1.64B","937.93K","2.90","0.66","4.00","3.57%"
"Korea Electric Power","12.54B","-","1.30T","233.12K","-1.51","0.85","-","3.05%"
"Mid-America Apartment Pref","12.54B","-","-","2.60K","-","-","4.25","-"
"Tyler Technologies","12.51B","77.82","1.09B","327.63K","4.12","0.72","-","-"
"Pan Pacific Intl","12.50B","-","-","19.59K","-","-","-","-"
"Enel Americas ADR","12.49B","6.82","14.31B","1.92M","1.19","1.22","0.49","6.00%"
"GBL","12.49B","-","-","2.32K","-","-","-","2.50%"
"Xylem","12.47B","32.49","5.25B","1.61M","2.21","1.07","1.04","1.45%"
"Brussel Lambert ADR","12.46B","-","-","483.00","-","-","0.34","-"
"Newcrest Mining","12.45B","-","-","27.54K","-","-","-","0.67%"
"Newcrest Mining Ltd PK","12.45B","-","-","113.20K","-","-","0.22","-"
"Ryanair","12.42B","-","188.63M","3.00K","-","-","-","-"
"Sun","12.41B","109.37","1.29B","794.19K","1.23","0.54","3.16","2.35%"
