"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Pembina Pipeline","4.97B","-","159.06M","2.12M","-","-","1.79","5.05%"
"Indorama Ventures ADR","4.97B","-","-","420.00","-","-","0.28","-"
"Berli Jucker ADR","4.97B","-","-","512.00","-","-","0.28","-"
"Toppan Printing","4.97B","-","-","995.00","-","-","-","-"
"Tech Data","4.97B","13.63","37.00B","802.29K","10.32","0.92","-","-"
"Prysmian ADR","4.96B","-","-","55.18K","-","-","0.24","-"
"Yanzhou Coal Mining","4.95B","2.78","1.49B","10.89K","2.71","0.99","1.42","18.89%"
"Switch","4.94B","164.68","462.31M","2.03M","0.11","-","0.12","0.67%"
"BWX Tech","4.92B","20.83","1.89B","767.97K","2.55","0.96","0.76","1.43%"
"Toyo Suisan Kaisha ADR","4.92B","-","-","530.00","-","-","5.35","-"
"YY A","4.92B","10.21","562.68M","1.10M","5.97","1.20","-","-"
"Arrow Electronics","4.91B","-","28.14B","754.54K","-3.42","1.46","-","-"
"Sonoco Products","4.90B","16.55","5.33B","655.26K","2.95","0.82","1.72","3.52%"
"HollyFrontier","4.90B","7.22","17.49B","3.07M","4.58","1.77","1.40","4.24%"
"LPL Financial","4.90B","9.10","5.62B","1.03M","6.61","1.50","1.00","1.66%"
"Assured Guaranty Muni Hold Pb Pref","4.89B","-","-","11.97K","-237.91","0.15","1.72","6.66%"
"Becle","4.89B","-","653.50M","17.40K","-","-","-","-"
"Tomra Systems ADR","4.89B","-","-","6.18K","-","-","0.51","-"
"Bank Ayudhya ADR","4.89B","-","-","300.00","-","-","0.55","-"
"Assured Guaranty Muni Hold Pe ELKS","4.89B","-","-","20.47K","-","-","1.56","-"
"BBMG ADR","4.88B","-","-","0.00","-","-","-","-"
"Ricoh Company","4.88B","13.30","44.39B","1.78K","0.52","0.83","0.24","0.69%"
"Chugoku Electric Power ADR","4.87B","-","-","0.00","-","-","-","-"
"Seaspan Pe Pref","4.85B","4.54","1.13B","30.69K","1.72","0.96","2.06","6.43%"
"Seaspan Pg","4.85B","4.54","1.13B","43.26K","1.72","0.96","2.05","6.43%"
"Gfl Environmental","4.85B","-","73.63M","1.91M","-","-","0.04","-"
"Five Below","4.85B","28.90","1.85B","1.49M","3.12","1.13","-","-"
"Kingdee Software ADR","4.84B","-","-","284.00","-","-","0.16","-"
"TCF Financial ADR C","4.84B","-","-","33.21K","-","-","1.43","-"
"IGM Financial Inc.","4.82B","-","68.80M","1.83K","-","-","1.62","6.10%"
"Mercury","4.81B","67.69","722.81M","426.88K","1.32","1.02","-","-"
"Zai Lab","4.81B","-","17.90M","470.66K","-2.05","-","-","-"
"Tandem Diabetes Care","4.81B","-","394.24M","1.43M","-0.28","0.58","-","-"
"Santander Consumer USA Holdings Inc","4.80B","7.30","8.02B","1.77M","2.14","1.25","0.88","5.64%"
"Spark New Zealand","4.80B","-","79.27M","40.04K","-","-","-","5.26%"
"United Therapeutics","4.80B","9.13","1.44B","692.54K","11.99","0.86","-","-"
"Husqvarna AB","4.80B","-","-","1.52K","-","-","0.46","-"
"CubeSmart","4.79B","28.56","643.92M","2.18M","0.88","0.27","1.32","5.24%"
"Athene Holding","4.79B","2.52","16.10B","2.59M","11.32","1.42","-","-"
"East West Bancorp","4.79B","7.82","1.03B","1.96M","4.48","2.02","1.10","3.14%"
"National Instruments","4.77B","18.65","1.35B","723.18K","2.06","1.04","1.04","2.71%"
"Impala Platinum Holdings Ltd PK","4.76B","-","-","198.68K","-","-","0.07","-"
"Nippon Shinyaku ADR","4.76B","-","-","627.00","-","-","-","-"
"Kimberly-Clark de Mexico","4.76B","-","-","51.19K","-","-","0.48","-"
"Boohoo.Com ADR","4.75B","-","-","2.56K","-","-","-","-"
"MGM China Holdings","4.75B","-","-","415.00","-","-","0.20","-"
"PCCW","4.74B","-","-","4.79K","-","-","-","7.20%"
"Krung Thai Bank Public Co","4.74B","-","-","1000.00","-","-","0.46","-"
"PCCW","4.74B","53.18","825.46M","1.96K","0.11","0.53","0.41","6.83%"
"Global Blood Therapeutics Inc","4.73B","-","2.11M","951.49K","-4.55","2.01","-","-"
