"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Gartner","10.25B","46.32","4.25B","1.08M","2.56","1.48","-","-"
"Molina Healthcare","10.22B","14.34","17.26B","808.50K","11.43","0.69","-","-"
"FactSet Research","10.19B","29.12","1.47B","385.91K","9.44","0.76","2.88","1.05%"
"Bangkok Dusit Medical ADR","10.18B","-","-","822.00","-","-","0.71","-"
"Phillips 66 Partners LP","10.17B","9.53","1.13B","867.56K","4.87","1.41","3.50","7.54%"
"Booz Allen Hamilton","10.16B","24.05","9.10B","1.49M","3.05","0.80","1.24","1.69%"
"China Eastern Airlines","10.16B","13.03","2.66B","52.57K","1.51","1.65","0.35","1.70%"
"LYFT","10.15B","-","3.62B","10.77M","-8.97","-","-","-"
"Meiji ADR","10.13B","-","-","773.00","-","-","-","-"
"Siemens Gamesa ADR","10.12B","-","-","4.46K","-","-","0.01","-"
"Ubiquiti","10.10B","32.35","1.20B","239.00K","5.01","1.12","0.90","0.74%"
"Tokyo Gas Co","10.10B","-","-","3.84K","-","-","-","-"
"ViacomCBS","10.10B","2.51","27.81B","14.80M","6.89","1.82","0.96","5.56%"
"Varian","10.09B","37.40","3.31B","907.08K","3.06","1.07","-","-"
"Tsingtao Brewery Co","10.09B","-","-","1.38K","-","-","0.73","-"
"Japan Exchange ADR","10.07B","-","-","47.61K","-","-","-","-"
"Swedish Match","10.02B","-","341.22M","1.98K","-","-","-","-"
"Arch Capital ADR E","10.00B","-","-","57.88K","-","-","1.31","-"
"Arch Capital ADR","10.00B","-","-","42.73K","-","-","1.36","-"
"Tingyi Cayman ADR","9.95B","-","-","991.00","-","-","-","-"
"Brown&Brown","9.93B","23.39","3.01B","1.88M","1.54","0.65","0.34","0.95%"
"Swedish Match Ab Ord","9.93B","-","-","22.64K","-","-","0.63","-"
"PerkinElmer","9.91B","44.02","2.88B","911.98K","2.06","1.34","0.28","0.31%"
"ASX ADR","9.91B","17.59","-","2.68K","1.88","0.59","2.33","-"
"Discovery Communications C","9.90B","7.78","13.85B","3.97M","2.88","1.55","-","-"
"Semiconductor Manufacturing","9.86B","46.28","668.90M","248.00K","0.12","0.55","-","-"
"Hongkong Land ADR","9.83B","-","-","5.74K","-","-","1.10","-"
"Uniper SE","9.82B","-","-","2.08K","-","-","-","3.42%"
"Elanco Animal Health","9.80B","134.60","3.07B","5.01M","0.19","-","-","-"
"Cincinnati Financial","9.80B","204.70","5.67B","1.13M","0.32","0.56","2.40","3.65%"
"Clarivate Analytics","9.79B","-","974.35M","1.88M","-0.77","-","-","-"
"Autohome ADR","9.78B","21.71","185.26M","688.09K","3.78","1.13","0.77","0.94%"
"Advantest DRC","9.77B","129.42","-","10.17K","0.38","1.47","0.19","1.53%"
"Fair Isaac","9.76B","46.53","1.23B","329.19K","7.58","1.16","-","-"
"Liberty Property","9.76B","46.59","638.98M","43.50M","1.34","0.84","1.64","2.62%"
"Edenred Malakoff ADR","9.75B","-","-","25.52K","-","-","0.49","-"
"Regions Financial","9.73B","8.39","3.23B","15.01M","1.28","1.70","0.62","5.77%"
"Koninklijke ADR","9.73B","14.48","125.44M","560.78K","0.16","0.26","0.14","5.89%"
"Danske Bank A/S ADR","9.73B","-","-","114.63K","-","-","0.63","-"
"Sino Land ADR","9.72B","-","-","1.81K","-","-","0.35","-"
"Ajinomoto ADR","9.70B","-","-","4.20K","-","-","-","-"
"Suzano Papel ADR","9.70B","-","-","421.57K","-","-","0.11","-"
"Polymetal International ADR","9.67B","-","-","1.27K","-","-","0.62","-"
"Hang Lung Properties","9.67B","-","-","59.77K","-","-","0.49","-"
"BB Seguridade Participacoes SA","9.66B","-","-","137.42K","-","-","0.97","-"
"Teradyne","9.63B","21.12","2.51B","2.40M","2.96","1.36","0.40","0.64%"
"Paddy Power Betfair ADR","9.62B","-","-","52.67K","-","-","1.25","-"
"Principal Financial","9.62B","8.14","16.27B","2.14M","4.47","1.62","2.24","6.15%"
"DaVita","9.61B","16.71","11.39B","1.66M","4.73","1.23","-","-"
"3i ADR","9.60B","-","-","9.95K","-","-","0.24","-"
