"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Kimco Realty Corp Pi ADR","4.73B","-","-","4.38K","-","-","1.50","-"
"Kimco Realty ADR","4.73B","-","-","31.95K","-","-","1.28","-"
"Euronet","4.73B","17.69","2.76B","921.68K","5.19","1.22","-","-"
"Acceleron P","4.73B","-","74.00M","536.95K","-2.39","0.76","-","-"
"Tohoku Electric ADR","4.73B","-","-","0.00","-","-","-","-"
"Kimco Realty Corp Pj ADR","4.73B","-","-","18.48K","-","-","1.38","-"
"Telekom Austria AG PK","4.72B","12.54","99.20M","778.00","1.09","0.29","0.50","5.66%"
"Localiza Rent A Car SA","4.71B","-","-","66.95K","-","-","0.09","-"
"PT Kalba Farma IDR","4.71B","-","-","1.19K","-","-","0.37","-"
"US Foods","4.69B","12.80","25.94B","4.14M","1.75","1.53","-","-"
"Flowers Foods","4.69B","28.70","4.12B","1.77M","0.78","0.38","0.76","3.41%"
"Brilliance China ADR","4.69B","4.88","84.96M","2.86K","1.89","1.77","0.14","3.03%"
"Store Capital Corp","4.69B","16.29","665.72M","4.58M","1.23","0.98","1.40","6.98%"
"Teck Resources B","4.68B","-","246.51M","6.24M","-2.03","1.52","0.14","1.60%"
"Johnson Matthey","4.67B","-","-","11.57K","-","-","2.15","-"
"Xinyi Glass Holdings","4.67B","-","-","2.00K","-","-","1.33","-"
"Williams-Sonoma","4.66B","13.72","5.90B","1.54M","4.51","1.57","1.92","3.10%"
"Cathay Airways","4.66B","57.12","2.35B","2.08K","0.23","1.04","0.08","1.14%"
"Ritchie Bros Auctioneers","4.66B","31.78","1.32B","610.34K","1.36","0.94","0.80","1.86%"
"Cathay Pacific Airways ADR","4.66B","-","-","19.38K","-","-","0.24","-"
"Seaspan Pd Pref","4.65B","4.54","1.13B","24.26K","1.72","0.96","1.99","6.43%"
"Electricity Generating ADR","4.64B","-","-","0.00","-","-","0.75","-"
"Fuchs Petrolub ADR","4.64B","-","-","65.61K","-","-","0.26","-"
"Guoco ADR","4.64B","-","-","296.00","-","-","1.02","-"
"Old Republic","4.64B","125.59","6.77B","2.50M","0.13","0.89","0.84","5.27%"
"Commerzbank AG PK","4.64B","6.42","148.15M","175.76K","0.58","1.52","0.22","-"
"MTN Group Ltd PK","4.64B","-","-","68.75K","-","-","0.32","-"
"Aboitiz Equity ADR","4.63B","-","-","7.36K","-","-","0.26","-"
"RSA Insurance ADR","4.63B","-","-","45.06K","-","-","0.30","-"
"Yamana Gold","4.63B","16.21","1.56B","26.94M","0.29","1.78","0.25","5.34%"
"FTI Consulting","4.62B","23.12","2.41B","455.21K","5.51","0.26","-","-"
"First Industrial RT","4.62B","18.79","431.78M","1.16M","2.01","0.89","1.00","2.65%"
"HD Supply","4.62B","11.01","6.15B","1.62M","2.70","1.14","-","-"
"Rexford Inl Rty","4.62B","87.03","267.21M","865.88K","0.47","0.69","0.86","2.11%"
"Forty Seven","4.60B","-","15.68M","1.99M","-2.47","-","-","-"
"Nippon Express ADR","4.59B","-","-","639.00","-","-","-","-"
"Telenet ADR","4.59B","-","-","1.58K","-","-","0.71","-"
"Kimco","4.59B","13.64","1.16B","6.86M","0.80","1.21","1.12","10.27%"
"CDK Global Holdings LLC","4.58B","24.63","1.76B","970.34K","1.59","1.33","0.60","1.53%"
"Seaspan Ph","4.58B","4.54","1.13B","60.63K","1.72","0.96","1.97","6.43%"
"Scnc App In","4.58B","21.29","6.38B","656.78K","3.83","1.05","1.48","1.81%"
"British Land Company","4.58B","-","-","334.23K","-","-","0.39","-"
"Comerica","4.57B","6.59","1.77B","3.01M","5.29","1.84","2.72","7.80%"
"Pan American Silver","4.57B","39.74","1.58B","4.41M","0.53","1.27","0.20","0.94%"
"Virtu Financial Inc","4.56B","-","1.53B","1.46M","-0.53","-0.41","0.96","4.06%"
"CoreSite","4.56B","60.86","581.19M","467.47K","1.99","0.32","4.88","4.03%"
"Globus Medical","4.56B","31.21","785.38M","959.92K","1.52","0.98","-","-"
"Lincoln Electrics","4.56B","18.01","2.95B","466.25K","4.47","1.26","1.96","2.43%"
"Flex","4.54B","-","24.86B","5.68M","-0.05","1.81","-","-"
"Nagacorp Ltd","4.54B","-","1.76B","15.99K","-","-","-","-"
