"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"China Evergrande ADR","23.51B","-","-","360.00","-","-","5.06","-"
"TE Connectivity","23.37B","35.54","13.05B","2.49M","2.07","1.31","1.84","2.50%"
"STMicroelectronics ADR","23.32B","22.28","9.71B","3.09M","1.15","1.51","0.24","0.94%"
"Bank Rakyat","23.32B","-","-","79.89K","-","-","0.61","-"
"Manulife","23.25B","6.35","1.75B","3.74M","1.98","1.29","0.77","6.69%"
"Cummins","23.23B","12.00","22.58B","1.59M","13.63","1.16","5.24","3.21%"
"Infineon ADR","23.22B","23.45","175.47M","395.88K","0.78","1.53","0.30","3.26%"
"Equity Residential","23.17B","25.06","2.70B","2.44M","2.60","0.69","2.41","3.70%"
"ZTO Express Cayman","23.17B","28.89","486.42M","2.59M","1.02","0.33","-","-"
"BYD Co Ltd-H","23.16B","-","2.68B","387.88K","-","-","-","0.35%"
"BYD ADR","23.16B","-","-","144.06K","-","-","0.06","-"
"AutoZone","23.15B","15.58","12.08B","340.57K","65.50","0.87","-","-"
"IDEXX Labs","23.10B","55.48","2.46B","728.01K","5.00","0.80","-","-"
"DSV","23.09B","-","-","60.31K","-","-","0.18","-"
"Alexion","23.09B","10.03","4.99B","2.65M","10.71","1.41","-","-"
"Glencore","23.05B","-","-","193.18K","-","-","-","6.69%"
"Glencore ADR","23.05B","-","-","449.54K","-","-","0.20","-"
"ResMed","23.03B","43.87","2.89B","839.02K","3.54","0.50","1.56","1.00%"
"CRH ADR","23.02B","13.70","552.84M","1.32M","2.20","1.02","0.92","3.06%"
"Agilent Technologies","22.97B","31.64","5.24B","2.54M","2.42","1.10","0.72","0.94%"
"China Unicom Hong Kong","22.93B","-","6.41B","1.84K","-","-","-","0.66%"
"China Unicom Hong Kong ADR","22.93B","12.80","6.41B","649.95K","0.50","1.03","0.19","3.10%"
"CoStar","22.88B","78.59","1.40B","352.23K","8.25","1.12","-","-"
"Hennes & Mauritz AB","22.88B","-","-","153.49K","-","-","0.20","-"
"Telstra Corporation ADR","22.83B","17.35","546.41M","62.70K","0.56","0.81","0.51","5.21%"
"Liberty Broadband Srs C","22.82B","187.38","14.86M","760.18K","0.64","1.09","-","-"
"ANTA Sports ADR","22.81B","-","-","2.65K","-","-","2.15","-"
"Heineken ADR","22.68B","-","-","12.24K","-","-","0.93","-"
"KBC Group SA","22.52B","-","-","199.30K","-","-","1.91","-"
"Resmed DRC","22.51B","-","-","13.06K","-","-","-","-"
"Williams","22.50B","27.28","8.20B","17.94M","0.71","1.78","1.60","8.26%"
"Synopsys","22.49B","50.30","3.37B","1.47M","3.12","1.14","-","-"
"Assicurazioni Generali ADR","22.46B","-","-","3.04K","-","-","0.50","-"
"American International Group","22.46B","-","-","479.09K","-","-","-","-"
"AvalonBay","22.31B","29.06","2.89B","1.19M","5.61","0.86","6.36","3.90%"
"Liberty Broadband Srs A","22.29B","187.38","14.86M","141.98K","0.64","1.09","-","-"
"Barclays ADR","22.26B","9.08","552.42M","6.87M","0.58","1.39","0.43","2.80%"
"Kellogg","22.26B","21.86","13.47B","2.68M","3.00","0.59","2.28","3.48%"
"Barclays","22.26B","-","552.42M","69.52K","-","-","-","3.07%"
"Fortescue Metals","22.21B","-","-","10.30K","-","-","-","-"
"Fortescue Metals ADR","22.21B","-","-","56.74K","-","-","1.24","-"
"Fubon Financial ADR","22.20B","-","-","0.00","-","-","0.48","-"
"Waste Connections","22.15B","40.09","5.39B","1.51M","2.14","0.46","0.74","0.86%"
"Otis Worldwide","22.15B","-","-","6.37M","-","-","-","-"
"FirstEnergy","22.14B","38.75","11.04B","4.84M","1.07","0.47","1.56","3.78%"
"Match Group","22.14B","43.47","2.05B","2.89M","1.83","0.57","-","-"
"State Street Corp Pc ADR","22.13B","-","-","177.22K","-","-","1.31","-"
"State Street Corp Pd ADR","22.13B","-","-","111.94K","-","-","1.47","-"
"State Street Corp Pe ADR","22.13B","-","-","88.39K","-","-","1.50","-"
"Credit Suisse","22.12B","-","383.00M","59.59K","-","-","-","1.85%"
