"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Allstate Corp Pa ADR","32.44B","-","-","10.40K","-","-","1.41","-"
"Allstate Corp Pe ADR","32.44B","-","-","39.85K","-","-","1.66","-"
"Lonza Group AG","32.44B","-","-","67.94K","-","-","0.14","-"
"Allstate Corp Pd ADR","32.44B","-","-","1.86K","-","-","1.66","-"
"Allstate Corp Pf ADR","32.44B","-","-","40.75K","-","-","1.56","-"
"Alimentation Couchen A","32.41B","15.71","57.56B","1.42K","1.84","0.79","0.10","0.68%"
"Orange ADR","32.39B","10.77","929.24M","847.59K","1.12","0.37","0.76","6.51%"
"ICICI Bank ADR","32.28B","19.31","16.68B","10.59M","0.51","1.25","0.03","0.29%"
"Compagnie Financiere Richemont","32.20B","-","-","904.36K","-","-","0.20","-"
"SBA Communications","32.19B","225.98","2.01B","1.00M","1.28","0.39","1.86","0.64%"
"Public Storage","32.18B","25.21","2.87B","1.35M","7.36","0.12","8.00","4.31%"
"Emerson","32.09B","16.23","17.97B","5.29M","3.51","1.51","2.00","3.51%"
"TAL Education","32.07B","-","4.91B","4.77M","-0.18","0.25","-","-"
"Public Storage Pa ADR","32.02B","-","-","31.83K","-","-","1.47","-"
"Public Storage Pv ADR","32.02B","-","-","53.07K","-","-","1.34","-"
"Public Storage Pw ADR","32.02B","-","-","46.43K","-","-","1.30","-"
"Public Storage Pu ADR","32.02B","-","-","4.52K","-","-","1.41","-"
"Public Storage Px ADR","32.02B","-","-","25.61K","-","-","1.30","-"
"Public Storage Pz ADR","32.02B","-","-","9.32K","-","-","1.50","-"
"Public Storage","32.00B","-","-","44.58K","-","-","1.23","-"
"Public Storage ADR","32.00B","-","-","30.08K","-","-","1.26","-"
"Public Storage ADR","32.00B","-","-","35.68K","-","-","1.29","-"
"Annaly Capital Management Pref","31.98B","-","929.16M","216.57K","-1.59","1.17","1.74","15.67%"
"Bank of NY Mellon","31.88B","-","10.76B","7.04M","-","1.10","1.24","3.30%"
"Muenchener Rueckver Ges","31.88B","-","-","131.20K","-","-","1.08","-"
"Canadian Pacific Railway","31.65B","12.96","177.50M","574.53K","15.25","0.92","2.35","-"
"Ross Stores","31.64B","19.86","16.04B","3.58M","4.60","0.81","1.14","1.25%"
"Allstate","31.56B","7.23","44.72B","2.44M","14.06","0.92","2.16","2.12%"
"DexCom","31.54B","210.49","1.48B","1.39M","1.59","0.73","-","-"
"Tokyo Electron Ltd PK","31.54B","-","-","76.64K","-","-","-","-"
"Tokyo Electron","31.54B","-","24.80B","329.00","-","-","-","4.26%"
"MetLife","31.53B","5.97","69.75B","8.48M","6.05","1.33","1.84","5.10%"
"KONE Oyj","31.46B","-","-","17.33K","-","-","-","3.31%"
"Kone Oyj ADR","31.46B","-","-","43.42K","-","-","0.95","-"
"eBay ELKS","31.44B","-","-","87.32K","-","-","1.50","-"
"Mitsubishi Corp","31.41B","-","-","42.10K","-","-","-","-"
"Monster Beverage","31.35B","30.50","4.20B","4.14M","2.03","0.99","-","-"
"eBay","31.27B","18.40","10.53B","15.44M","2.16","1.36","0.64","1.61%"
"BMW ADR","31.26B","-","-","157.98K","-","-","1.30","-"
"Bank of Montreal","31.20B","8.10","424.89M","1.11M","6.28","1.09","3.06","4.11%"
"OneSmart","31.20B","31.47","91.17M","262.17K","0.15","-","-","-"
"Annaly Capital Pref G","31.11B","-","929.16M","142.83K","-1.59","1.17","1.63","15.67%"
"Cognizant A","31.04B","17.64","16.78B","4.90M","3.29","1.20","0.88","1.52%"
"Givaudan ADR","31.00B","-","-","43.58K","-","-","1.26","-"
"FedEx","30.88B","-","69.67B","3.20M","-0.73","1.32","2.60","2.05%"
"Constellation Brands A","30.87B","-","8.34B","2.01M","-0.10","0.92","3.00","1.82%"
"Fanuc Corporation","30.80B","-","-","435.12K","-","-","-","-"
"SMC Corp","30.79B","-","11.63B","3.26K","-0.61","1.05","-","0.51%"
"SMC Corp Japan","30.79B","-","-","96.90K","-","-","-","-"
"Tokio Marine Holdings, Inc.","30.75B","-","-","2.32K","-","-","-","4.29%"
