"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"GCI Liberty A","6.55B","3.33","894.74M","704.37K","18.25","-","-","-"
"Axel Springer","6.54B","-","-","756.00","-","-","-","4.04%"
"Lenovo Group","6.54B","-","51.85B","18.18K","-","-","-","4.73%"
"Lenovo Group Ltd PK","6.54B","9.03","51.85B","43.48K","1.19","1.14","0.72","6.66%"
"Sanlam Ltd PK","6.52B","-","-","79.23K","-","-","0.36","-"
"James Hardie Industries ADR","6.51B","27.38","2.56B","73.19K","0.53","1.21","0.46","2.47%"
"Morningstar","6.51B","47.26","1.24B","108.15K","3.30","1.17","1.20","0.77%"
"Commerce Bancshares","6.50B","-","739.26M","662.05K","-","1.02","1.08","1.76%"
"Immunomedics","6.50B","-","290.00K","4.62M","-1.84","3.37","-","-"
"Dairy Farm ADR","6.48B","-","-","19.66K","-","-","1.05","-"
"Genpact","6.48B","22.03","3.52B","1.84M","1.56","1.13","0.39","1.13%"
"Aspen","6.47B","28.47","602.57M","754.68K","3.59","1.30","-","-"
"Ascendis Pharma AS","6.45B","-","294.14K","218.94K","-5.10","0.96","-","-"
"argenx ADR","6.44B","-","-","148.04K","-","-","-","-"
"Wix.Com Ltd","6.44B","-","761.09M","864.63K","-1.71","1.67","-","-"
"Knight Transportation","6.44B","22.27","4.76B","2.57M","1.67","1.34","0.32","0.86%"
"Kesko ADR","6.43B","-","-","19.93K","-","-","1.35","-"
"Acom ADR","6.41B","-","-","1.10K","-","-","-","-"
"Encompass Health","6.40B","18.33","4.61B","892.47K","3.61","0.86","1.12","1.69%"
"SCI","6.40B","18.27","3.23B","1.59M","2.01","0.71","0.76","2.07%"
"IPG","6.40B","9.97","10.22B","6.04M","1.70","1.08","1.02","6.01%"
"Centrais Eletricas Brasileiras ADR","6.39B","-","-","48.73K","-","-","0.37","-"
"Caesars","6.39B","-","8.74B","22.04M","-1.77","1.96","-","-"
"Panalpina Welttransport ADR","6.39B","-","-","2.20K","-","-","0.75","-"
"Raia Drogasil ADR","6.39B","-","-","12.68K","-","-","0.16","-"
"Origin Energy ADR","6.38B","-","-","642.00","-","1.95","0.19","6.14%"
"Genesee&Wyoming","6.38B","30.38","1.71B","4.28M","3.68","1.30","-","-"
"Buckeye Partners LP","6.38B","-","1.82B","2.57M","-0.61","0.72","3.00","7.24%"
"Pegasystems","6.37B","-","964.42M","507.29K","-1.10","1.24","0.12","0.14%"
"KASIKORNBANK Public Co","6.36B","-","-","129.63K","-","-","1.08","-"
"Kasikornbank DRC","6.36B","-","-","1.98K","-","-","-","-"
"Standard Life Aberdeen ADR","6.36B","-","-","6.93K","-","-","1.03","-"
"Arkema ADR","6.36B","-","-","9.76K","-","-","2.79","-"
"Lincoln National","6.35B","8.27","17.28B","3.15M","4.29","2.24","1.60","4.51%"
"Diamondback","6.35B","30.54","3.96B","5.11M","1.43","2.25","1.50","3.45%"
"IPG Photonics","6.34B","38.61","1.31B","515.09K","3.35","1.69","-","-"
"Rohm ADR","6.33B","-","-","4.21K","-","-","-","-"
"Smartsheet","6.32B","-","270.88M","1.51M","-0.84","-","-","-"
"Tallgrass Energy GP","6.31B","15.90","868.54M","6.38M","1.41","1.10","1.62","9.83%"
"Carlisle","6.31B","15.12","4.77B","556.01K","8.00","0.84","2.00","1.65%"
"CACI","6.30B","22.94","5.60B","196.79K","10.90","1.29","-","-"
"Penumbra Inc","6.30B","134.16","547.40M","339.01K","1.34","0.67","-","-"
"South32 ADR","6.29B","-","-","164.85K","-","-","0.20","-"
"Great Eastern ADR","6.28B","-","-","0.00","-","-","0.85","-"
"Jiangxi Copper ADR","6.28B","-","-","500.00","-","-","1.16","-"
"Grupo Aval","6.26B","-","-","284.69K","-","-","0.35","-"
"COSCO SHIPPING ADR","6.25B","-","-","2.33K","-","-","-","-"
"Just Eat Takeaway","6.24B","-","-","0.00","-","-","-","-"
"Federal Realty ADR C","6.24B","-","-","20.81K","-","-","1.25","-"
"Watsco B Inc","6.22B","25.57","4.85B","305.00","6.30","0.63","7.10","4.41%"
