"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Suntory Beverage & Food","11.61B","-","-","37.10K","-","-","0.34","-"
"Scottish Mortgage","11.60B","3.54","170.06K","774.00","0.91","1.18","0.03","0.47%"
"Martin Marietta Materials","11.60B","19.51","5.68B","862.11K","9.75","0.92","2.20","1.16%"
"Alliant Energy","11.59B","20.84","3.65B","1.95M","2.33","0.37","1.52","3.13%"
"Sodexo PK","11.59B","16.17","740.21M","55.43K","1.00","1.01","0.64","3.94%"
"Sodexo","11.59B","-","-","943.00","-","-","-","2.71%"
"Federal National Mortgage AN Pref","11.58B","-","-","17.06K","-","-","-","-"
"Federal Natl Mtg Pfd","11.58B","-","-","32.81K","-","-","1.55","-"
"Fannie Mae Pfd R","11.58B","-","-","20.07K","-","-","-","-"
"Fannie Mae Pfd S","11.58B","-","-","1.13M","-","-","-","-"
"Fed Natl Mtg Pfd M","11.58B","-","-","8.01K","-","-","2.38","-"
"Fannie Mae Pfd F","11.58B","-","-","3.86K","-","-","2.28","-"
"Fannie Mae Noncum G","11.58B","-","-","2.08K","-","-","2.30","-"
"Fed Natl Ntg Pfd O","11.58B","-","-","31.58K","-","-","-","-"
"Federal National Mortgage AM Pref","11.58B","53.46","120.25B","23.00K","0.03","2.08","-","-"
"Fed Ntl Mtg Ser Q","11.58B","-","-","10.73K","-","-","1.63","-"
"Federal Natl Pfd T","11.58B","-","-","167.94K","-","-","-","-"
"Federal Natl Pfd N","11.58B","-","-","12.25K","-","-","-","-"
"JBS SA","11.58B","-","-","244.73K","-","-","0.00","-"
"CarMax","11.56B","13.83","20.32B","2.22M","5.32","1.67","-","-"
"ONEOK","11.56B","15.59","10.16B","7.01M","1.92","2.08","3.74","12.50%"
"CHR Hansen Holding AS","11.56B","-","-","32.68K","-","-","0.50","-"
"Imperial Oil","11.53B","7.87","748.04M","1.09M","2.06","1.72","0.62","4.06%"
"Markel","11.53B","-","7.39B","63.62K","-14.35","0.64","-","-"
"IDEX","11.53B","28.19","2.47B","677.48K","5.45","1.05","2.00","1.30%"
"Wayfair Inc","11.53B","-","9.13B","4.34M","-10.66","3.19","-","-"
"JXTG ADR","11.51B","-","-","2.65K","-","-","-","-"
"Sonova Holding AG","11.51B","-","-","36.55K","-","-","0.58","-"
"Sekisui House ADR","11.48B","-","-","47.60K","-","-","-","-"
"Qorvo Inc","11.41B","34.46","3.13B","2.13M","2.88","1.41","-","-"
"Liberty Media SiriusXM B","11.39B","22.98","5.73B","476.00","1.54","1.40","-","-"
"KeyCorp ADR","11.33B","-","-","58.53K","-","-","1.53","-"
"Ventas","11.32B","29.03","3.87B","5.20M","1.11","1.08","3.17","9.80%"
"EXACT Sciences","11.30B","-","876.29M","2.50M","-0.71","1.88","-","-"
"Extra Space Storage","11.30B","27.20","1.31B","1.38M","3.24","0.19","3.60","4.08%"
"Toshiba Corp PK","11.27B","-","77.11B","31.30K","-1.33","1.02","0.09","1.47%"
"Magna Intl","11.23B","7.10","39.43B","1.42M","5.49","1.63","1.60","4.10%"
"NVR","11.23B","14.18","7.32B","37.92K","218.69","1.01","-","-"
"Heico","11.22B","32.47","2.10B","1.02M","2.70","1.08","0.16","0.18%"
"Chandra Asri ADR","11.17B","-","-","2.80K","-","-","0.05","-"
"Concho Resources","11.17B","-","4.41B","2.98M","-47.57","1.89","0.80","1.41%"
"CenturyLink","11.15B","-","22.40B","13.14M","-4.93","1.04","1.00","9.42%"
"West Japan Railway ADR","11.13B","-","-","14.54K","-","-","-","-"
"ArcelorMittal","11.11B","-","-","246.60K","-","-","-","0.48%"
"ArcelorMittal ADR","11.11B","-","70.62B","4.01M","-2.42","2.38","0.20","1.82%"
"Credicorp","11.08B","9.38","223.22M","456.80K","15.89","0.92","6.03","4.05%"
"Cable One Inc","11.05B","62.97","1.17B","43.48K","31.13","0.51","9.00","0.46%"
"Equity Lifestyle","11.02B","48.94","1.05B","1.28M","1.23","0.47","1.37","2.27%"
"Waters","11.02B","22.99","2.36B","604.63K","8.13","0.95","-","-"
"Discovery A","10.98B","7.78","13.85B","5.67M","2.88","1.55","-","-"
