"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Centrais Electricas Brasileiras","6.22B","-","-","919.53K","-","-","0.21","-"
"Hellenic Telecommunications Org","6.22B","29.41","128.21M","12.60K","0.23","0.90","0.26","0.50%"
"Renaissancere","6.21B","8.99","4.99B","400.98K","16.24","0.39","1.40","0.96%"
"Post","6.21B","72.26","5.73B","664.86K","1.27","0.59","-","-"
"Assurant","6.20B","18.94","10.09B","530.38K","5.61","0.58","2.52","2.37%"
"ON Semiconductor","6.19B","31.83","5.52B","10.49M","0.50","2.26","-","-"
"Beyond Meat","6.19B","-","297.90M","6.58M","-0.30","-","-","-"
"Ayala ADR","6.19B","-","-","1.16K","-","-","0.16","-"
"Land Securities ADR","6.18B","-","-","4.87K","-","-","0.59","-"
"Ipsen ADR","6.18B","-","-","3.89K","-","-","0.58","-"
"Reinsurance of America","6.17B","7.68","14.33B","808.48K","13.63","1.19","2.80","2.67%"
"Jazz Pharma","6.16B","12.11","2.16B","693.43K","9.10","1.20","-","-"
"Sinopec Shanghai Petrochemical ADR","6.16B","9.17","1.94B","67.15K","2.90","0.74","1.70","13.67%"
"BanColombia","6.16B","7.96","281.18B","626.88K","3.28","1.27","1.57","6.00%"
"Koito Manufacturing ADR","6.14B","-","-","10.57K","-","-","-","-"
"Enagas SA","6.14B","-","-","35.25K","-","-","0.87","-"
"Omega Healthcare","6.14B","19.03","928.83M","2.96M","1.53","0.84","2.68","9.19%"
"Bank of East Asia","6.14B","17.91","780.56M","3.72K","0.12","0.70","0.05","2.19%"
"Watsco","6.12B","25.57","4.85B","349.35K","6.30","0.63","7.10","4.41%"
"Clariant AG","6.12B","-","-","1.73K","-","-","0.55","-"
"Sociedad Quimica y Minera","6.12B","21.58","1.94B","1.17M","1.06","0.91","1.09","4.76%"
"UGI","6.11B","14.33","7.13B","1.80M","2.11","0.96","1.32","4.37%"
"United Microelectronics","6.11B","17.73","3.26B","1.11M","0.14","0.92","0.13","3.75%"
"Bangkok Bank ADR","6.11B","-","-","2.46K","-","-","0.76","-"
"Tsim Sha Tsui ADR","6.10B","-","-","0.00","-","-","-","-"
"Santos","6.10B","-","4.19B","12.29K","-","-","-","2.17%"
"Albemarle","6.10B","12.25","3.59B","1.99M","5.02","1.41","1.54","2.51%"
"CPFL Energia ADR","6.10B","16.10","21.91B","172.51K","1.12","0.42","0.24","1.31%"
"Santos ADR","6.10B","9.77","4.19B","32.73K","0.32","2.94","0.11","3.36%"
"Daiwa ADR","6.10B","-","-","63.22K","-","-","-","-"
"Taylor Wimpey ADR","6.08B","-","-","401.00","-","-","0.93","-"
"OGE Energy","6.07B","14.59","2.23B","1.92M","2.16","0.75","1.55","4.92%"
"Bausch Health","6.06B","-","8.60B","5.65M","-5.07","1.26","-","-"
"Americold Realty","6.05B","131.41","1.78B","2.28M","0.24","-","0.84","2.69%"
"Japan Airlines ADR","6.05B","-","-","251.55K","-","-","-","-"
"China Taiping Insurance ADR","6.05B","-","-","0.00","-","-","0.32","-"
"Lumentum Holdings Inc","6.04B","-","1.75B","1.59M","-0.07","1.06","-","-"
"Plains All American Pipeline","6.02B","3.35","33.67B","8.86M","2.64","2.31","0.72","8.15%"
"Kumba Iron Ore Ltd PK","6.01B","-","-","2.75K","-","-","0.99","-"
"Minor International ADR","6.00B","-","-","400.00","-","-","0.38","-"
"RealPage","5.99B","105.95","988.14M","830.96K","0.61","1.04","-","-"
"Torm A","5.99B","-","506.21M","206.25K","-38.38","1.59","0.10","-"
"Shimizu ADR","5.98B","-","-","560.00","-","-","-","-"
"Samsonite ADR","5.97B","-","-","78.25K","-","-","0.44","-"
"Commer Intl Bank","5.97B","-","-","400.00","-","-","0.06","-"
"Textron","5.97B","8.89","13.30B","2.27M","2.97","1.61","0.08","0.30%"
"Commercial International Bank","5.97B","-","-","100.38K","-","-","0.08","-"
"Interxion Holding NV","5.94B","109.54","469.40M","1.95M","0.71","0.72","-","-"
"XPO Logistics","5.94B","18.27","16.65B","1.76M","3.65","2.51","-","-"
"Amedisys","5.93B","47.89","1.96B","299.89K","3.85","0.88","-","-"
