"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Alamos Gold","3.29B","-","-","4.13M","-","-","0.06","0.87%"
"Semen Persero","3.29B","-","-","7.07K","-","-","0.29","-"
"MGM Growth Properties","3.28B","28.13","881.07M","2.52M","0.90","0.73","1.90","7.51%"
"MSC Industrial Direct","3.28B","12.39","3.32B","692.55K","4.81","0.91","3.00","5.03%"
"1Life Healthcare","3.28B","-","276.26M","1.17M","-0.43","-","-","-"
"DNP Select Income Closed Fund","3.27B","5.13","126.92M","804.72K","2.15","0.69","0.78","7.07%"
"Popular","3.27B","6.94","1.43B","1.21M","5.56","1.30","1.60","4.15%"
"Carter’s","3.27B","13.25","4.26B","710.39K","5.90","1.25","2.40","3.07%"
"Equity Commonwealth Pd Pref","3.27B","8.78","127.85M","13.77K","3.85","0.28","1.63","-"
"EMCOR","3.27B","11.04","9.17B","506.55K","5.75","1.02","0.32","0.50%"
"Envestnet","3.26B","-","900.13M","454.21K","-0.35","1.74","-","-"
"Coca-Cola Bottlers Japan ADR","3.26B","-","-","7.30K","-","-","-","-"
"Nikon Corp","3.26B","-","-","50.17K","-","-","-","-"
"Andritz ADR","3.26B","-","-","10.91K","-","-","0.50","-"
"Acuity Brands","3.26B","11.54","3.54B","442.84K","7.50","1.37","0.52","0.60%"
"Inter Pipeline","3.26B","-","55.78M","23.12K","-","-","1.30","8.22%"
"Valvoline","3.25B","15.27","2.44B","2.63M","1.19","1.59","0.45","2.50%"
"Fed Home Ln Mtg","3.25B","-","-","22.38K","-","-","1.48","-"
"Federal Home Ln Mtg","3.25B","-","72.87B","42.89K","-0.18","2.12","-","-"
"Freddie Mac 6.02 Pfd","3.25B","-","-","27.59K","-","-","-","-"
"Frederal Hm Ln 5.81%","3.25B","-","-","702.00","-","-","2.91","-"
"Federal Home 5.30%","3.25B","-","-","2.55K","-","-","-","-"
"Freddie Mac Var N","3.25B","-","-","1.69K","-","-","-","-"
"Freddie Mac Noncum","3.25B","-","-","6.48K","-","-","2.34","-"
"Fed Home Ln Pfd","3.25B","-","-","2.98K","-","-","-","-"
"Freddie Mac Var Pfd","3.25B","-","-","3.69K","-","-","2.32","-"
"Freddie Mac 5.79","3.25B","-","-","27.98K","-","-","2.90","-"
"Fed Home Ln Mtg 5.0","3.25B","-","-","28.86K","-","-","2.50","-"
"Ebro Foods ADR","3.25B","-","-","1.17K","-","-","0.63","-"
"Electrocomponents ADR","3.25B","-","-","0.00","-","-","1.56","-"
"Qurate Retail A","3.25B","-","13.46B","4.90M","-1.10","1.32","-","-"
"Federal Hme 6.55 Pf","3.25B","-","-","27.20K","-","-","1.67","-"
"Freddie Mac Pfd Z","3.25B","-","-","688.24K","-","-","-","-"
"Fed Homeln Pfd","3.25B","-","-","7.58K","-","-","-","-"
"Freddie Mac Var Pr B","3.25B","-","-","7.10K","-","-","2.32","-"
"Freddie Mac 5.7 Pfd","3.25B","-","-","3.42K","-","-","2.85","-"
"Darling Ingredients","3.25B","11.08","4.20B","1.92M","1.86","1.24","-","-"
"Deciphera Pharma","3.24B","-","25.00M","627.39K","-4.40","-","-","-"
"Showa Denko ADR","3.24B","-","-","577.00","-","-","-","-"
"Venture ADR","3.24B","-","-","2.57K","-","-","2.54","-"
"LG Display","3.24B","-","516.46B","416.10K","-3.26","1.01","-","3.77%"
"GW Pharma","3.24B","-","-","3.77K","-","-","-","-"
"Nextera Energy Partners LP","3.23B","-","890.00M","795.82K","-4.55","1.12","2.22","4.55%"
"Ryohin Keikaku Co","3.23B","-","-","77.18K","-","-","0.51","-"
"Neogen","3.22B","55.99","418.85M","263.44K","1.12","0.67","-","-"
"Seven Bank ADR","3.22B","-","-","1.02K","-","-","-","-"
"Aerojet Rocketdyne","3.22B","25.72","1.97B","723.69K","1.60","0.44","-","-"
"CoreLogic","3.21B","46.41","1.76B","984.53K","0.83","1.21","0.88","2.29%"
"AutoNation","3.21B","7.48","21.34B","1.10M","4.98","1.46","-","-"
"nVent Electric","3.21B","17.62","2.19B","1.32M","1.08","-","0.70","3.68%"
