"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"ASML  ADR","124.71B","42.20","264.69M","1.16M","6.84","1.01","2.92","1.01%"
"Vanjia Corp","122.95B","-","40.00K","200.00","0.00","-","-","-"
"Sanofi ADR","122.74B","31.16","1.25B","2.86M","1.50","0.58","3.48","7.42%"
"AbbVie","122.48B","15.57","33.27B","12.53M","5.28","0.78","4.72","5.74%"
"Prosus","121.31B","-","-","2.91K","-","-","-","-"
"Prosus ADR","121.31B","-","-","921.62K","-","-","-","-"
"Wells Fargo Pref L","119.45B","10.59","45.39B","14.26K","2.83","1.20","75.00","6.80%"
"Wells Fargo & Co Po ADR","119.45B","-","-","86.62K","-","-","1.28","-"
"Wells Fargo & Co Pn ADR","119.45B","-","-","89.33K","-","-","1.30","-"
"Wells Fargo & Co Pp ADR","119.45B","-","-","67.20K","-","-","1.31","-"
"Wells Fargo & Co Pq ADR","119.45B","-","-","240.14K","-","-","1.46","-"
"Wells Fargo Pref R","119.45B","-","-","113.55K","-","-","1.66","-"
"Wells Fargo & Co Pt ADR","119.45B","-","-","96.88K","-","-","1.50","-"
"Wells Fargo & Co Pv ADR","119.45B","-","-","148.32K","-","-","1.50","-"
"Charter Communications","119.39B","66.03","45.76B","1.84M","7.50","1.03","-","-"
"Accenture","119.20B","24.05","44.66B","3.32M","7.70","1.03","3.20","1.73%"
"Wells Fargo Pref W","119.04B","-","-","123.28K","-","-","1.43","-"
"Wells Fargo Pref X","119.04B","-","-","177.14K","-","-","1.38","-"
"PetroChina ADR","115.07B","10.13","55.37B","189.12K","3.54","0.94","2.22","6.72%"
"China Life Insurance ADR","114.23B","7.21","16.19B","589.60K","1.46","1.28","0.12","1.10%"
"Philip Morris","114.20B","15.20","30.21B","7.02M","4.91","0.81","4.68","6.27%"
"Fomento Economico Mexicano","113.18B","26.86","19.06B","701.80K","2.40","0.79","1.51","2.35%"
"Wells Fargo&Co","113.02B","10.26","45.39B","38.83M","2.83","1.19","2.04","7.02%"
"NextEra Energy Unit","113.00B","-","-","6.31M","-","-","3.06","-"
"Bank of China H","112.79B","-","10.47B","177.93K","-","-","-","5.89%"
"Bank China ADR","112.79B","-","-","161.43K","-","-","0.67","-"
"Danaher","112.06B","49.99","17.91B","3.79M","3.27","0.93","0.72","0.44%"
"AIA Group","112.05B","16.67","47.52B","17.60K","1.95","-","0.37","1.40%"
"AIA ADR","112.05B","-","-","327.71K","-","-","0.58","-"
"NextEra Energy","111.14B","29.10","19.21B","3.49M","7.94","0.21","5.60","2.42%"
"IBM","108.18B","12.23","76.54B","7.04M","10.27","1.25","6.52","5.19%"
"Lockheed Martin","108.16B","17.66","61.13B","1.90M","22.03","0.98","9.60","2.47%"
"T-Mobile US","106.41B","21.81","45.00B","6.30M","4.03","0.27","-","-"
"Union Pacific","106.29B","18.58","21.55B","4.86M","8.60","1.07","3.88","2.43%"
"HSBC Holdings PLC ADR","105.06B","-","-","191.78K","-","-","1.55","-"
"Broadcom","103.94B","44.91","22.67B","3.65M","6.05","0.94","13.00","4.79%"
"American Tower","103.82B","55.68","7.76B","2.72M","4.27","0.43","4.32","1.82%"
"HSBC ADR","102.44B","29.29","65.87B","5.89M","0.88","0.64","2.55","7.54%"
"HSBC","102.44B","-","65.87B","38.23K","-","-","-","-"
"GlaxoSmithKline ADR","101.04B","15.58","774.03M","5.35M","2.70","0.74","2.48","5.89%"
"GlaxoSmithKline","101.04B","-","774.03M","20.97K","-","-","-","4.77%"
"Citigroup Inc Pk ADR","100.98B","-","-","216.03K","-","-","1.72","-"
"Citigroup Inc Pj ADR","100.98B","-","-","130.17K","-","-","1.78","-"
"Gilead","100.70B","19.96","22.45B","25.90M","4.21","0.73","2.72","3.24%"
"Texas Instruments","100.68B","22.27","14.12B","7.32M","5.21","1.15","3.60","3.10%"
"BHP Billiton Ltd ADR","98.06B","10.91","45.84B","3.95M","3.73","0.97","2.86","7.03%"
"BHP Billiton Ltd","98.06B","-","45.84B","832.02K","-","-","-","4.39%"
"Linde PLC","97.83B","45.92","-","2.91M","4.01","0.71","3.85","2.09%"
"Honeywell","97.15B","17.68","36.71B","4.32M","8.03","1.04","3.60","2.54%"
"Citigroup","94.77B","6.62","51.30B","27.97M","7.34","1.83","2.04","4.20%"
