"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Appfolio Inc","3.77B","107.37","256.01M","160.17K","1.02","0.89","-","-"
"Kyushu Electric ADR","3.77B","-","-","200.00","-","-","-","-"
"AGCO","3.77B","40.44","9.04B","709.59K","1.31","1.11","0.64","1.21%"
"Coca-Cola Amatil ADR","3.77B","-","-","105.77K","-","-","0.33","-"
"ITV ADR","3.77B","-","-","23.73K","-","-","1.67","-"
"Siteone Landscape Supply","3.77B","49.29","2.40B","508.24K","1.96","1.37","-","-"
"Gruma SAB de CV","3.76B","28.14","3.01B","76.82K","2.24","1.34","0.35","-"
"STAG Industrial","3.76B","76.42","405.95M","1.65M","0.34","1.15","1.44","5.49%"
"Silgans","3.76B","18.79","4.49B","717.82K","1.84","0.70","0.48","1.39%"
"Black Hills","3.75B","18.85","1.73B","461.85K","3.29","0.35","2.14","3.45%"
"Bankinter ADR","3.74B","-","-","2.37K","-","-","0.33","-"
"Evotec AG PK","3.74B","-","-","1.40K","-","-","-","-"
"Genting Berhad","3.74B","-","-","22.99K","-","-","0.19","-"
"Casio Computer ADR","3.74B","-","-","438.00","-","-","-","-"
"Novagold","3.73B","-","-","3.37M","-0.09","0.65","-","-"
"Lancaster Colony","3.72B","25.11","1.33B","192.09K","5.36","0.19","2.80","2.08%"
"Nevro Corp","3.72B","-","390.25M","562.60K","-3.38","0.91","-","-"
"AIB","3.72B","-","-","35.31K","-","-","-","3.70%"
"Western Gas Equity Unit","3.72B","5.57","2.75B","4.70M","1.56","3.91","1.24","14.32%"
"j2 Global","3.71B","18.44","1.67B","579.55K","4.37","0.75","0.90","1.85%"
"NH Foods ADR","3.71B","-","-","200.00","-","-","-","-"
"Turk Telekomunikasyon ADR","3.70B","-","-","2.38K","-","-","0.16","-"
"Churchill Downs","3.70B","35.98","1.33B","489.64K","2.79","1.07","0.58","0.58%"
"TechnipFMC","3.70B","-","13.63B","6.28M","-12.74","-","0.52","5.84%"
"Qantas Airways ADR","3.69B","-","-","34.37K","-","-","0.89","-"
"Yokogawa Electric ADR","3.69B","-","-","4.52K","-","-","-","-"
"Alaska Air","3.69B","5.26","8.78B","2.89M","6.18","1.49","1.50","2.14%"
"Voestalpine AG PK","3.69B","-","-","1.78K","-","-","0.25","-"
"Electric Power ADR","3.69B","-","-","683.00","-","-","-","-"
"Oneconnect Fin","3.68B","-","51.21M","331.96K","-0.64","-","-","-"
"Gerdau ADR","3.68B","16.63","872.17M","12.01M","0.13","2.22","0.05","2.32%"
"Graphic Packaging","3.68B","28.87","6.25B","4.58M","0.46","1.27","0.30","2.25%"
"FCC","3.68B","-","205.61M","206.00","-","-","-","3.47%"
"EQT","3.67B","-","4.42B","11.46M","-4.78","1.38","0.12","2.42%"
"Fomento Construcciones ADR","3.67B","-","-","1000.00","-","-","-","-"
"AVX","3.66B","17.86","1.56B","1.41M","1.21","0.83","0.46","2.12%"
"Invesco","3.66B","8.45","6.50B","7.85M","1.02","1.50","0.62","7.19%"
"Cyberark Software","3.66B","60.78","433.89M","819.51K","1.62","1.25","-","-"
"Chimera Investment Pref A","3.65B","4.51","1.38B","49.30K","1.81","0.95","2.00","24.51%"
"Healthequity Inc","3.65B","87.30","531.99M","1.09M","0.64","1.45","-","-"
"Shenzhen Expressway ADR","3.64B","-","-","0.00","-","-","5.18","-"
"Woodward","3.64B","14.26","2.97B","960.06K","4.25","1.46","1.12","1.85%"
"Parsley Energy","3.64B","15.12","1.96B","11.44M","0.62","2.15","0.20","2.12%"
"Terreno","3.63B","64.21","171.03M","473.41K","0.85","0.69","1.08","1.97%"
"The Hanover Insurance","3.63B","15.22","4.89B","308.25K","6.59","0.90","2.60","2.59%"
"Change Healthcare","3.62B","10.63","3.30B","9.21M","1.13","-","-","-"
"Vedanta Ltd","3.62B","6.35","10.18B","1.21M","0.71","1.81","0.21","4.69%"
"Zhuzhou CRRC Times ADR","3.62B","-","-","200.00","-","-","0.33","-"
"Starwood Property","3.62B","7.25","1.20B","5.39M","1.78","1.46","1.92","14.84%"
"Clearway Energy A","3.62B","-","1.03B","288.46K","-0.11","1.13","0.84","4.49%"
