"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Brookfield Property Reit","10.97B","1.27","1.94B","1.61M","7.71","-","1.33","13.58%"
"Genuine Parts","10.93B","18.70","19.39B","1.24M","4.24","1.10","3.16","3.99%"
"Cheniere Energy","10.91B","14.82","10.18B","3.53M","3.15","1.70","-","-"
"Astra Int","10.88B","-","-","118.45K","-","-","0.30","-"
"Caixabank ADR","10.80B","-","-","225.72K","-","-","0.03","-"
"KeyCorp","10.80B","8.63","3.66B","14.25M","1.35","1.53","0.74","6.35%"
"Synchrony Financial","10.80B","4.46","9.19B","10.63M","4.44","1.66","0.88","4.45%"
"OMV AG PK","10.79B","8.61","502.00M","27.14K","3.90","1.49","1.91","2.97%"
"First Quantum Minerals","10.78B","-","4.07B","57.75K","-","-","0.01","-"
"Fosun International ADR","10.77B","-","-","1.12K","-","-","1.60","-"
"Fosun International","10.77B","-","-","12.63K","-","-","-","2.91%"
"W P Carey Inc","10.76B","36.98","1.23B","1.06M","1.78","0.83","4.16","6.32%"
"Jacobs Engineering","10.75B","25.56","16.10B","1.22M","3.24","0.98","0.76","0.92%"
"EDP Renovaveis","10.72B","-","-","10.10K","-","-","-","0.82%"
"CapitaLand","10.70B","-","-","4.25K","-","-","0.18","-"
"Liberty Media SiriusXM C","10.67B","22.98","5.73B","1.17M","1.54","1.40","-","-"
"Amcor PLC","10.66B","29.03","15.64B","10.91M","0.32","-","0.46","4.98%"
"Vipshop","10.66B","19.08","2.05B","7.33M","0.83","1.14","-","-"
"United Dominion","10.65B","59.87","1.15B","2.41M","0.63","0.61","1.44","3.84%"
"Rentokil ADR","10.64B","30.91","59.72M","57.92K","0.96","0.86","0.31","0.31%"
"JB Hunt","10.64B","21.71","9.36B","940.51K","4.66","0.93","1.08","1.07%"
"Jeronimo Martins SGPS SA ADR","10.63B","-","-","12.22K","-","-","0.72","-"
"Array BioPharma","10.61B","-","64.68M","20.60M","-0.59","1.63","-","-"
"Hengan International ADR","10.60B","-","-","16.21K","-","-","1.60","-"
"Huazhu","10.60B","44.99","246.66M","2.39M","0.80","1.67","0.34","0.94%"
"Hengan Intl Group","10.60B","26.30","494.84M","7.12K","2.86","0.47","1.70","3.86%"
"Liberty Media SiriusXM A","10.57B","22.98","5.73B","1.27M","1.54","1.40","-","-"
"TDK ADR","10.54B","12.45","30.18B","11.50K","6.87","1.63","2.43","1.83%"
"Carnival Corp","10.52B","5.89","20.94B","55.61M","2.70","1.96","2.00","25.09%"
"Icahn Enterprises","10.52B","-","8.46B","167.05K","-5.32","1.31","8.00","15.44%"
"Stora Enso Oyj PK","10.52B","-","211.82M","55.09K","-","-","0.55","-"
"Carnival ADS","10.52B","3.22","20.83B","1.97M","4.32","1.92","2.00","14.37%"
"Masco","10.52B","17.59","8.62B","4.27M","2.33","1.46","0.54","1.32%"
"Mitsubishi Tanabe Pharma Corp","10.52B","-","-","24.69K","-","-","-","-"
"China National Building ADR","10.47B","-","-","3.89K","-","-","1.31","-"
"Black Knight","10.45B","96.26","1.46B","964.97K","0.73","-","-","-"
"Brambles ADR","10.42B","-","-","71.99K","-","-","0.97","-"
"Great Wall Motor Company","10.42B","-","-","1.50K","-","-","0.35","-"
"Shanghai Electric Group Co","10.41B","-","-","631.00","-","-","0.18","-"
"Cboe Global","10.41B","29.67","2.50B","1.15M","3.35","0.51","1.44","1.45%"
"Umicore ADR","10.39B","-","-","110.38K","-","-","0.22","-"
"Westinghouse Air Brake","10.34B","33.43","8.20B","2.01M","1.69","1.51","0.48","0.85%"
"PTT Exploration & Production","10.33B","-","-","4.67K","-","-","0.38","-"
"Nice ADR","10.32B","57.22","1.57B","284.89K","2.87","0.75","-","-"
"Catalent Inc","10.32B","78.43","2.73B","1.33M","0.88","1.64","-","-"
"Regions Financial Corp Pa ADR","10.30B","-","-","68.68K","-","-","1.59","-"
"Regions Financial Corp Pb ADR","10.30B","-","-","63.76K","-","-","1.59","-"
"AngloGold Ashanti ADR","10.28B","28.07","3.53B","4.50M","0.87","0.27","0.09","0.38%"
"Open Text","10.26B","31.49","2.93B","692.59K","1.21","0.71","0.70","1.55%"
"Regions Financial Corp Pc","10.25B","-","-","58.15K","-","-","1.43","-"
