"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"NRG","8.26B","2.07","9.82B","3.45M","16.23","1.07","1.20","3.58%"
"Royal Gold","8.26B","48.12","467.88M","858.43K","2.55","0.80","1.12","0.91%"
"Holmen ADR","8.26B","-","-","700.00","-","-","0.36","-"
"ABIOMED","8.26B","43.21","840.88M","789.35K","4.43","0.86","-","-"
"Industrivarden C","8.23B","-","-","2.00K","-","-","-","2.70%"
"RTL ADR","8.23B","-","-","809.00","-","-","0.45","-"
"China Jinmao ADR","8.22B","-","-","100.00","-","-","1.40","-"
"Trimble","8.21B","16.99","3.26B","1.83M","2.04","1.61","-","-"
"F5 Networks","8.20B","24.80","2.31B","984.33K","5.61","1.11","-","-"
"Zendesk Inc","8.20B","-","872.40M","2.35M","-1.50","1.32","-","-"
"Marubeni ADR","8.19B","-","-","2.03K","-","-","-","-"
"Mitsubishi Chemical ADR","8.19B","-","-","1.96K","-","-","-","-"
"Disco ADR","8.18B","-","-","3.34K","-","-","-","-"
"APA Group","8.17B","-","55.02M","3.82K","-","-","-","3.53%"
"Eastman Chemical","8.16B","10.30","9.27B","1.60M","5.87","1.62","2.64","4.36%"
"WFD Unibail Rodamco","8.14B","-","74.38M","1.01K","-","-","-","6.93%"
"Sumitomo Electric ADR","8.12B","-","-","2.46K","-","-","-","-"
"ICON PLC","8.11B","23.08","2.85B","355.62K","6.95","0.85","-","-"
"CNH Industrial NV","8.10B","5.94","28.02B","2.47M","1.05","1.49","0.20","1.48%"
"Santander Chile ADR","8.09B","12.00","37.85B","654.70K","1.40","0.74","0.42","2.47%"
"Logitech","8.09B","29.16","2.89B","347.25K","1.66","1.00","0.74","1.71%"
"InterContinental ADR","8.09B","21.77","4.63B","553.12K","2.09","1.23","1.26","2.76%"
"Host Hotels Resorts","8.08B","9.80","5.47B","13.54M","1.26","1.31","0.80","6.50%"
"Solvay ADR","8.07B","-","-","2.94K","-","-","0.42","-"
"VICI Properties","8.06B","14.22","894.80M","6.27M","1.26","-","1.19","6.65%"
"Cabot Oil&Gas","8.06B","13.31","2.07B","10.70M","1.62","0.27","0.40","1.85%"
"SINOPHARM ADR","8.05B","-","-","81.82K","-","-","0.43","-"
"Advance Auto Parts","8.05B","17.69","9.71B","1.18M","6.84","1.27","1.00","0.83%"
"Indofood Sukses Makmur ADR","8.04B","-","-","2.11K","-","-","0.27","-"
"Vornado","8.03B","2.70","1.92B","2.43M","16.21","1.46","2.64","6.02%"
"Sonic Healthcare ADR","8.02B","17.91","-","101.05K","0.82","0.37","0.55","-"
"CyrusOne","8.02B","-","981.30M","1.64M","-0.43","0.44","2.00","2.85%"
"Eiffage ADR","8.00B","-","-","3.64K","-","-","0.53","-"
"Stars Group","7.99B","-","2.53B","2.63M","-","-","-","-"
"Croda Intl ADR","7.92B","-","-","5.58K","-","-","0.57","-"
"Next ADR","7.91B","-","-","2.86K","-","-","1.04","-"
"CNA Financial","7.91B","8.61","10.81B","336.39K","3.67","0.84","1.48","4.69%"
"Andeavor Logistics","7.90B","12.82","630.00M","21.46M","2.51","1.21","4.12","12.81%"
"10X Genomics","7.89B","-","245.90M","572.42K","-0.33","-","-","-"
"Alfa-Laval ADR","7.88B","-","-","45.31K","-","-","0.56","-"
"Ingenico Group ADR","7.86B","-","-","17.59K","-","-","0.25","-"
"Skanska B ADR","7.82B","12.84","-","870.00","8.63","1.02","0.66","-"
"58Com Inc Adr","7.77B","6.68","342.68M","855.87K","7.77","1.34","-","-"
"Haier Electronics ADR","7.76B","-","-","773.00","-","-","0.48","-"
"Li Ning ADR","7.76B","-","-","203.00","-","-","0.32","-"
"United Utilities ADR","7.75B","20.29","40.43M","17.34K","1.14","0.58","1.05","4.53%"
"Informa ADR","7.74B","-","-","128.26K","-","-","0.56","-"
"Atos Origin ADR","7.74B","-","-","49.39K","-","-","0.77","-"
"United Airlines Holdings","7.73B","2.54","43.26B","23.28M","11.63","1.49","-","-"
"Etsy Inc","7.71B","93.50","987.72M","4.00M","0.73","1.76","-","-"
