"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Fortis Inc","7.69B","-","193.23M","677.11K","-","-","1.44","3.63%"
"Keppel Corp","7.69B","-","173.94M","25.53K","-","-","-","3.71%"
"Keppel Corporation","7.69B","-","-","5.92K","-","-","0.29","-"
"Ionis Pharma","7.68B","26.93","1.12B","991.67K","2.06","1.69","-","-"
"Melco Resorts & Entertainment","7.68B","20.40","7.10B","3.81M","0.78","2.01","0.65","4.11%"
"PTC","7.67B","213.51","1.35B","1.10M","0.32","1.18","-","-"
"MFA Financial Inc Pb Pref","7.65B","2.44","999.70M","98.76K","0.78","1.62","1.88","10.13%"
"Dufry ADR","7.62B","-","-","6.13K","-","-","0.40","-"
"Just Eat ADR","7.62B","-","-","3.47K","-","-","-","-"
"Mobil’nye Telesistemy ADR","7.62B","11.29","10.47B","4.04M","0.76","1.03","0.90","10.53%"
"ACS Actividades Construccion ADR","7.61B","-","-","434.45K","-","-","-","-"
"Western Union","7.61B","7.78","5.29B","8.52M","2.45","0.91","0.90","4.72%"
"Nitto Denko Corp","7.59B","-","-","20.57K","-","-","-","-"
"BCE Inc.","7.58B","16.72","527.21M","1.61M","2.42","0.40","2.36","5.28%"
"Singapore Tech ADR","7.58B","-","-","4.13K","-","-","1.06","-"
"AMH 4 Rent Pref D","7.58B","84.54","1.14B","33.26K","0.29","0.60","1.63","0.83%"
"Huntington Ingalls Industries","7.56B","14.44","8.90B","428.86K","13.26","1.11","4.12","2.15%"
"Rolls Royce Holdings plc","7.56B","-","364.91M","1.06M","-0.87","1.22","0.15","1.47%"
"LKQ","7.54B","13.71","12.41B","3.12M","1.91","1.66","-","-"
"Metallurgical China ADR","7.54B","-","-","223.00","-","-","0.20","-"
"Accor SA","7.53B","-","-","206.93K","-","-","0.23","-"
"Aisin Seiki Co","7.51B","-","-","1.91K","-","-","-","-"
"Jiangsu Expressway ADR","7.50B","-","-","747.00","-","-","1.33","-"
"Svenska Cellulosa AB","7.50B","-","-","7.39K","-","-","0.21","-"
"Alteryx","7.48B","384.20","417.91M","2.14M","0.30","-","-","-"
"Graco","7.46B","23.29","1.61B","1.01M","1.92","0.55","0.70","1.57%"
"Natixis ADR","7.46B","-","-","3.04K","-","-","8.76","-"
"Henry Schein","7.45B","11.56","9.99B","2.02M","4.72","0.95","-","-"
"Shanghai Pharma ADR","7.45B","-","-","1.20K","-","-","0.30","-"
"Nippon Steel ADR","7.42B","-","-","4.11K","-","-","-","-"
"MGM","7.40B","4.24","12.90B","24.80M","3.97","2.23","0.60","3.57%"
"Lundin Petroleum ADR","7.38B","-","-","3.45K","-","-","1.34","-"
"Exelixis","7.37B","24.23","967.78M","4.16M","1.02","1.53","-","-"
"Vopak","7.37B","-","-","2.29K","-","-","-","2.41%"
"Randstad Holdings NV","7.37B","-","-","16.01K","-","-","2.96","-"
"SEI","7.36B","15.83","1.65B","786.99K","3.22","1.27","0.66","1.37%"
"Koninklijke Vopak ADR","7.35B","-","-","9.50K","-","-","1.25","-"
"First Gen ADR","7.34B","-","-","200.00","-","-","0.21","-"
"Plains GP Holdings","7.33B","4.70","33.67B","4.84M","2.01","2.39","0.72","7.63%"
"Singapore Exchange ADR","7.33B","-","-","8.93K","-","-","3.25","-"
"Lundin Petroleum","7.31B","-","-","2.44K","-","-","-","1.37%"
"PulteGroup","7.30B","7.38","12.21B","5.10M","3.83","1.27","0.48","1.70%"
"Alleghany","7.28B","9.00","8.35B","73.24K","59.32","0.66","-","-"
"B2W Digital ADR","7.27B","-","-","1.10K","-","-","-","-"
"Yamaha DRC","7.26B","-","-","9.41K","-","-","-","-"
"Itochu Techno-Solutions Corp","7.26B","-","-","1.67K","-","-","0.38","-"
"Guardant Health","7.24B","-","214.39M","1.23M","-0.84","-","-","-"
"Liberty Media Formula C","7.24B","-","2.02B","2.31M","-1.34","1.22","-","-"
"American Capital Agency Co ADR ADR","7.23B","-","-","63.97K","-","-","1.94","-"
"Hikma Pharma ADR","7.23B","-","-","890.00","-","-","0.88","-"
