"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Iqvia","25.95B","131.22","11.16B","2.08M","1.09","1.32","-","-"
"Denso ADR","25.87B","-","-","243.47K","-","-","-","-"
"Consolidated Edison","25.78B","19.32","12.57B","2.75M","4.08","0.24","3.06","3.88%"
"Canadian Imperial Bank","25.72B","7.38","319.53M","822.86K","8.05","1.02","4.17","5.22%"
"Sea","25.72B","-","2.18B","4.77M","-3.55","-","-","-"
"Sirius XM","25.49B","25.81","8.00B","29.51M","0.23","1.22","0.05","0.90%"
"Vivendi SA PK","25.32B","-","-","235.72K","-","-","0.65","-"
"Vivendi","25.32B","-","-","4.47K","-","-","-","1.71%"
"Amphenol","25.30B","24.03","8.13B","2.20M","3.67","1.25","1.00","1.13%"
"Compass Group ADR","25.23B","-","-","1.08M","-","-","0.84","-"
"Yum! Brands","25.21B","24.87","5.61B","3.01M","3.48","0.95","1.88","2.18%"
"T Rowe","25.15B","14.41","5.75B","1.90M","8.03","1.16","3.60","3.11%"
"Seattle Genetics","25.15B","-","956.02M","1.21M","-1.86","1.40","-","-"
"Terumo ADR","25.10B","-","-","10.52K","-","-","0.49","-"
"Snap","25.06B","-","1.86B","34.75M","-0.74","-","-","-"
"Hormel Foods","25.06B","26.04","9.52B","3.28M","1.80","-0.07","0.93","1.99%"
"Verisk","25.02B","56.57","2.61B","1.08M","2.70","0.68","1.08","0.71%"
"Public Service Enterprise","24.99B","15.19","10.08B","3.85M","3.34","0.61","1.96","3.87%"
"Vonovia ADR","24.98B","-","-","2.53K","-","-","0.81","-"
"Kroger","24.88B","15.49","122.29B","12.85M","2.04","0.37","0.64","2.02%"
"Prudential Financial Inc Pref","24.79B","-","-","56.90K","-","-","1.44","-"
"Prudential Financial Inc ELKS 1","24.79B","-","-","74.18K","-","-","1.41","-"
"Electricite de France SA","24.74B","-","-","105.11K","-","-","0.07","-"
"Republic Services","24.62B","23.50","10.30B","1.65M","3.33","0.62","1.62","2.07%"
"Southern Copper","24.55B","19.11","7.29B","987.06K","1.70","1.07","0.80","2.47%"
"Chipotle Mexican Grill","24.38B","73.59","5.69B","847.85K","11.94","1.18","-","-"
"McKesson","24.27B","-","224.95B","5.36M","-5.24","0.81","1.64","1.16%"
"Travelers","24.26B","10.92","31.84B","2.42M","9.27","0.89","3.40","3.36%"
"PT Telekomunikasi Indonesia B","24.20B","15.90","2.26T","288.25K","1.36","0.59","0.77","3.56%"
"Telekomunikasi","24.20B","-","2.26T","18.61K","-","-","-","4.42%"
"Clorox","24.18B","29.31","6.13B","2.58M","6.36","0.22","4.24","2.27%"
"Fresenius ADR","24.17B","-","-","79.57K","-","-","0.22","-"
"Zimmer Biomet","24.05B","21.89","7.98B","2.01M","5.47","1.33","0.96","0.80%"
"Jardine Strategic Holdings Ltd PK","23.96B","-","-","37.15K","-","-","0.18","-"
"United Overseas Bank ADR","23.95B","7.86","180.64M","99.12K","3.60","1.10","1.56","9.04%"
"Valero Energy","23.95B","64.38","108.32B","6.16M","0.98","1.97","3.92","6.19%"
"Paychex","23.91B","22.35","4.11B","3.05M","3.07","0.94","2.48","3.62%"
"Shiseido Company","23.88B","34.07","24.89B","91.32K","1.72","0.47","0.56","0.95%"
"Motorola","23.79B","29.11","7.89B","1.41M","4.94","0.70","2.56","1.78%"
"Beiersdorf ADR","23.77B","-","-","59.18K","-","-","0.15","-"
"VeriSign","23.72B","31.47","1.24B","839.42K","6.66","0.92","-","-"
"Fresenius Medical Care ADR","23.66B","14.62","8.48B","447.23K","2.24","1.45","0.65","1.99%"
"Prudential Financial","23.65B","6.16","65.12B","3.96M","10.12","1.72","4.40","7.05%"
"Mitsui & Company","23.64B","6.50","157.05B","4.83K","42.86","0.63","14.93","5.30%"
"Willis Towers Watson","23.63B","21.82","9.19B","1.30M","8.17","0.75","2.72","1.53%"
"PACCAR","23.63B","11.35","24.27B","2.50M","6.10","1.11","1.28","1.85%"
"Endesa ADR","23.63B","-","-","1.18K","-","-","0.80","-"
"KLA-Tencor","23.56B","22.98","5.28B","1.85M","7.14","1.35","3.40","2.07%"
"Restaurant Brands Int","23.55B","-","5.60B","4.34M","-","-","2.08","-"
"Telefonica ADR","23.54B","29.90","1.07B","2.15M","0.15","0.80","0.45","9.82%"
