"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"BlueScope Steel ADR","3.45B","-","-","758.00","-","-","0.45","-"
"Lundin Mining","3.45B","913.53","1.85B","55.24K","0.01","1.86","0.11","1.60%"
"Exponent","3.45B","45.95","417.20M","326.21K","1.53","0.23","0.76","1.08%"
"Blackline","3.44B","-","288.97M","624.69K","-0.59","0.81","-","-"
"Riocan REIT","3.44B","-","-","4.86K","-","-","1.09","5.53%"
"Abcam PLC PK","3.44B","-","-","3.15K","-","-","0.15","-"
"Wingstop Inc","3.44B","171.14","199.68M","697.61K","0.69","1.20","0.44","0.37%"
"Valley National A Pref","3.44B","-","-","7.89K","-","-","1.56","-"
"Seaboard","3.44B","28.54","6.98B","1.11K","105.49","0.73","9.00","0.30%"
"Hanesbrands","3.43B","7.08","6.70B","9.86M","1.40","1.53","0.60","6.04%"
"Kuraray Co","3.43B","-","-","1.82K","-","-","-","-"
"MorphoSys ADR","3.43B","-","-","137.22K","-","-","-","-"
"Virgin Galactic Holdings","3.41B","-","3.78M","21.77M","-1.09","-","-","-"
"Nuveen AMT-Free Municipal","3.41B","-","-","1.03M","-","0.14","0.64","4.97%"
"NSK ADR","3.41B","-","-","21.37K","-","-","-","-"
"Western Alliance","3.40B","7.95","643.78M","1.24M","4.51","1.82","1.00","2.79%"
"WWE","3.40B","35.08","960.44M","2.16M","1.27","1.47","0.48","1.08%"
"Perspecta","3.40B","37.34","4.50B","1.27M","0.58","-","0.24","1.11%"
"DCP Midstream Pref B","3.40B","-","7.63B","47.15K","-1.10","4.16","1.97","15.55%"
"ANGI Homeservices","3.39B","100.55","1.33B","2.19M","0.07","1.86","-","-"
"Mazda Motor ADR","3.39B","-","-","234.69K","-","-","-","-"
"Equatorial Energia ADR","3.39B","-","-","19.26K","-","-","0.01","-"
"Olam International ADR","3.39B","-","-","400.00","-","-","1.13","-"
"Inmarsat ADR","3.37B","-","-","2.12K","-","-","0.20","-"
"Agree","3.37B","33.91","200.95M","748.44K","1.92","0.33","2.34","3.59%"
"Ashmore","3.37B","-","-","1.83K","-","-","-","4.45%"
"Chiba Bank ADR","3.37B","-","-","6.34K","-","-","-","-"
"Japan Airport Terminal ADR","3.36B","-","-","14.93K","-","-","-","-"
"Valley National B Pref","3.36B","-","-","10.55K","-","-","1.38","-"
"Wyndham Hotels","3.36B","23.25","2.05B","1.45M","1.62","-","1.28","3.39%"
"Metropolitan Bank ADR","3.35B","-","-","3.56K","-","-","0.39","-"
"Hypera","3.35B","-","-","26.46K","-","-","0.06","-"
"Hamilton Lane","3.35B","37.50","264.11M","195.10K","1.74","-","1.10","1.68%"
"Unum","3.35B","3.33","12.02B","3.26M","5.24","1.71","1.14","6.53%"
"Hino Motors ADR","3.35B","7.55","41.71B","316.00","7.63","0.98","1.40","4.47%"
"Ladenburg Thalmann Senior","3.33B","-","-","21.00K","-","-","2.60","-"
"Companhia Brasileira de Distribuicao","3.33B","40.60","1.25B","533.68K","0.30","1.31","0.14","2.01%"
"Ladenburg Thalmann Fin Service Pref","3.33B","-","1.07B","170.83K","-0.02","1.93","0.05","1.43%"
"PS Business Parks","3.33B","28.68","429.84M","139.42K","4.50","0.45","4.20","3.25%"
"Chimera Invest Pref B","3.32B","4.51","1.38B","113.70K","1.81","0.95","2.00","24.51%"
"Strategic Education","3.32B","33.56","997.14M","133.52K","4.75","0.65","2.40","1.51%"
"L Brands","3.32B","-","13.19B","11.23M","-1.33","1.10","1.20","5.11%"
"Brixmor Property","3.31B","12.44","1.17B","4.36M","0.92","1.44","1.14","9.96%"
"Janus Henderson","3.31B","7.28","2.20B","1.76M","2.21","-","1.44","8.97%"
"Vir Biotech","3.31B","-","8.09M","1.15M","-5.76","-","-","-"
"Birchcliff Energy","3.31B","-","13.35M","127.97K","-","-","0.07","3.02%"
"Travis Perkins ADR","3.30B","-","-","502.00","-","-","0.58","-"
"Arrowhead Pharma","3.30B","64.04","163.59M","1.61M","0.54","1.81","-","-"
"Frontdoor","3.29B","21.64","1.37B","743.13K","1.80","-","-","-"
"Capcom ADR","3.29B","-","-","5.99K","-","-","0.23","-"
