"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"The Wendy’s Co","4.33B","34.12","1.71B","5.43M","0.58","1.23","0.48","2.42%"
"Legg Mason ELKS","4.33B","-","-","60.44K","-","-","1.36","-"
"Oshkosh","4.33B","9.66","8.08B","818.97K","6.99","1.57","1.20","1.78%"
"Cousins Properties","4.32B","15.85","718.68M","1.12M","1.90","0.94","1.20","3.98%"
"Mitsubishi Lease ADR","4.32B","-","-","1000.00","-","-","-","-"
"Vertiv Holdings Co","4.32B","209.23","-","2.32M","0.05","-","-","-"
"Integra","4.31B","88.03","1.52B","754.40K","0.58","1.11","-","-"
"Cree","4.30B","-","1.01B","1.71M","-1.39","1.08","-","-"
"Texas Pacific Land Trust","4.30B","13.63","490.49M","51.91K","41.09","1.99","10.00","1.79%"
"Pigeon ADR","4.29B","-","-","1.64K","-","-","-","-"
"Globant SA","4.28B","82.32","659.32M","406.49K","1.43","1.31","-","-"
"Skechers","4.28B","12.53","5.22B","2.56M","2.25","1.19","-","-"
"Pearson ADR","4.28B","13.72","85.12M","760.02K","0.43","-0.02","0.42","7.12%"
"Inphi","4.28B","-","365.63M","1.17M","-1.62","1.31","-","-"
"Deutsche Lufthansa ADR","4.28B","3.20","801.33M","173.98K","2.80","1.04","0.88","10.04%"
"Floor & Decor","4.28B","29.80","2.05B","1.71M","1.44","-","-","-"
"CAE Inc.","4.28B","17.36","80.69M","739.64K","0.95","1.60","0.31","1.25%"
"Devon Energy","4.27B","-","6.22B","12.01M","-0.19","3.43","0.44","3.53%"
"Cullen/Frost Bankers","4.26B","12.44","852.19M","737.16K","5.78","1.65","2.84","3.95%"
"DXC Technology","4.26B","-","20.04B","5.70M","-6.25","2.47","0.84","4.63%"
"Apache","4.26B","-","6.32B","19.25M","-9.42","4.75","0.10","0.76%"
"Noble Energy","4.26B","-","4.44B","12.34M","-3.16","2.65","0.08","0.82%"
"Smurfit Kappa","4.26B","-","-","29.89K","-","-","1.19","-"
"Sumco ADR","4.25B","-","-","2.81K","-","-","-","-"
"Tabcorp ADR","4.25B","-","-","2.27K","-","-","0.28","-"
"ADT","4.24B","-","5.13B","2.18M","-0.57","-","0.14","2.44%"
"Lend Lease Group","4.24B","-","319.31M","200.00","-","-","-","3.47%"
"Lend Lease","4.24B","-","-","6.84K","-","-","0.39","-"
"Mitsubishi Motors Corp.","4.24B","-","52.52B","4.08K","-","-","-","3.30%"
"PT United Tractors","4.24B","-","-","895.00","-","-","1.72","-"
"A2A ADR","4.23B","-","-","221.00","-","-","0.39","-"
"Stericycle","4.23B","-","3.31B","806.24K","-3.81","1.08","-","-"
"MDU Resources","4.23B","13.33","5.34B","1.66M","1.68","0.83","0.83","3.70%"
"Maximus","4.22B","17.93","3.04B","533.36K","3.75","0.91","1.12","1.66%"
"Hitachi Metals ADR","4.22B","-","-","400.00","-","-","-","-"
"Pivotal Software","4.22B","-","746.21M","3.76M","-0.49","-","-","-"
"Mosaic","4.22B","-","8.91B","6.50M","-2.81","1.69","0.20","1.74%"
"Curtiss-Wright","4.21B","14.49","2.49B","318.76K","7.15","1.29","0.68","0.66%"
"Helen of Troy Ltd","4.21B","27.00","1.65B","226.18K","6.08","0.87","-","-"
"Konami Holdings","4.21B","20.16","5.79B","986.00","1.59","0.47","1.09","2.97%"
"Castellum ADR","4.20B","-","-","0.00","-","-","1.27","-"
"Under Armour C","4.20B","53.63","5.27B","4.28M","0.20","1.27","-","-"
"BM European Value ADR","4.19B","-","-","13.83K","-","-","0.38","-"
"Hakuhodo DY ADR","4.19B","-","-","481.00","-","-","-","-"
"Allison Transmission","4.18B","7.42","2.70B","1.38M","4.90","1.33","0.68","1.87%"
"Tapestry","4.18B","-","5.76B","5.76M","-1.02","1.39","1.35","4.76%"
"Grubhub Inc","4.18B","-","1.31B","3.46M","-0.20","1.20","-","-"
"Metso Corporation","4.17B","55.84","73.30M","4.96K","0.12","1.79","0.56","3.49%"
"Kingfisher ADR","4.17B","-","-","317.21K","-","-","0.27","-"
"Hawaiian Electric Industries","4.16B","20.69","2.87B","768.91K","1.91","0.19","1.32","3.34%"
