"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Microsoft","1.32T","31.61","138.70B","55.87M","5.67","0.95","2.04","1.14%"
"Apple","1.27T","23.20","267.68B","50.78M","12.66","1.17","3.08","1.05%"
"Amazon.com","1.14T","118.18","280.52B","6.20M","20.93","1.35","-","-"
"Alphabet C","902.17B","27.52","161.86B","2.49M","48.94","1.07","-","-"
"Alphabet A","899.22B","27.52","161.86B","2.83M","48.94","1.07","-","-"
"Facebook","576.46B","29.46","73.36B","24.39M","6.95","1.16","-","-"
"Crown Castle Pref","573.16B","86.93","5.76B","11.63K","1.79","0.32","68.75","3.09%"
"Alibaba ADR","543.71B","22.02","10.76B","17.80M","9.21","1.60","-","-"
"Tencent ADR","511.87B","-","-","4.89M","-","-","0.15","-"
"Tencent Holdings","511.87B","-","8.30B","38.21K","-","-","-","0.24%"
"Berkshire Hathaway B","445.15B","5.65","254.62B","8.42M","49.85K","0.79","-","-"
"Berkshire Hathaway","445.15B","5.65","254.62B","618.00","49.85K","0.79","-","-"
"J&J","390.84B","23.41","82.73B","11.80M","6.41","0.72","4.04","2.69%"
"Visa A","377.76B","33.95","23.53B","14.14M","5.26","0.92","1.20","0.67%"
"Walmart","348.40B","23.43","523.96B","10.61M","5.19","0.32","2.16","1.78%"
"Nestle ADR","305.25B","-","-","948.64K","-","-","2.76","-"
"Nestle","305.25B","-","2.04B","35.82K","-","-","-","2.47%"
"Roche Holding ADR","298.89B","21.72","1.35B","3.14M","2.00","0.52","1.14","2.47%"
"Roche Holding Participation","298.89B","-","1.35B","19.14K","-","-","-","3.08%"
"JPMorgan Chase & Co Pa ADR","290.43B","-","-","373.96K","-","-","1.36","-"
"JPMorgan Chase & Co Pf ADR","290.43B","-","-","417.72K","-","-","1.53","-"
"JPMorgan Chase & Co Pg ADR","290.43B","-","-","191.03K","-","-","1.53","-"
"JPMorgan Chase & Co Ph ADR","290.43B","-","-","184.91K","-","-","1.54","-"
"JPMorgan Chase & Co Pe ADR","290.43B","-","-","268.05K","-","-","1.58","-"
"JPMorgan Chase Pref EE","289.48B","-","-","335.35K","-","-","-","-"
"Procter&Gamble","289.20B","62.50","70.35B","11.81M","1.89","0.42","3.16","2.68%"
"JPMorgan","284.27B","10.81","67.07B","24.18M","8.86","1.18","3.60","3.76%"
"Samsung Electronics Co","273.27B","-","5.07T","18.00","-","-","0.99","3.08%"
"Mastercard","269.90B","35.30","17.00B","7.38M","7.79","1.06","1.60","0.58%"
"UnitedHealth","269.64B","20.48","246.27B","6.22M","14.28","0.72","4.32","1.48%"
"Taiwan Semiconductor","264.04B","20.47","25.56B","10.08M","2.60","0.91","1.67","3.14%"
"Industrial Commercial Bank of China","260.92B","-","-","117.62K","-","-","0.73","-"
"Intel","243.50B","11.61","71.97B","32.34M","5.17","0.82","1.32","2.20%"
"ICBC","242.30B","-","13.92B","26.22K","-","-","-","5.00%"
"Verizon","235.20B","12.93","131.87B","22.16M","4.44","0.44","2.46","4.28%"
"Home Depot","234.89B","21.45","110.23B","6.85M","10.25","1.03","6.00","2.73%"
"China Construction Bank Corp","227.63B","-","-","220.41K","-","-","0.91","-"
"China Construction Bank","227.63B","-","12.02B","138.23K","-","-","-","5.08%"
"Pinduoduo","219.67B","-","663.12M","8.29M","-0.85","-","-","-"
"AT&T ELKS","218.34B","-","-","126.38K","-","-","1.41","-"
"AT&T","214.47B","15.43","179.15B","47.56M","1.97","0.67","2.08","6.83%"
"Pfizer","208.87B","14.02","50.66B","32.52M","2.74","0.71","1.52","3.96%"
"Bank of America Corp Pe ADR","208.30B","-","-","38.72K","-","-","1.00","-"
"Bank of America Corp Pl Pref","208.30B","-","-","13.78K","-","-","72.50","-"
"Bank of America Corp Py ADR","208.30B","-","-","34.16K","-","-","1.63","-"
"Bank of America Corp Pl ADR","208.30B","-","-","42.69K","-","-","1.00","-"
"Bank of America Corp Pw ADR","208.30B","-","-","24.48K","-","-","1.66","-"
"Bank of America Corp Pg ADR","208.30B","-","-","7.99K","-","-","0.75","-"
"Bank of America Corp Ph ADR","208.30B","-","-","33.60K","-","-","0.75","-"
"Bank of America Corp Pj ADR","208.30B","-","-","27.38K","-","-","1.00","-"
