"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Rosneft","47.74B","-","-","43.72K","-","-","0.42","9.21%"
"Saipem ADR","47.02B","-","-","30.50K","-","-","0.02","-"
"Bank of Nova Scotia","46.93B","8.23","525.12M","1.90M","4.88","0.95","2.57","4.93%"
"Charles Schwab","46.92B","14.70","11.50B","14.78M","2.57","1.28","0.72","1.91%"
"Kimberly-Clark","46.59B","20.22","18.83B","2.39M","6.85","0.51","4.28","3.09%"
"Zurich Insurance Group","46.51B","11.37","68.31B","123.33K","2.77","0.46","2.04","6.48%"
"Zurich Insurance Group","46.51B","-","68.31B","369.00","-","-","-","5.64%"
"Morgan Stanley Pref K","46.49B","11.95","-","159.43K","4.05","1.44","1.46","-"
"Equinor ADR","46.17B","24.56","62.91B","5.49M","0.55","1.12","1.04","7.66%"
"Equinor","46.17B","-","-","200.05K","-","-","-","4.48%"
"Chubb","45.85B","13.49","34.05B","2.90M","8.01","0.69","3.00","2.78%"
"Vinci ADR","45.48B","-","-","207.52K","-","-","0.82","-"
"Moodys","45.29B","30.25","4.98B","1.35M","8.06","1.17","2.24","0.92%"
"PNC Financial Services Group Pq ADR","45.19B","-","-","58.26K","-","-","1.34","-"
"PNC Financial Services Group Pp ADR","45.19B","-","-","196.14K","-","-","1.53","-"
"Danone PK","45.05B","21.32","556.31M","1.64M","0.65","0.75","0.43","3.15%"
"Adidas ADR","45.03B","-","-","113.02K","-","-","1.88","-"
"Anhui Conch Cement Co","44.99B","-","-","22.18K","-","-","1.42","-"
"Illumina","44.97B","47.37","3.54B","1.49M","6.74","0.95","-","-"
"Petroleo Brasileiro Petrobras ADR","44.97B","8.24","6.65B","38.50M","0.84","1.93","0.18","3.88%"
"Petroleo Brasileiro ADR Reptg 2 Pref","44.97B","8.24","6.65B","11.32M","0.84","1.93","0.80","3.88%"
"Adidas","44.93B","-","495.22M","3.43K","-","-","-","-"
"Shin-Etsu Chemical ADR","44.78B","-","-","143.30K","-","-","0.39","-"
"Daiichi Sankyo ADR","44.73B","-","-","13.76K","-","-","-","-"
"Baxter","44.67B","58.10","11.53B","3.41M","1.53","0.84","0.88","0.99%"
"Progressive","44.58B","11.50","39.00B","3.98M","6.72","0.52","0.40","0.52%"
"NetEase","44.57B","23.93","1.71B","841.19K","14.41","0.71","6.89","2.00%"
"Bank Central Asia ADR","44.49B","-","-","4.25K","-","-","0.91","-"
"Safran","44.10B","-","552.16M","8.88K","-","-","-","1.28%"
"Safran SA","44.10B","-","-","287.85K","-","-","0.51","-"
"Norfolk Southern","43.78B","18.61","11.08B","2.08M","9.20","1.39","3.76","2.20%"
"PNC Financial","43.68B","9.92","10.66B","3.09M","10.75","1.26","4.60","4.31%"
"JSC MMC Norilsk Nickel ADR","43.55B","-","-","105.76K","-","-","2.98","-"
"Dollar General","43.51B","26.39","27.75B","2.67M","6.64","0.49","1.44","0.82%"
"Relx ADR","43.41B","23.39","173.23M","978.17K","0.97","0.61","0.58","2.57%"
"Relx","43.41B","26.65","173.23M","3.35K","0.52","0.83","0.33","2.54%"
"CITIC Securities ADR","43.38B","-","-","525.00","-","-","1.13","-"
"Deere&Company","43.31B","14.48","38.92B","2.24M","10.02","0.94","3.04","2.10%"
"Edwards Lifesciences","43.28B","41.54","4.48B","1.72M","5.24","0.85","-","-"
"Applied Materials","43.12B","16.42","15.02B","10.78M","3.02","1.38","0.88","1.77%"
"Xiaomi","42.99B","-","-","885.93K","-","-","-","-"
"Oersted","42.44B","-","1.54B","1.36K","-","-","-","1.75%"
"Dong Energy ADR","42.44B","-","-","28.69K","-","-","0.52","-"
"ConocoPhillips","42.16B","13.18","29.45B","11.95M","3.19","1.71","1.68","3.99%"
"Worldpay","42.01B","283.78","970.00M","19.55M","0.48","0.76","-","-"
"Vale ADR","41.94B","345.53","3.28B","33.52M","0.02","1.00","0.25","4.21%"
"Oriental Land ADR","41.85B","-","-","4.56K","-","-","-","-"
"Novatek DRC","41.80B","3.53","17.89B","211.00","38.78","1.18","2.30","3.29%"
"Waste Management","41.61B","25.58","15.46B","3.21M","3.91","0.75","2.18","2.18%"
"Nordea Bank ADR","41.43B","-","-","494.83K","-","-","0.45","-"
