"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"CK Infrastructure","15.02B","-","-","336.00","-","-","-","2.07%"
"Covestro ADR","14.97B","-","-","62.26K","-","-","1.35","-"
"Cooper","14.95B","31.86","2.67B","342.40K","9.00","0.90","0.06","0.02%"
"TransUnion","14.91B","44.60","2.72B","1.82M","1.82","1.21","0.30","0.37%"
"Air China ADR","14.91B","-","-","2.80K","-","-","0.13","-"
"Orix","14.90B","4.90","51.11B","68.49K","12.09","0.89","3.78","6.30%"
"Southwest Airlines","14.87B","9.38","21.51B","13.04M","3.33","1.27","0.72","2.30%"
"Kubota ADR","14.85B","10.98","42.24B","32.06K","5.67","0.96","0.79","2.67%"
"Banco Do Brasil SA","14.81B","-","-","457.87K","-","-","0.57","-"
"Subaru ADR","14.81B","-","-","128.48K","-","-","-","-"
"Subaru Corp","14.81B","-","-","3.82K","-","-","-","5.71%"
"Snam ADR","14.81B","-","-","7.51K","-","-","0.72","-"
"UPM-Kymmene Corp","14.79B","8.40","5.30B","6.86K","3.05","1.29","1.37","5.78%"
"Crowdstrike Holdings","14.77B","-","481.42M","5.13M","-0.84","-","-","-"
"Fortum","14.77B","-","-","2.59K","-","-","-","5.89%"
"Agnico Eagle Mines","14.75B","29.73","2.49B","2.62M","1.97","0.73","0.80","1.36%"
"Arthur J Gallagher","14.69B","22.23","7.20B","1.35M","3.53","0.69","1.80","2.29%"
"Nomura Research ADR","14.68B","-","-","1.36K","-","-","-","-"
"RWE AG PK","14.68B","-","288.75M","75.06K","-2.34","1.03","0.77","6.16%"
"Vulcan Materials","14.67B","24.21","4.93B","1.63M","4.67","0.84","1.36","1.20%"
"Legal & General Group Plc","14.61B","-","-","94.24K","-","-","1.09","-"
"Tableau Software","14.61B","-","282.46M","6.19M","-1.37","1.47","-","-"
"Check Point Software","14.59B","19.15","2.01B","1.60M","5.52","0.63","-","-"
"Quest Diagnostics","14.58B","19.44","7.66B","2.11M","5.66","1.37","2.24","2.03%"
"Deutsche Wohnen ADR","14.58B","-","-","56.80K","-","-","0.49","-"
"Roku","14.57B","-","1.13B","13.67M","-0.52","-","-","-"
"Alnylam","14.56B","-","219.74M","835.10K","-8.14","1.89","-","-"
"Akzo Nobel ADR","14.54B","25.12","201.28M","98.37K","1.01","1.04","0.69","2.74%"
"Bank Mandiri Persero","14.53B","-","1.49T","124.40K","-","-","-","2.58%"
"PT Bank Mandiri Persero TBK","14.53B","-","-","293.67K","-","-","0.43","-"
"M&T Bank Corp P Pref","14.51B","-","-","494.00","-","-","63.75","-"
"NTT Data ADR","14.48B","-","-","608.00","-","-","-","-"
"Boston Properties","14.45B","16.56","2.96B","1.31M","5.87","1.11","3.92","4.03%"
"Telefonica Brasil ADR","14.44B","15.87","973.90M","2.15M","0.56","0.71","0.52","20.18%"
"Geely Automobile","14.40B","-","-","108.21K","-","-","-","2.06%"
"Geely Automobile ADR","14.40B","-","-","28.11K","-","-","1.54","-"
"Compagnie Saint-Gobain ADR","14.37B","-","-","440.31K","-","-","0.61","-"
"Wipro ADR","14.36B","14.85","13.43B","1.38M","0.22","0.55","0.01","0.43%"
"Trip.com ADR","14.31B","17.37","784.65M","7.51M","1.48","1.61","-","-"
"WW Grainger","14.31B","19.53","11.49B","424.06K","14.11","0.96","5.76","2.09%"
"Galapagos","14.30B","-","-","17.00K","-","-","-","-"
"Galapagos ADR","14.25B","-","-","207.24K","-","-","-","-"
"ChipMOS Tech","14.25B","8.45","447.43M","18.37K","2.36","0.84","1.21","4.97%"
"China Galaxy Securities ADR","14.25B","-","-","1.15K","-","-","-","-"
"Dominos Pizza ADR","14.25B","-","-","1.38K","-","-","0.39","-"
"Power Assets Holdings","14.23B","-","-","18.35K","-","-","0.36","-"
"Telia ADR","14.21B","-","-","120.37K","-","-","0.42","-"
"Baker Hughes A","14.13B","-","23.65B","8.42M","-15.47","1.69","0.72","5.16%"
"Grifols ADR","14.09B","-","-","1.14M","-","-","0.40","-"
"Liberty Global","14.08B","-","11.54B","2.12M","-2.36","1.24","-","-"
