"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"JG Summit ADR","7.23B","-","-","0.00","-","-","0.14","-"
"Juniper","7.22B","22.22","4.44B","4.69M","0.97","0.95","0.80","3.70%"
"AB SKF","7.21B","13.78","1.87B","47.08K","1.14","1.26","0.30","1.89%"
"Kinder Morgan Canada","7.21B","-","309.20M","602.00","-","-","0.49","4.29%"
"Fortune Brands","7.20B","15.75","5.76B","1.65M","3.06","1.59","0.96","1.99%"
"Perrigo","7.18B","38.76","5.00B","1.40M","1.38","1.20","0.90","1.69%"
"Guidewire","7.18B","-","701.20M","914.53K","-0.26","1.23","-","-"
"Kose ADR","7.18B","-","-","51.48K","-","-","-","-"
"China Coal Energy ADR","7.17B","-","-","300.00","-","-","0.23","-"
"StoneCo","7.17B","52.54","52.57M","3.48M","0.53","-","-","-"
"Novocure Ltd","7.16B","-","351.31M","924.71K","-0.08","1.68","-","-"
"ZoomLion","7.14B","-","-","400.00","-","-","0.36","-"
"Orion ADR","7.14B","-","-","387.00","-","-","0.81","-"
"MTU Aero Engines AG","7.12B","-","-","9.13K","-","-","1.84","-"
"Ciena Corp","7.11B","7.27","3.63B","2.23M","6.36","0.84","-","-"
"Siam Commercial Bank ADR","7.11B","-","-","3.66K","-","-","0.79","-"
"Suncorp Group ADR","7.11B","-","-","1.95K","-","-","0.47","-"
"Bunzl plc","7.11B","16.63","205.19M","57.42K","1.32","0.77","0.67","0.93%"
"Severn Trent","7.10B","-","-","800.00","-","-","-","4.02%"
"Toray Industries ADR","7.10B","-","-","115.57K","-","-","-","-"
"AGNC Invest ADR","7.10B","-","-","116.13K","-","-","1.75","-"
"Severn Trent PLC PK","7.10B","-","-","1.47K","-","-","1.22","-"
"ANA Holdings ADR","7.10B","-","-","3.55K","-","-","0.11","-"
"CNP Assurances ADR","7.08B","-","-","1.60K","-","-","1.01","-"
"Fidelity Financial","7.07B","9.43","8.36B","3.42M","2.87","1.25","1.32","4.88%"
"New York Mortgage Trust Inc Pref","7.06B","3.68","789.13M","33.90K","0.63","2.06","0.80","34.33%"
"Adecco Group","7.06B","-","-","98.74K","-","-","1.28","-"
"Publicis Groupe SA","7.06B","7.58","242.02M","177.60K","0.97","0.74","0.59","8.04%"
"Whirlpool","7.04B","5.73","20.42B","1.19M","19.49","1.98","4.80","4.30%"
"Lundbeck","7.03B","-","-","1.29K","-","-","-","2.89%"
"H Lundbeck AS","7.03B","-","-","5.97K","-","-","0.61","-"
"Avalara","7.03B","-","382.43M","942.24K","-0.68","-","-","-"
"Lennox","7.02B","20.78","3.74B","482.80K","8.98","0.88","3.08","1.65%"
"Pacific Gas and Electric Co Pa Pref","7.01B","-","21.14B","4.41K","-28.88","0.35","-","-"
"DCC ADR","7.01B","-","-","4.97K","-","-","0.90","-"
"Mellanox","7.00B","27.22","1.45B","1.40M","4.59","0.34","-","-"
"ACADIA","7.00B","-","339.08M","1.35M","-1.60","1.82","-","-"
"Suez","7.00B","-","396.34M","3.90K","-","-","-","5.19%"
"Suez Environnement Co SA","7.00B","-","-","72.19K","-","-","0.36","-"
"AMH 4 Rent","7.00B","84.33","1.14B","3.23M","0.29","0.61","0.20","0.83%"
"HubSpot Inc","7.00B","-","674.86M","942.91K","-1.28","1.58","-","-"
"AGNC Invest","6.97B","-","123.00M","13.80M","-3.78","0.90","1.44","11.59%"
"Brenntag ADR","6.97B","-","-","92.64K","-","-","0.27","-"
"Scotts Miracle-Gro","6.97B","15.51","3.22B","502.35K","8.00","0.92","2.32","1.87%"
"Yamato ADR","6.96B","-","-","679.00","-","-","-","-"
"Entegris","6.96B","26.11","1.61B","1.05M","2.08","1.27","0.32","0.59%"
"Burberry Group Plc","6.96B","-","-","190.70K","-","-","0.53","-"
"Santen Pharmaceutical Co","6.95B","-","-","35.06K","-","-","-","-"
"Kilroy","6.93B","-","837.46M","1.07M","-","0.76","1.94","3.12%"
"Altera Infrastructure LP","6.91B","-","-","23.60K","-","-","2.13","-"
