"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Reckitt Benckiser","58.30B","-","282.61M","6.82K","-","-","-","2.63%"
"Intuitive Surgical","58.24B","44.05","4.60B","1.03M","11.60","0.91","-","-"
"Regeneron Pharma","57.91B","28.47","7.86B","1.38M","18.47","0.53","-","-"
"TJX","57.84B","18.38","42.22B","10.38M","2.67","0.70","0.92","1.88%"
"Equinix","57.63B","112.60","5.56B","633.63K","6.00","0.44","10.64","1.58%"
"Southern","57.52B","12.58","21.42B","6.69M","4.51","0.46","2.56","4.51%"
"Canadian National Railway","57.51B","18.72","328.20M","1.23M","4.43","0.89","1.64","1.98%"
"Sberbank","56.97B","-","-","287.27K","-","-","1.01","-"
"General Electric","56.94B","11.09","115.74B","101.06M","0.61","0.97","0.04","0.59%"
"U.S. Bancorp Pa ADR","56.21B","-","-","1.29K","-","-","35.39","-"
"U.S. Bancorp Po ADR","56.21B","-","-","50.66K","-","-","1.29","-"
"U.S. Bancorp Ph ADR","56.21B","-","-","128.11K","-","-","0.89","-"
"U.S. Bancorp Pm ADR","56.21B","-","-","137.52K","-","-","1.63","-"
"Takeda Pharma ADR","55.72B","-","-","1.73M","-","-","1.22","-"
"Takeda Pharmaceutical","55.72B","-","-","24.13K","-","-","-","4.17%"
"Ecolab","54.96B","36.57","14.98B","1.79M","5.29","0.99","1.88","0.97%"
"Northrop Grumman","54.78B","24.91","34.27B","1.22M","13.27","0.81","5.28","1.60%"
"Bank of Communications ADR","54.47B","-","-","500.00","-","-","1.09","-"
"Essilor International SA","54.17B","-","-","120.68K","-","-","1.14","-"
"Target","54.09B","17.31","78.11B","6.07M","6.34","0.76","2.64","2.41%"
"US Bancorp","53.59B","9.44","13.33B","10.60M","3.87","1.19","1.68","4.60%"
"VMware","52.35B","36.86","10.81B","1.66M","3.57","0.75","-","-"
"Uber Tech","51.77B","-","14.15B","39.97M","-6.62","-","-","-"
"Illinois Tool Works","51.06B","20.98","14.11B","1.88M","7.75","1.17","4.28","2.63%"
"CNOOC ADR","50.63B","5.80","5.13B","199.49K","19.36","1.17","10.01","8.91%"
"CNOOC","50.63B","-","5.13B","10.25K","-","-","-","4.34%"
"Boston Scientific","50.36B","12.35","10.79B","12.35M","3.03","0.95","-","-"
"Micron","50.14B","24.00","19.60B","31.11M","2.00","1.63","-","-"
"Activision Blizzard","49.89B","32.69","6.49B","8.77M","1.95","0.59","0.41","0.64%"
"Mitsubishi UFJ Financial ADR","49.86B","9.45","77.12B","2.18M","0.42","1.24","0.22","5.43%"
"CSX","49.76B","15.97","11.78B","5.94M","4.15","1.23","1.04","1.57%"
"Nintendo ADR","49.76B","-","-","435.61K","-","-","-","-"
"Brookfield Asset Management","49.72B","24.29","67.83B","3.73M","1.39","1.18","0.32","1.35%"
"Airbus Group NV","49.70B","-","-","1.07M","-","-","0.50","-"
"Airbus Group","49.70B","-","1.51B","25.29K","-","-","-","1.22%"
"Newmont Goldcorp","49.30B","16.64","9.74B","9.96M","3.58","0.41","1.00","1.68%"
"Humana","49.19B","19.61","67.72B","1.68M","19.48","0.91","2.50","0.65%"
"Air Products","49.13B","25.54","8.98B","1.50M","8.83","0.87","5.36","2.38%"
"Recruit Holdings","49.05B","-","-","3.51K","-","-","-","0.79%"
"Heineken NV","49.01B","20.65","527.32M","105.40K","2.07","0.75","0.93","3.50%"
"Banco Bradesco S/A ADR","48.95B","-","-","19.91K","-","-","0.42","-"
"Marsh McLennan","48.93B","27.93","17.23B","2.74M","3.48","0.86","1.82","1.87%"
"Charles Schwab Corp Pc ADR","48.71B","-","-","89.23K","-","-","1.50","-"
"Biogen","48.68B","9.16","14.38B","2.28M","32.40","0.54","-","-"
"Postal Savings Bank ADR","48.61B","-","-","0.00","-","-","0.56","-"
"ICE","48.56B","23.91","5.49B","4.91M","3.74","0.54","1.20","1.34%"
"Global Payments","48.55B","70.62","4.91B","2.65M","2.35","1.14","0.78","0.47%"
"Fast Retailing ADR","48.31B","-","-","32.11K","-","-","-","-"
"Sherwin-Williams","47.92B","30.96","17.90B","782.73K","17.32","1.22","5.36","1.00%"
"Barrick Gold","47.88B","11.43","9.72B","22.50M","2.25","0.29","0.28","1.09%"
