"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Mondi ADR","8.62B","-","-","8.43K","-","-","1.88","-"
"Ceridian HCM","8.62B","113.19","824.10M","1.51M","0.53","-","-","-"
"Shaw B","8.60B","17.01","119.13M","1.03M","0.96","0.60","0.91","4.27%"
"The AES","8.60B","29.26","10.19B","6.09M","0.45","0.99","0.57","4.33%"
"Hargreaves Lansdown ADR","8.60B","-","-","617.00","-","-","1.11","-"
"Dr Reddys Labs","8.60B","39.42","3.75B","228.23K","1.30","0.48","0.27","0.55%"
"Kinross Gold","8.59B","11.62","3.50B","23.72M","0.57","1.03","-","-"
"Torchmark","8.59B","12.29","4.54B","699.74K","6.70","1.13","0.75","0.91%"
"Julius Baer Group","8.58B","-","-","253.79K","-","-","0.16","-"
"Technip","8.58B","15.75","-","25.41K","1.13","1.28","0.53","-"
"BDO Unibank ADR","8.57B","-","-","5.61K","-","-","0.23","-"
"Bank Hapoalim BM","8.56B","-","-","1.35K","-","-","1.01","-"
"Halliburton","8.54B","-","21.71B","30.30M","-2.62","2.53","0.72","6.86%"
"Chow Tai Fook Jewellery Group","8.54B","-","-","1.50K","-","-","-","4.52%"
"Chow Tai Fook Jewellery Group","8.54B","-","-","8.64K","-","-","0.79","-"
"Royal Caribbean Cruises","8.53B","5.23","10.95B","18.28M","8.95","2.49","3.12","6.67%"
"Amdocs","8.52B","-","3.07B","1.12M","-","0.71","1.31","2.03%"
"Makita","8.52B","18.40","10.93B","30.72K","1.76","0.88","0.58","0.88%"
"Admiral Group ADR","8.50B","-","-","1.98K","-","-","2.56","-"
"Dynatrace Holdings","8.48B","-","511.40M","2.44M","-1.89","-","-","-"
"Camden Property","8.47B","40.06","1.28B","990.11K","2.20","0.79","3.32","3.77%"
"Sage ADR","8.46B","-","-","25.72K","-","-","0.86","-"
"Avantor","8.45B","-","6.08B","3.06M","-0.44","-","-","-"
"Monolithic","8.45B","76.71","652.34M","414.88K","2.61","1.25","2.00","1.00%"
"Weibo Corp","8.45B","17.47","1.77B","1.93M","2.15","1.78","-","-"
"Ubisoft","8.43B","-","-","5.15K","-","-","-","-"
"UbiSoft Entertainment Inc","8.43B","-","-","76.72K","-","-","-","-"
"WestRock Co","8.43B","10.23","18.39B","3.14M","3.34","1.63","1.86","5.45%"
"Molson Coors Brewing B","8.43B","-","10.38B","2.47M","-0.13","0.91","2.28","5.56%"
"Crown","8.41B","17.56","11.67B","1.57M","3.67","1.27","-","-"
"Telecom Italia ADR","8.40B","-","4.47B","83.48K","-0.77","0.75","-","-"
"Telecom Italia A","8.40B","-","4.47B","35.50K","-0.77","0.75","0.31","-"
"Sony Financial Holdings Inc","8.39B","-","-","325.00","-","-","-","-"
"Vornado Realty Trust Pk Pref","8.36B","-","-","33.63K","-","-","1.43","-"
"Vornado Realty Trust Pl Pref","8.36B","-","-","40.63K","-","-","1.35","-"
"Ppd","8.35B","-","2.07B","2.39M","-","-","-","-"
"Mylan","8.34B","528.36","11.50B","7.47M","0.03","1.55","-","-"
"Pinnacle West","8.33B","20.95","3.47B","1.20M","3.68","0.35","3.13","4.07%"
"Zayo Group Holdings Inc","8.31B","46.90","2.59B","5.40M","0.75","0.60","-","-"
"Insurance Australia ADR","8.31B","-","-","2.16K","-","-","0.97","-"
"PagSeguro Digital","8.30B","33.09","125.56M","2.48M","0.77","-","-","-"
"Monotaro Co","8.30B","-","-","18.25K","-","-","0.22","-"
"Everest","8.30B","7.01","10.22B","414.13K","24.70","0.41","6.20","3.58%"
"Tenaris ADR","8.29B","-","7.18B","2.77M","-0.27","1.47","0.26","7.89%"
"FamilyMart UNY ADR","8.29B","-","-","1.18K","-","-","1.07","-"
"Prada Spa PK","8.29B","-","-","14.58K","-","-","0.13","-"
"RPM","8.29B","26.73","7.12B","848.80K","2.48","1.09","1.44","2.17%"
"Axa Equitable","8.28B","-","13.59B","4.67M","-3.65","-","0.60","3.16%"
"CenterPoint Energy","8.28B","12.76","12.30B","8.26M","1.33","0.97","0.60","3.52%"
"Colruyt SA","8.27B","-","-","2.69K","-","-","0.36","-"
