"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Nine Dragons Paper ADR","4.54B","-","-","565.00","-","-","0.80","-"
"Nagacorp ADR","4.54B","-","-","200.00","-","-","3.73","-"
"Schibsted ADR","4.54B","-","-","300.00","-","-","0.23","-"
"ICU Medical","4.53B","46.71","1.27B","177.07K","4.70","0.59","-","-"
"National Oilwell Varco","4.53B","-","8.42B","5.20M","-21.10","1.82","0.20","1.58%"
"Onex Corp","4.52B","-","306.00M","12.84K","-","-","0.29","0.52%"
"Husky Energy Inc.","4.52B","-","428.49M","60.96K","-2.45","1.76","0.04","3.47%"
"Direct Line Insurance","4.51B","-","-","1.59K","-","-","1.02","-"
"American Campus","4.50B","-","943.05M","1.54M","-","1.08","1.88","5.33%"
"American Airlines","4.50B","-","43.70B","54.22M","-1.87","1.76","0.40","3.33%"
"Rubis ADR","4.49B","-","-","13.00K","-","-","0.36","-"
"NewMarket","4.49B","16.56","2.21B","71.19K","24.84","0.53","7.60","1.85%"
"Banca Mediolanum SPA ADR","4.48B","-","-","1.24K","-","-","1.20","-"
"China Merchants Port ADR","4.48B","-","-","963.00","-","-","0.29","-"
"Banca Mediolanum","4.48B","-","-","1.14K","-","-","-","6.33%"
"Leggett&Platt","4.47B","14.25","4.75B","1.46M","2.46","1.62","1.60","4.55%"
"Owens Corning","4.46B","-","7.09B","1.67M","-5.14","1.47","0.96","2.21%"
"Brother Industries ADR","4.46B","-","-","1.99K","-","-","-","-"
"TCF Financial","4.45B","10.83","-","1.03M","1.97","1.29","0.60","2.81%"
"First Solar","4.45B","-","3.06B","1.89M","-1.09","1.25","-","-"
"IDACORP","4.45B","19.92","1.35B","354.87K","4.61","0.45","2.68","2.92%"
"Axalta Coating Systems","4.44B","18.69","4.48B","3.49M","1.06","1.56","-","-"
"ICL Israel Chemicals","4.44B","-","-","378.75K","-","-","0.18","3.73%"
"Columbia Sportswear","4.43B","14.86","3.04B","501.44K","4.91","0.65","1.04","1.01%"
"Under Armour A","4.43B","51.41","5.27B","7.40M","0.20","1.22","-","-"
"ITT","4.43B","14.45","2.85B","958.21K","3.65","1.59","0.68","1.28%"
"Agile ADR","4.42B","-","-","200.00","-","-","6.41","-"
"Synnex","4.41B","8.41","29.02B","436.89K","10.41","1.47","1.60","2.15%"
"Ackermans Van Haaren ADR","4.39B","-","-","0.00","-","-","0.18","-"
"Apollo Bancorp","4.39B","-","-","966.00","-0.13","0.84","2.08","-"
"Spark Therapeutics Inc","4.38B","-","56.72M","2.52M","-6.55","2.02","-","-"
"Marathon Oil","4.38B","10.36","5.14B","41.26M","0.59","3.46","0.20","3.27%"
"Manhattan Associates","4.38B","52.70","623.45M","837.08K","1.35","1.94","-","-"
"Farfetch A","4.37B","-","1.02B","4.40M","-1.21","-","-","-"
"Chongqing Bank ADR","4.37B","-","-","0.00","-","-","1.62","-"
"Sealed Air","4.37B","18.68","4.79B","1.85M","1.53","1.12","0.64","2.24%"
"Sermaster G","4.37B","36.35","2.08B","1.71M","0.94","0.82","-","-"
"Akbank Turk Anonim Sirketi","4.37B","-","-","110.10K","-","-","0.20","-"
"Crown Resorts ADR","4.37B","-","-","3.45K","-","-","0.79","-"
"Turkcell Iletisim Hizmetleri","4.36B","10.47","574.64M","496.75K","0.47","0.79","0.34","6.77%"
"Treasury Wine Estates","4.36B","-","63.72M","9.22K","-","-","-","2.05%"
"Treasury Wine Estates Ltd PK","4.36B","-","-","127.49K","-","-","0.25","-"
"Bill Com","4.36B","-","134.18M","848.46K","-0.28","-","-","-"
"AusNet Services","4.36B","13.67","41.50M","3.10K","0.09","0.34","0.08","5.11%"
"Uni-President China ADR","4.35B","-","-","20.00","-","-","3.50","-"
"Kemper","4.35B","8.44","4.91B","355.40K","7.96","0.67","1.20","1.79%"
"Ollies Bargain Outlet Holdings Inc","4.35B","32.24","1.41B","1.84M","2.14","1.30","-","-"
"Wartsila ADR","4.34B","-","-","2.35K","-","-","0.11","-"
"Top Glove ADR","4.33B","-","-","12.46K","-","-","0.07","-"
"Legg Mason","4.33B","17.92","2.92B","3.24M","2.78","0.77","1.60","3.21%"
