"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Wal Mart Mexico","41.31B","-","18.00B","27.75K","-","-","-","3.52%"
"Wal-Mart De Mexico","41.31B","25.85","18.00B","117.21K","0.93","0.50","0.50","4.38%"
"Aon","41.20B","27.16","11.01B","1.87M","6.36","0.84","1.76","1.02%"
"Itau Unibanco","41.13B","8.34","2.20B","35.63M","0.50","0.91","0.71","10.88%"
"L3Harris Technologies","41.09B","24.57","8.02B","1.67M","7.88","0.77","3.40","1.76%"
"Hong Kong Exchange & Clearing","41.06B","-","-","55.03K","-","-","0.86","-"
"Lukoil DRC","40.92B","5.09","172.51B","98.26K","12.69","1.06","5.56","8.61%"
"Zoom Video","40.87B","1.68K","744.64M","13.28M","0.09","-","-","-"
"National Grid ADR","40.78B","21.87","327.25M","762.84K","2.68","0.46","3.09","5.28%"
"ABB","40.65B","-","-","63.33K","-","-","-","4.12%"
"ABB ADR","40.65B","41.29","27.35B","2.75M","0.45","1.12","1.56","8.32%"
"American Electric Power","40.28B","21.42","15.56B","3.82M","3.88","0.39","2.80","3.37%"
"Honda Motor","40.14B","-","-","41.49K","-","-","-","3.48%"
"Honda Motor ADR","40.14B","9.60","341.49B","1.05M","2.51","0.92","1.04","4.31%"
"Pernod Ricard SA PK","40.13B","-","-","246.53K","-","-","0.69","-"
"China Overseas Land Investment","40.07B","-","-","18.20K","-","-","0.60","-"
"Infosys ADR","40.03B","17.80","19.97B","14.35M","0.52","0.72","0.25","2.85%"
"Sun Hung Kai Properties","39.83B","7.59","1.91B","130.82K","1.77","0.91","0.63","4.70%"
"China Pacific Insurance ADR","39.48B","-","-","600.00","-","-","1.26","-"
"BNP Paribas","39.30B","-","-","8.29K","-","-","-","6.88%"
"BNP Paribas ADR","39.30B","-","-","575.93K","-","-","1.68","-"
"UBS Group","38.89B","8.47","19.77B","4.77M","1.27","1.27","0.37","5.21%"
"Koninklijke Philips ADR","38.84B","34.50","428.78M","1.35M","1.27","1.04","0.94","2.28%"
"America Movil ADR","38.65B","50.80","22.26B","4.44M","0.24","0.68","0.37","3.05%"
"America Movil ADR A","38.65B","50.80","22.26B","7.66K","0.24","0.68","0.37","3.05%"
"Autodesk","38.42B","194.86","3.27B","2.42M","0.96","1.59","-","-"
"Atlassian Corp Plc","38.27B","-","1.42B","1.85M","-1.06","0.93","-","-"
"Tencent Music Entertainment Group","38.25B","33.46","559.55M","7.72M","0.34","-","-","-"
"Investor B","38.16B","-","-","5.47K","-","-","-","2.75%"
"Analog Devices","38.13B","33.89","7.29B","3.33M","3.23","1.37","2.48","2.26%"
"Ferrari NV","38.03B","25.72","82.87M","627.18K","4.37","-","1.23","-"
"Dassault Systemes","38.03B","-","-","525.00","-","-","-","0.42%"
"Dassault Systemes SA","38.03B","62.29","133.49M","22.47K","2.35","0.73","0.72","0.96%"
"Atlas Copco B","37.63B","14.37","-","1.90K","11.11","1.24","3.85","2.45%"
"Centene","37.63B","33.56","82.22B","6.38M","1.98","0.74","-","-"
"Atlas Copco AB","37.63B","-","-","87.66K","-","-","0.36","-"
"Atlas Copco A","37.63B","-","-","2.65K","-","-","-","2.45%"
"Atlas Copco ADR","37.63B","-","-","10.57K","-","-","0.36","-"
"Enterprise Products Partners LP","37.50B","8.46","32.79B","12.83M","2.08","1.38","1.78","10.14%"
"General Dynamics","37.07B","11.02","38.84B","2.28M","11.85","0.99","4.40","3.37%"
"Daimler","37.06B","90.15","3.75B","79.39K","0.38","1.56","0.99","4.96%"
"Prudential PLC Cap Sec","37.05B","-","-","34.11K","-","-","1.69","-"
"Santander ADR","37.03B","6.51","1.40B","10.73M","0.33","1.09","0.18","11.90%"
"Kao ADR","37.03B","-","-","223.66K","-","-","-","-"
"Daikin Industries ADR","37.02B","-","-","114.00K","-","-","2.40","-"
"Daimler ADR","36.98B","-","-","427.90K","-","-","0.24","-"
"Banco Santander Brasil ADR","36.74B","6.05","1.30B","1.52M","0.81","1.04","0.68","20.88%"
"Deutsche Post AG","36.72B","-","-","169.59K","-","-","1.28","-"
"Walgreens Boots","36.54B","11.12","138.70B","7.57M","3.89","0.56","1.83","4.23%"
"Annaly Capital Management Pc Pref","36.54B","-","-109.53M","10.20K","-1.59","0.46","1.91","10.71%"
