"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"West Pharmaceutical Services","14.08B","54.79","1.89B","525.18K","3.45","1.07","0.64","0.34%"
"Sysmex Corp","14.07B","-","-","31.15K","-","-","-","-"
"Grifols ADR","14.06B","-","-","825.00","-","-","0.19","-"
"SS&Cs","14.04B","33.26","4.63B","2.53M","1.66","1.48","0.50","0.91%"
"China Mengniu Dairy ADR","14.01B","-","-","21.94K","-","-","0.26","-"
"SK Telecom ADR","13.98B","17.14","390.36B","510.96K","1.12","0.72","0.09","4.72%"
"Shimao Property ADR","13.97B","-","-","600.00","-","-","1.66","-"
"Domino’s Pizza Inc","13.97B","34.64","3.66B","1.09M","10.45","0.36","3.12","0.86%"
"Dominos Pizza UK and IRL Plc","13.97B","-","-","9.79K","-","-","0.25","-"
"Sumitomo ADR","13.97B","-","-","92.70K","-","-","-","-"
"Shimao Property","13.97B","-","-","950.00","-","-","-","4.98%"
"BT ADR","13.95B","7.82","11.84B","2.66M","1.33","0.81","0.97","9.26%"
"Anglo American Platinum ADR","13.94B","-","-","12.01K","-","-","0.30","-"
"Techtronic Industries ADR","13.94B","22.13","7.67B","38.27K","1.68","1.21","0.66","2.29%"
"Paycom Soft","13.93B","77.65","937.62M","1.14M","3.36","1.54","-","-"
"Maxim","13.93B","18.51","2.20B","2.84M","2.97","1.32","1.92","3.49%"
"Occidental","13.92B","-","24.75B","39.35M","-1.00","2.02","0.44","2.65%"
"Take-Two","13.91B","41.47","2.87B","2.51M","2.92","0.55","-","-"
"Leidos","13.88B","21.40","11.09B","1.32M","4.62","1.14","1.36","1.38%"
"Xp","13.87B","67.87","103.22M","1.90M","0.37","-","-","-"
"Novozymes AS","13.86B","-","-","73.24K","-","-","0.78","-"
"Novozymes B","13.86B","-","322.94M","3.67K","-","-","-","1.42%"
"Cardinal Health","13.83B","-","149.66B","3.21M","-14.24","0.98","1.92","3.89%"
"Zijin Mining ADR","13.82B","-","-","250.00","-","-","0.29","-"
"Zijin Mining Group","13.82B","-","3.15B","8.81K","-","-","-","3.35%"
"Molson Coors Brewing A","13.75B","-","10.38B","1.08K","-0.13","0.91","2.28","5.56%"
"M&T Bank","13.74B","-","3.46B","1.01M","-","1.25","4.40","3.93%"
"Shimano ADR","13.72B","-","-","120.41K","-","-","-","-"
"Hartford Financial Services Group Fixed To Floatin","13.71B","-","-","75.48K","-","-","1.97","-"
"Symrise Ag PK","13.69B","-","-","108.06K","-","-","0.25","-"
"Ameriprise Financial","13.68B","8.24","12.89B","1.10M","13.94","1.77","3.88","3.38%"
"Pioneer Natural","13.66B","19.75","9.67B","2.91M","4.52","1.79","2.20","2.46%"
"Shinkin Central Bank ADR","13.63B","-","-","0.00","-","-","-","-"
"Liberty Global C","13.60B","-","11.54B","4.21M","-2.36","1.24","-","-"
"Guangdong Investment","13.60B","-","-","1.75K","-","-","3.50","-"
"Hess","13.54B","-","6.50B","4.61M","-1.36","2.29","1.00","2.06%"
"IFF","13.53B","32.79","5.14B","1.39M","4.00","1.10","3.00","2.29%"
"Coles Group","13.49B","-","817.63M","100.00","-","-","-","1.78%"
"Weyerhaeuser","13.41B","-","6.55B","5.87M","-0.10","1.92","1.36","6.22%"
"Fifth Third Bancorp ADR","13.37B","-","-","49.31K","-","-","1.66","-"
"International Paper","13.35B","11.14","22.38B","3.94M","3.07","1.37","2.05","5.99%"
"CBRE A","13.35B","11.26","23.89B","2.38M","3.81","1.74","-","-"
"Trade Desk","13.34B","130.14","661.05M","2.17M","2.26","2.66","-","-"
"Atlantia ADR","13.34B","-","-","108.47K","-","-","0.88","-"
"Datadog","13.26B","-","362.77M","3.61M","-0.05","-","-","-"
"Repsol SA","13.26B","-","1.09B","384.46K","-2.88","0.96","0.55","6.29%"
"Avangrid Inc","13.24B","19.05","6.29B","855.00K","2.34","0.32","1.76","3.95%"
"Societe Generale ADR","13.23B","-","953.46M","1.12M","-","1.27","0.49","15.67%"
"Biontech","13.21B","-","1.14M","850.68K","-0.56","-","-","-"
"Ramsay Health ADR","13.21B","-","-","1.43K","-","-","0.25","-"
