"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Mohawk Industries","5.93B","8.50","9.97B","1.02M","10.32","1.52","-","-"
"Federal Realty","5.93B","18.10","935.80M","878.53K","4.60","0.96","4.20","5.04%"
"Dai Nippon Printing ADR","5.93B","-","-","62.36K","-","-","-","-"
"Vereit Inc Pref","5.92B","-","-","205.32K","-","-","1.68","-"
"AAC Technologies Holdings Inc","5.92B","-","-","95.49K","-","-","0.18","-"
"Toto","5.91B","-","-","1.72K","-","-","-","-"
"Gentex","5.90B","14.95","2.31B","2.19M","1.62","1.12","0.48","1.98%"
"Smiths Group Plc","5.90B","-","-","107.50K","-","-","0.59","-"
"Repligen","5.89B","264.57","270.23M","580.74K","0.44","1.05","-","-"
"Dentsu ADR","5.89B","-","-","80.20K","-","-","-","-"
"Dentsu Inc.","5.89B","-","-","0.00","-","-","-","2.26%"
"Pacific Gas and Electric Co Pd Pref","5.88B","-","21.14B","2.00K","-28.88","0.35","-","-"
"Globe Telecom ADR","5.88B","-","-","1.04K","-","-","1.85","-"
"Elbit Systems","5.87B","26.18","4.51B","29.81K","5.19","0.85","1.76","1.29%"
"Dolby Labs","5.87B","20.20","1.23B","509.11K","2.97","0.87","0.88","1.47%"
"Pacific Gas and Electric Co Pc Pref","5.86B","-","-","1.54K","-","-","1.25","-"
"Pacific Gas and Electric Co Pg Pref","5.86B","-","-","2.70K","-","-","1.20","-"
"Pacific Gas and Electric Co Ph Pref","5.86B","-","-","1.47K","-","-","1.13","-"
"Pacific Gas and Electric Co Pi Pref","5.86B","-","-","1.16K","-","-","1.09","-"
"Pacific Gas and Electric Co Pb Pref","5.86B","-","-","3.12K","-","-","1.38","-"
"Pacific Gas and Electric Co Pe Pref","5.86B","-","21.14B","1.94K","-28.88","0.35","-","-"
"Quidel","5.85B","80.89","534.89M","565.61K","1.72","1.06","-","-"
"Kion ADR","5.85B","-","-","14.06K","-","-","0.34","-"
"Sekisui Chemical ADR","5.85B","-","-","3.50K","-","-","-","-"
"Manila Electric ADR","5.84B","-","-","300.00","-","-","0.62","-"
"Generac","5.84B","24.43","2.21B","1.13M","3.99","0.89","-","-"
"Sharp ADR","5.83B","11.78","52.45B","99.92K","0.23","1.15","0.05","4.30%"
"Engie Brasil","5.82B","-","-","3.46K","-","-","0.70","-"
"Daito Trust Construction Co","5.82B","-","-","40.41K","-","-","-","-"
"Pennon ADR","5.81B","-","-","3.51K","-","-","1.01","-"
"Ally Financial Inc","5.81B","6.37","5.55B","7.09M","2.57","1.57","0.76","4.64%"
"Canadian Apartment Properties","5.80B","-","-","2.84K","-","-","0.99","2.82%"
"Versum Materials","5.79B","70.82","650.50M","2.30M","0.75","-","0.32","0.60%"
"Renault","5.77B","-","-","255.64K","-","-","0.24","-"
"Medidata","5.76B","132.48","353.96M","7.35M","0.70","1.22","-","-"
"FLIR Systems","5.76B","34.58","1.89B","1.95M","1.26","1.58","0.68","1.57%"
"Wharf Holdings","5.75B","-","-","81.55K","-","-","0.08","-"
"Apollo Global Management Pref","5.74B","31.58","1.31B","37.35K","1.29","1.49","1.59","4.87%"
"Paylocity Holdng","5.74B","110.52","519.01M","751.58K","1.04","1.64","-","-"
"Bruker","5.73B","31.16","2.07B","956.33K","1.26","1.36","0.16","0.41%"
"Dongfeng Motor Group Co","5.72B","3.15","2.22B","1.95K","1.64","0.89","0.37","7.44%"
"Standard Bank Group Ltd PK","5.72B","-","-","83.97K","-","-","0.60","-"
"News Corp","5.72B","-","9.74B","1.07M","-0.31","1.42","0.20","2.02%"
"Dongfeng Group","5.72B","-","-","22.25K","-","-","-","5.17%"
"Vereit","5.70B","-","1.55B","16.12M","-0.38","1.11","0.55","10.04%"
"China Resources Power ADR","5.70B","11.28","-","377.00","1.58","0.48","0.77","-"
"Targa Resources Partners LP Pref","5.69B","-","8.67B","45.86K","-0.95","1.28","2.25","11.45%"
"Madison Square Garden","5.69B","-","1.62B","359.33K","-1.03","0.98","-","-"
"CF Industries","5.68B","12.39","4.59B","3.55M","2.22","1.08","1.20","4.36%"
"Jardine Cycle ADR","5.68B","-","-","3.99K","-","-","1.74","-"
