"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Credit Suisse ADR","22.12B","5.61","383.00M","4.81M","1.61","1.43","0.14","1.82%"
"State Street Pref","22.11B","-","-","72.20K","-","-","1.34","-"
"Unicharm Corp","22.11B","-","-","218.20K","-","-","-","-"
"Cintas","22.05B","25.15","9.07B","964.35K","8.82","1.41","2.55","1.15%"
"Unilever Indonesia ADR","22.04B","-","-","1.09K","-","-","0.34","-"
"Tyson Foods","21.94B","11.14","43.03B","3.81M","5.58","0.67","1.68","2.70%"
"Telenor ASA ADR","21.93B","26.32","3.72B","157.37K","0.58","0.54","0.91","6.00%"
"Telenor","21.93B","-","2.57B","2.23K","-","-","-","4.73%"
"ANSYS","21.88B","50.14","1.52B","767.02K","5.22","1.20","-","-"
"VF","21.88B","17.38","12.26B","3.23M","3.34","1.25","1.92","2.29%"
"Schlumberger","21.86B","-","32.49B","21.82M","-12.94","2.10","0.50","2.97%"
"Twitter Inc","21.85B","15.35","3.46B","25.05M","1.87","0.78","-","-"
"Mitsubishi Estate ADR","21.79B","-","-","64.26K","-","-","-","-"
"Ecopetrol ADR","21.74B","6.41","1.56T","1.45M","1.63","1.80","0.89","8.50%"
"Banco Bilbao ADR","21.73B","100.55","493.77M","6.44M","0.03","1.15","0.28","14.52%"
"Canon ADR","21.69B","20.84","77.25B","590.60K","1.01","0.57","1.51","7.08%"
"OJSC Polyus Gold","21.68B","-","-","738.00","-","-","2.37","-"
"American Water Works","21.56B","35.47","3.61B","1.46M","3.43","0.22","2.20","1.81%"
"Trane Technologies","21.54B","16.12","16.60B","2.09M","5.60","1.17","2.12","2.35%"
"Fortive","21.47B","33.95","7.32B","2.68M","1.93","1.30","0.28","0.43%"
"ING ADR","21.41B","4.09","471.61M","8.95M","1.34","1.55","0.53","13.82%"
"Ball","21.37B","39.39","11.47B","2.71M","1.67","0.49","0.60","0.91%"
"ING Groep Perpetual","21.37B","8.33","-","21.33K","1.32","1.30","1.59","6.93%"
"PICC Property and Casualty","21.32B","-","-","3.94K","-","-","0.99","-"
"Splunk","21.30B","-","2.36B","2.19M","-2.24","1.52","-","-"
"Macquarie Group ADR","21.29B","-","-","35.68K","-","-","4.25","-"
"Johnson Controls","21.28B","20.71","24.08B","7.31M","1.41","1.06","1.04","3.57%"
"Gazprom Neft ADR","21.27B","-","54.68B","4.15K","-","-","2.05","-"
"Rockwell Automation","21.21B","31.23","6.76B","1.25M","6.07","1.47","4.08","2.15%"
"Cadence Design","21.18B","22.90","2.38B","2.57M","3.54","1.08","-","-"
"Royal DSM NV","21.15B","25.98","198.22M","143.14K","1.17","1.01","0.56","2.12%"
"Incyte","21.11B","47.58","2.16B","2.06M","2.05","1.05","-","-"
"Swiss Re","21.06B","-","-","116.15K","-","-","2.88","-"
"HP Inc","21.03B","7.84","58.66B","14.98M","1.98","1.02","0.70","4.54%"
"Otsuka ADR","21.00B","-","-","192.98K","-","-","-","-"
"Haitong Securities ADR","20.99B","-","-","1.10K","-","-","0.22","-"
"Energy Transfer","20.98B","6.17","54.21B","39.31M","1.36","2.74","1.22","14.52%"
"Metlife Inc Pref","20.92B","6.20","69.75B","53.29K","6.05","1.37","1.01","4.91%"
"AIG","20.90B","6.90","49.92B","9.37M","3.68","1.39","1.28","5.03%"
"Partners Group","20.88B","-","-","112.00","-","-","-","2.59%"
"McCormick & Comp","20.81B","30.16","5.33B","1.83K","5.20","0.32","2.48","1.58%"
"Rogers Communications","20.80B","14.88","327.84M","692.71K","2.81","0.51","1.41","3.38%"
"State Street","20.80B","10.86","6.59B","3.41M","5.81","1.56","2.08","3.30%"
"Southern California Edison Pb Pref","20.76B","-","-","2.51K","-","-","1.02","-"
"Southern California Edison Pc Pref","20.76B","-","-","2.63K","-","-","1.06","-"
"Southern California Edison Pd Pref","20.76B","-","-","2.20K","-","-","1.08","-"
"Southern California Edison Pe Pref","20.76B","-","5.62B","3.43K","-0.42","-0.05","1.20","4.94%"
"PPG Industries","20.76B","18.43","14.90B","2.25M","4.93","1.24","2.04","2.25%"
"KKR & Co","20.68B","7.12","4.22B","4.69M","3.54","1.52","0.50","1.98%"
"Amadeus IT Holding SA PK","20.66B","-","-","84.42K","-","-","1.37","-"
