"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Fiserv","67.86B","56.97","10.19B","5.25M","1.81","0.84","-","-"
"Stryker","67.77B","32.73","14.88B","2.41M","5.70","0.85","2.30","1.23%"
"Commonwealth Bank of Australia PK","67.68B","-","-","69.60K","-","-","2.78","-"
"Naspers ADR","67.55B","21.40","5.02B","321.00K","1.44","1.11","0.10","0.32%"
"Coca Cola Femsa ADR","66.76B","17.32","7.36B","187.90K","2.39","0.80","3.13","7.58%"
"KDDI Corp PK","66.43B","-","-","267.16K","-","-","-","-"
"KDDI Corp.","66.43B","-","-","5.40K","-","-","-","3.54%"
"Vertex","66.12B","43.59","4.16B","2.16M","5.76","0.91","-","-"
"PetroChina H","65.87B","-","55.37B","18.88K","-","-","-","3.28%"
"Chugai Pharma ADR","65.56B","-","-","9.04K","-","-","-","-"
"Crown Castle","65.23B","90.18","5.76B","2.77M","1.77","0.35","4.80","3.01%"
"Bayer AG PK","64.85B","22.27","1.24B","741.58K","0.74","1.16","0.77","4.67%"
"ServiceNow Inc","64.77B","103.38","3.46B","2.56M","3.40","1.35","-","-"
"Dominion Energy Pref A","64.68B","-","-","79.85K","-","-","1.31","-"
"Dominion Energy Pref D","64.68B","-","-","304.25K","-","-","3.38","-"
"Prologis","64.19B","33.77","3.54B","5.38M","2.64","0.98","2.32","2.60%"
"Kering SA","63.79B","-","-","99.06K","-","-","1.17","-"
"Iberdrola SA","63.60B","-","-","84.14K","-","-","0.74","-"
"Goldman Sachs Group Inc Pa ADR","63.59B","-","-","82.31K","-","-","0.95","-"
"Goldman Sachs Group Inc Pc ADR","63.59B","-","-","26.54K","-","-","1.01","-"
"Goldman Sachs Group Inc Pk ADR","63.59B","-","-","107.99K","-","-","1.59","-"
"Goldman Sachs Group Inc Pb ADR","63.59B","-","-","3.23K","-","-","1.55","-"
"Goldman Sachs Group Inc Pd ADR","63.59B","-","-","181.64K","-","-","0.98","-"
"Goldman Sachs Group Inc Pj ADR","63.59B","-","-","144.40K","-","-","1.38","-"
"Dominion Energy","63.42B","47.90","16.57B","4.27M","1.61","0.42","3.76","4.87%"
"JD.com Inc Adr","63.16B","36.99","12.69B","17.76M","1.17","0.89","-","-"
"Allergan","62.46B","-","16.09B","4.14M","-15.98","1.20","2.96","1.58%"
"PTT ADR","62.46B","-","-","200.00","-","-","0.32","-"
"Caterpillar","62.38B","12.33","50.97B","5.57M","9.44","1.08","4.12","3.54%"
"CME Group","62.34B","26.77","5.21B","2.58M","6.66","0.32","3.40","1.91%"
"Estee Lauder","62.19B","34.82","15.85B","2.56M","5.07","0.77","1.92","0.95%"
"Duke Energy Debenture","62.11B","-","-","46.04K","-","-","1.28","-"
"Morgan Stanley Pa ADR","62.01B","-","-","125.16K","-","-","1.01","-"
"Morgan Stanley Pe ADR","62.01B","11.95","-","121.59K","4.05","1.44","1.78","-"
"Morgan Stanley Pf ADR","62.01B","11.95","-","103.97K","4.05","1.44","1.72","-"
"Morgan Stanley Pg ADR","62.01B","11.95","-","29.03K","4.05","1.44","1.66","-"
"Morgan Stanley Pi ADR","62.01B","11.95","-","117.74K","4.05","1.44","1.59","-"
"Goldman Sachs","61.24B","9.96","53.69B","4.49M","18.41","1.45","5.00","2.73%"
"Duke Energy","60.67B","16.61","25.08B","4.62M","5.10","0.35","3.78","4.46%"
"Zoetis Inc","60.63B","41.39","6.26B","2.93M","3.12","0.77","0.80","0.62%"
"Morgan Stanley","60.52B","8.20","51.90B","19.86M","4.81","1.45","1.40","3.55%"
"ADP","60.43B","25.15","14.51B","2.94M","5.83","0.85","3.64","2.48%"
"Enbridge","60.39B","16.23","1.10B","6.52M","1.89","0.84","2.42","7.96%"
"Gazprom","60.38B","-","-","832.88K","-","-","0.50","10.04%"
"Southern","60.09B","-","-","67.62K","-","-","1.31","-"
"Southern Co ELKS","59.93B","-","-","121.61K","-","-","1.56","-"
"Booking","59.54B","13.20","15.07B","683.81K","112.19","1.03","-","-"
"Colgate-Palmolive","58.71B","25.55","15.69B","5.73M","2.75","0.59","1.76","2.50%"
"AMD","58.43B","128.79","6.73B","81.97M","0.41","2.17","-","-"
"Reckitt Benckiser ADR","58.30B","-","-","869.27K","-","-","0.43","-"
