"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"SEB A","17.66B","-","810.24M","1.92K","-","-","-","6.20%"
"Old Dominion Freight Line","17.61B","28.37","4.11B","977.06K","5.12","1.00","0.61","0.42%"
"Ameren","17.60B","21.72","5.91B","2.11M","3.35","0.29","1.98","2.72%"
"Nasdaq Inc","17.60B","25.07","4.58B","1.21M","4.37","0.75","1.96","1.79%"
"Citrix Systems","17.60B","25.37","3.15B","2.65M","5.71","0.34","1.40","0.97%"
"Keysight Technologies","17.60B","27.92","4.39B","1.96M","3.47","1.09","-","-"
"Michelin Cie Des Estb","17.51B","-","-","137.24K","-","-","0.83","-"
"Niagara Mohawk Power Corp Pb Pref","17.50B","-","-","178.00","-","0.14","3.60","3.88%"
"Church&Dwight","17.49B","26.26","4.48B","1.98M","2.67","0.31","0.96","1.37%"
"Komatsu","17.44B","9.27","55.75B","341.47K","2.05","1.55","1.06","1.38%"
"Fiat","17.39B","214.22","-","4.11M","0.04","2.11","0.72","4.69%"
"UCB SA","17.29B","-","-","937.00","-","-","0.67","-"
"First Republic Bank","17.25B","20.31","2.21B","1.48M","5.14","1.17","0.80","0.77%"
"Black Decker Unit","17.22B","-","-","115.21K","-","-","5.38","-"
"Panasonic","17.22B","-","-","32.53K","-","-","-","3.57%"
"Stanley Black Deb","17.22B","-","-","21.85K","-","-","1.44","-"
"UniCredit ADR","17.22B","-","-","474.27K","-","-","0.34","-"
"Panasonic Corp PK","17.22B","6.56","168.86B","308.69K","1.15","1.07","0.42","3.64%"
"Kuehne Nagel ADR","17.12B","-","-","11.43K","-","-","2.02","-"
"Royal Bank Scotland","17.12B","4.34","204.07M","2.86M","0.65","1.46","0.42","11.97%"
"RBS PLC","17.12B","-","204.07M","19.09K","-","-","-","1.81%"
"Fox Corp B","17.11B","9.90","11.71B","1.99M","2.87","-","0.46","1.62%"
"Fox Corp A","17.11B","9.90","11.71B","5.09M","2.87","-","0.46","1.62%"
"MarketAxesss","17.10B","76.15","555.84M","342.33K","5.98","0.61","2.40","0.53%"
"Continental AG PK","17.03B","-","978.52M","336.06K","-0.67","1.50","-","6.38%"
"SGS SA","17.01B","-","-","59.17K","-","-","0.83","-"
"DR Horton","16.93B","9.32","18.47B","5.60M","5.07","1.57","0.70","1.48%"
"Marvell","16.86B","11.94","2.70B","11.01M","2.24","1.01","0.24","0.90%"
"Skyworks","16.82B","21.54","3.30B","2.69M","4.82","1.23","1.76","1.69%"
"Fortinet","16.81B","58.14","2.16B","2.28M","1.85","0.92","-","-"
"Aptiv","16.78B","18.09","14.36B","2.35M","3.84","2.26","0.88","0.98%"
"Equifax","16.74B","62.99","3.62B","1.12M","2.21","1.19","1.56","1.12%"
"Vestas Wind Systems AS","16.74B","-","-","103.50K","-","-","0.39","-"
"Vestas Wind","16.74B","-","-","1.98K","-","-","-","1.58%"
"Shionogi ADR","16.70B","-","-","250.35K","-","-","1.57","-"
"Cheniere Energy Partners","16.69B","15.81","6.84B","537.51K","2.25","1.32","2.56","7.19%"
"Axis Bank ADR","16.69B","-","-","0.00","-","-","0.07","-"
"Aeon ADR","16.65B","-","-","4.26K","-","-","-","-"
"Apollo Global Management A","16.62B","10.43","2.93B","2.94M","3.88","1.62","2.35","5.80%"
"Mettler-Toledo","16.56B","31.97","3.01B","203.57K","22.52","1.05","-","-"
"Daiwa House ADR","16.56B","-","-","84.51K","-","-","-","-"
"Brookfield Infrastructure Partners","16.51B","381.26","6.60B","667.62K","0.11","0.93","2.15","5.33%"
"Smith&Nephew SNATS","16.46B","28.99","5.14B","1.00M","1.37","0.56","0.75","1.89%"
"Kirin Holdings","16.46B","-","-","20.25K","-","-","-","2.11%"
"Kirin Holdings Co","16.46B","30.27","42.71B","42.16K","0.63","0.46","0.59","3.10%"
"Northern Trust Corp ADR","16.45B","-","-","297.18K","-","-","1.46","-"
"Altice USA","16.45B","123.58","9.76B","7.35M","0.21","-","-","-"
"Jardine Matheson Holdings Ltd PK","16.42B","-","-","20.74K","-","-","3.00","-"
"Stanley Black Decker","16.40B","18.03","14.24B","2.03M","6.11","1.49","2.76","2.50%"
"CGI Inc","16.26B","19.65","269.83M","390.52K","3.26","0.92","-","-"
