"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Country Garden Holdings","28.19B","-","-","11.87K","-","-","-","4.59%"
"Country Garden ADR","28.19B","-","-","2.81K","-","-","1.91","-"
"Galaxy Entertainment ADR","28.17B","-","-","1.54K","-","-","0.58","-"
"Galaxy Entertainment Group","28.17B","-","1.14B","57.54K","-","-","-","-"
"Veeva Systems A","28.03B","97.24","1.10B","1.70M","1.96","0.90","-","-"
"Capital One Financial","28.02B","12.82","16.93B","5.07M","5.05","1.74","1.60","2.47%"
"Hitachi ADR","27.98B","15.33","198.92B","80.42K","3.88","1.10","1.68","2.93%"
"WEC Energy","27.92B","25.29","7.52B","2.14M","3.58","0.21","2.53","2.79%"
"O’Reilly Automotive","27.92B","21.69","10.22B","1.06M","17.81","1.05","-","-"
"Lloyds Banking ADR","27.90B","-","1.11B","13.97M","-","1.33","0.16","3.54%"
"China Telecom","27.88B","9.36","8.27B","123.75K","3.59","0.80","1.60","4.76%"
"China Telecom","27.88B","-","8.27B","1.67K","-","-","-","2.66%"
"Cathay Financial ADR","27.77B","-","-","0.00","-","-","0.48","-"
"Hershey","27.59B","24.99","8.01B","1.37M","5.30","0.18","3.09","2.33%"
"Spotify Tech","27.56B","-","156.22M","1.65M","-0.30","-","-","-"
"Marriott Int","27.49B","23.96","20.97B","6.47M","3.80","1.64","1.92","1.55%"
"Howmet Aerospace Pref","27.47B","14.15","14.19B","563.00","0.98","1.68","3.75","0.58%"
"Airports Thailand ADR","27.39B","-","-","3.87K","-","-","0.34","-"
"Sika ADR","27.35B","-","-","88.96K","-","-","0.24","-"
"Enbridge 6.375 Fixed to Floating Rate Subordinated","27.33B","-","-","86.92K","-","-","1.59","-"
"Dow","27.25B","-","41.75B","8.36M","-2.24","-","2.80","7.63%"
"Neste","27.19B","-","-","52.15K","-","-","0.46","-"
"Truist Financial Corp","27.16B","13.63","-","8.38M","3.94","1.18","1.80","3.35%"
"East Japan Railway ADR","27.11B","-","-","188.92K","-","-","0.22","-"
"SwissCom AG","27.04B","15.38","249.26M","12.66K","3.37","0.18","2.30","4.44%"
"Brown Forman A","27.00B","35.87","3.40B","44.49K","1.73","0.75","0.70","1.12%"
"CLP Holdings","26.95B","-","1.89B","76.21K","-","-","-","3.71%"
"CLP Holdings","26.95B","44.60","1.89B","96.39K","0.24","0.43","0.39","3.72%"
"Sysco","26.85B","16.08","60.46B","6.29M","3.50","1.13","1.80","3.20%"
"ZTE Corp-H","26.83B","-","2.00B","22.71K","-1.05","0.81","0.00","0.98%"
"ZTE Corp ADR","26.83B","-","-","16.47K","-","-","0.06","-"
"MSCI","26.75B","52.41","1.60B","846.25K","6.24","0.97","2.72","0.83%"
"Experian plc PK","26.68B","-","-","152.79K","-","-","0.47","-"
"Experian","26.68B","-","-","10.30K","-","-","-","1.56%"
"NXP","26.64B","116.92","8.80B","4.04M","0.85","1.50","1.50","1.51%"
"Ahold Delhaize","26.46B","-","-","22.18K","-","-","-","2.97%"
"Koninklijke Ahold ADR","26.46B","13.89","1.46B","266.22K","1.74","0.22","1.00","4.15%"
"Alcon","26.41B","-","-","1.50M","-","-","-","-"
"Volvo ADR","26.39B","-","-","83.95K","-","-","0.53","-"
"Eversource Energy","26.37B","28.71","8.52B","2.39M","2.81","0.38","2.27","2.81%"
"Aflac","26.31B","9.37","22.34B","4.94M","3.97","0.91","1.12","3.01%"
"Engie","26.23B","-","-","19.76K","-","-","-","5.36%"
"Engie ADR","26.23B","-","-","646.99K","-","-","1.26","-"
"Suncor Energy","26.18B","13.73","843.57M","9.26M","1.30","1.46","1.31","7.78%"
"EON SE","26.17B","41.81","902.07M","211.78K","0.24","0.62","0.47","4.81%"
"Volvo B","26.15B","-","9.16B","3.28K","-","-","-","2.88%"
"Franco-Nevada","26.14B","-","844.10M","1.22M","-","-","1.00","1.27%"
"IHS Markit Ltd","26.05B","31.15","4.45B","3.21M","2.16","0.95","0.68","1.01%"
"Mitsubishi Electric ADR","26.00B","-","-","85.68K","-","-","-","-"
"EOG Resources","25.97B","10.08","17.26B","7.23M","4.71","1.96","1.50","3.16%"
