"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"SSE ADR","16.24B","-","-","194.43K","-","-","1.15","-"
"ConAgra Foods","16.21B","21.30","10.38B","5.37M","1.57","0.80","0.85","2.54%"
"Tenaga Nasional Berhad","16.20B","-","-","7.16K","-","-","0.92","-"
"Geberit ADR","16.15B","-","-","79.74K","-","-","1.16","-"
"Standard Chartered","16.14B","-","-","19.79K","-","-","-","1.45%"
"Thales ADR","16.11B","-","-","23.71K","-","-","0.59","3.88%"
"MS&AD Insurance Group Holdings PK","16.07B","-","-","55.80K","-","0.66","-","4.67%"
"Align","16.01B","9.01","2.41B","1.24M","23.85","1.97","-","-"
"Asahi ADR","16.01B","-","-","0.00","-","-","-","-"
"Genmab AS","15.99B","-","-","543.28K","-","-","-","-"
"Wilmar International","15.95B","-","-","2.85K","-","-","0.89","-"
"Biomarin Pharma","15.93B","151.99","1.81B","1.65M","0.61","1.00","-","-"
"Capgemini","15.91B","-","310.75M","1.99K","-","-","-","1.49%"
"Capgemini ADR","15.91B","-","-","135.50K","-","-","0.38","-"
"Sun Art Retail ADR","15.90B","-","-","250.00","-","-","0.19","-"
"CMS Energy","15.90B","23.84","6.65B","2.78M","2.39","0.20","1.63","2.86%"
"Arista Networks","15.88B","20.62","2.41B","951.27K","10.63","1.12","-","-"
"Corning","15.76B","70.12","11.08B","6.83M","0.31","1.10","0.88","4.00%"
"Twilio","15.76B","-","1.13B","3.42M","-2.33","1.33","-","-"
"Suzuki Motor ADR","15.73B","-","-","10.28K","-","-","-","-"
"Northern Trust","15.70B","11.81","6.54B","1.84M","6.70","1.10","2.80","3.54%"
"Essex Property","15.68B","36.65","1.46B","584.30K","6.66","0.71","8.31","3.40%"
"Ferguson ADR","15.60B","16.74","32.98B","353.92K","0.43","1.28","0.21","2.02%"
"Sunny Optical Tech","15.58B","-","832.67M","8.21K","-","-","-","0.83%"
"Tatneft ADR","15.55B","6.26","21.01B","3.78K","6.90","1.26","4.08","9.44%"
"Akamai","15.54B","32.49","2.95B","2.32M","3.01","0.34","-","-"
"China Resources Beer ADR","15.50B","-","-","2.32K","-","-","0.04","-"
"China Resources Beer Holdings","15.50B","13.98","730.18M","1.06K","1.64","1.05","0.30","0.59%"
"Porsche Automobile Holding SE","15.47B","-","-","310.53K","-","-","0.25","-"
"Moderna","15.47B","-","60.20M","16.38M","-1.55","-","-","-"
"Lennar","15.45B","7.94","26.76B","4.13M","6.31","1.51","0.50","1.00%"
"Laboratory America","15.45B","50.61","14.38B","1.24M","3.25","1.37","-","-"
"Tiffany&Co","15.42B","28.46","4.42B","3.02M","4.44","1.04","2.32","1.83%"
"Delta Air Lines","15.39B","4.81","45.13B","37.70M","5.39","1.27","1.61","2.71%"
"Deutsche Bank AG","15.37B","-","353.67M","8.89M","-3.04","1.49","0.12","1.47%"
"EDP Energias de Portugal ADR","15.36B","10.27","-","24.43K","4.15","0.56","4.18","9.82%"
"WEG ADR","15.32B","-","-","16.44K","-","-","0.06","-"
"Carrier Global","15.28B","-","-","15.50M","-","-","-","-"
"Teleflex","15.27B","28.70","2.61B","315.05K","11.68","0.98","1.36","0.41%"
"CDW Corp","15.26B","22.22","18.03B","1.45M","4.99","1.23","1.52","1.37%"
"Garmin","15.25B","15.93","3.85B","1.19M","5.09","0.98","2.44","3.01%"
"Verbund ADR","15.24B","-","-","595.00","-","-","0.09","-"
"Campbell Soup","15.21B","38.40","7.50B","3.12M","1.30","0.41","1.40","2.80%"
"Toyota Industries Corp","15.19B","-","47.77B","1.13K","-","-","-","2.53%"
"Toyota Industries Corporation","15.19B","-","-","2.18K","-","-","-","-"
"Boston Properties Inc ADR","15.12B","-","-","16.84K","-","-","1.31","-"
"Slack","15.07B","-","630.41M","15.72M","-1.05","-","-","-"
"Weichai Power Company","15.05B","-","-","104.75K","-","-","0.50","-"
"Wheelock & Co","15.03B","-","-","13.57K","-","-","2.02","-"
"CK Infrastructure ADR","15.02B","-","-","3.34K","-","-","1.58","-"
