"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"People’s United Fin","5.46B","-","-","30.65K","-","-","1.41","-"
"B2Gold","5.45B","-","1.42B","10.49M","-","-","0.04","-"
"Signature Bank","5.44B","-","960.91M","579.95K","-","1.78","2.24","2.09%"
"Apartment Invest","5.43B","11.81","914.30M","1.67M","3.19","0.87","1.64","4.35%"
"National Retail Properties","5.43B","20.87","670.49M","1.76M","1.56","0.63","2.06","6.31%"
"Berry Global","5.43B","14.85","9.72B","2.18M","2.68","1.33","-","-"
"PLDT ADR","5.42B","-","-","163.54K","-3.85","0.40","1.46","5.91%"
"Kajima ADR","5.41B","-","-","2.99K","-","-","2.15","-"
"NewYork Times","5.40B","38.96","1.81B","1.85M","0.83","0.86","0.24","0.74%"
"Lamar","5.40B","15.57","1.75B","1.09M","3.70","1.36","4.00","6.94%"
"J Sainsbury PLC","5.40B","41.14","637.49M","59.42K","0.24","0.52","0.39","7.26%"
"ASM ADR","5.39B","-","26.42M","1.12K","-","-","4.32","-"
"Donaldson","5.39B","20.11","2.77B","584.66K","2.18","1.40","0.84","1.92%"
"Ralph Lauren A","5.39B","8.24","6.39B","1.44M","8.95","1.29","2.75","3.73%"
"Nuance Communications","5.38B","39.27","1.75B","4.30M","0.51","0.99","-","-"
"Pacific Gas&Electric","5.38B","-","17.13B","11.66M","-14.48","1.11","-","-"
"Sensata Tech","5.37B","29.54","3.35B","1.47M","1.23","1.67","-","-"
"Bunge","5.37B","-","41.14B","1.54M","-9.44","0.83","2.00","5.04%"
"Enphase","5.35B","38.54","624.33M","7.24M","1.22","1.06","-","-"
"CyberAgent ADR","5.35B","-","-","350.00","-","-","-","-"
"Trex","5.35B","38.59","745.34M","927.66K","2.47","1.64","-","-"
"Ingredion","5.35B","13.25","6.21B","624.13K","6.13","0.78","2.52","3.10%"
"AGC","5.35B","-","-","107.65K","-","-","-","-"
"Sibanye Gold ADR","5.34B","2.15K","1.60B","4.49M","0.00","1.69","-","-"
"Siemens AG","5.34B","-","1.92B","4.46K","-","-","-","3.61%"
"Int Consolidated Airlines","5.34B","-","-","98.38K","-","-","1.48","-"
"Bank Negara Indonesia ADR","5.34B","-","-","6.00K","-","-","0.32","-"
"IAG","5.34B","-","561.13M","12.34K","-","-","-","18.40%"
"Siemens ADR","5.34B","13.17","1.92B","322.19K","3.50","1.16","2.12","4.59%"
"Levi Strauss A","5.33B","13.71","5.83B","1.67M","0.97","-","0.32","2.40%"
"Two Harbors Pref B","5.33B","5.88","1.23B","133.82K","0.83","1.73","1.91","4.10%"
"Digital Realty Trust Inc Pg Pref","5.32B","-","-","34.55K","-","-","1.47","-"
"Universal Robina ADR","5.32B","-","-","921.00","-","-","0.62","-"
"Planet Fitness Inc","5.32B","45.64","688.80M","2.80M","1.41","1.31","-","-"
"Digital Realty Pref","5.32B","63.25","3.21B","30.68K","2.35","0.22","1.31","3.01%"
"IAA","5.31B","27.57","1.44B","1.44M","1.44","-","-","-"
"Digital Realty Trust Inc Pi Pref","5.30B","63.25","3.21B","40.62K","2.35","0.22","1.59","3.01%"
"Amerco","5.29B","17.13","3.88B","70.54K","16.35","0.59","-","-"
"Siam Makro ADR","5.29B","-","-","0.00","-","-","0.03","-"
"SolarWinds Corp","5.29B","290.94","1.15B","927.39K","0.06","-","-","-"
"Reata Pharma","5.28B","-","26.51M","410.28K","-9.35","2.31","-","-"
"Continental Resources","5.28B","7.87","4.63B","7.27M","2.08","3.56","0.20","0.91%"
"Aegon ADR","5.28B","3.39","1.48B","3.58M","0.77","1.38","0.34","6.39%"
"T&D ADR","5.27B","-","-","7.50K","-","-","-","-"
"SCOR PK","5.27B","-","-","157.21K","-0.46","1.26","0.19","7.11%"
"Ares Capital","5.26B","6.92","1.53B","5.23M","1.86","1.16","1.60","12.46%"
"Elastic","5.25B","-","384.60M","1.49M","-2.24","-","-","-"
"Brookfield Renewable","5.24B","-","-","514.14K","-","-","2.17","-"
"Chegg Inc","5.24B","-","410.92M","2.13M","-0.08","0.94","-","-"
"Mirvac Group","5.23B","-","50.84M","34.29K","-","-","-","3.64%"
