"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Five9","5.68B","-","328.01M","1.09M","-0.08","0.71","-","-"
"Gaming & Leisure Properties","5.68B","15.62","1.44B","2.40M","1.81","0.94","2.80","9.92%"
"McKesson Europe","5.67B","12.10","-","400.00","2.14","0.45","0.83","3.27%"
"SolarEdge Technologies Inc","5.65B","42.52","1.43B","1.47M","2.88","0.84","-","-"
"Demant ADR","5.64B","-","-","359.00","-","-","-","-"
"Anaplan","5.64B","-","348.02M","3.50M","-1.15","-","-","-"
"Kunlun Energy Co Ltd PK","5.64B","-","-","1.41K","-","-","0.33","-"
"Pentair","5.63B","15.37","2.98B","1.49M","2.25","1.30","0.76","2.20%"
"Raiffeisen Bank ADR","5.63B","-","-","1.62K","-","-","0.26","-"
"Two Harbors Pref A","5.63B","5.88","1.23B","79.34K","0.83","1.73","2.03","4.10%"
"TIM Participacoes","5.63B","8.52","382.30M","1.43M","1.36","1.04","0.49","4.23%"
"GN Store Nord ADR","5.62B","-","-","648.00","0.00","-0.28","0.63","-"
"Canopy Growth","5.62B","-","8.47M","6.45M","-","-","-","-"
"SJM ADR","5.61B","-","-","200.00","-","-","0.15","-"
"Datang Power ADR","5.61B","-","-","1.74K","-","-","0.57","-"
"SJM Holdings Ltd","5.61B","-","745.25M","5.53K","-","-","-","3.33%"
"Boliden ADR","5.61B","-","-","1.06K","-","-","2.29","-"
"BorgWarner","5.61B","7.69","10.17B","3.99M","3.71","1.71","0.68","2.38%"
"Nissan Chemical ADR","5.60B","-","-","1.64K","-","-","-","-"
"Boston Beer","5.60B","60.49","1.58B","183.52K","7.71","0.79","-","-"
"Haemonetics","5.59B","74.27","999.28M","586.03K","1.53","0.73","-","-"
"National Retail Properties Pe ADR","5.59B","-","-","553.00","-","-","1.43","-"
"Mapfre ADR","5.59B","-","-","1.20K","-","-","0.33","-"
"American Financial","5.58B","6.72","8.26B","632.21K","9.86","0.88","1.80","2.72%"
"Reliance Steel&Aluminum","5.58B","10.59","10.59B","624.92K","8.46","1.12","2.50","2.79%"
"American Financial Group AFGE","5.58B","-","-","15.35K","-","-","1.56","-"
"News Corp A","5.57B","-","9.74B","3.59M","-0.31","1.42","0.20","2.02%"
"Auto Trader ADR","5.57B","-","-","477.45K","-","-","0.02","-"
"Sinotruk Hong Kong ADR","5.56B","-","-","200.00","-","-","4.09","-"
"National Retail Properties ADR","5.56B","-","-","58.16K","-","-","1.30","-"
"Enersis Chile","5.55B","15.61","60.96B","972.52K","0.26","1.06","0.22","5.41%"
"Aecom Technology","5.55B","-","18.37B","2.54M","-1.85","1.74","-","-"
"Prosperity Bancshares","5.55B","12.59","639.00M","910.25K","4.76","1.45","1.84","3.07%"
"Remy Cointreau ADR","5.55B","-","-","7.49K","-","-","0.29","-"
"Valeo ADR","5.55B","-","-","82.73K","-","-","0.70","-"
"HOCHTIEF ADR","5.55B","-","-","366.00","-","-","1.28","-"
"Koc Holdings AS","5.55B","-","-","66.80K","-","-","0.31","-"
"PRA Health Sciences Inc","5.54B","26.12","3.13B","514.20K","3.69","1.09","-","-"
"Voya Financial Inc","5.54B","9.27","14.36B","2.04M","4.87","1.43","0.60","1.33%"
"INC Research","5.53B","30.15","4.72B","808.16K","1.85","1.79","-","-"
"Lear","5.52B","8.04","19.81B","809.41K","12.15","1.63","3.08","2.30%"
"Caseys","5.51B","24.75","9.54B","404.50K","6.12","0.75","1.28","0.85%"
"Morrison Supermarkets","5.51B","-","-","32.21K","-","-","-","3.70%"
"WM Morrison ADR","5.51B","-","-","70.37K","-","-","0.81","-"
"Wex","5.50B","58.58","1.72B","746.32K","2.26","1.90","-","-"
"Credit Acceptance","5.49B","9.01","1.49B","291.73K","34.57","1.21","-","-"
"Isuzu Motors","5.49B","-","-","77.95K","-","-","-","-"
"Salini Impregilo ADR","5.47B","-","-","5.16K","-","-","0.12","-"
"Phoenix","5.46B","-","-","8.80K","-","-","-","6.61%"
"Rightmove Plc","5.46B","-","-","130.43K","-","-","0.17","-"
