"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Clearway Energy A","3.62B","-","1.03B","288.46K","-0.11","1.13","0.84","4.49%"
"Armstrong World Industries","3.61B","-","1.04B","457.52K","-0.49","1.23","0.80","1.04%"
"Spire","3.61B","21.21","1.92B","327.01K","3.44","0.21","2.49","3.41%"
"Western Alliance Bancorp","3.60B","-","-","16.14K","-","-","1.56","-"
"Glacier","3.60B","16.80","359.15M","450.09K","2.27","1.03","1.16","3.05%"
"Nio A ADR","3.60B","-","172.15M","52.01M","-1.57","-","-","-"
"BJs Wholesale Club","3.59B","19.27","13.19B","2.39M","1.35","-","-","-"
"Allogene Therapeutics","3.59B","-","-","713.72K","-1.82","-","-","-"
"Tokyu Fudosan ADR","3.59B","-","-","0.00","-","-","-","-"
"Hudson Pacific","3.59B","89.80","1.02B","1.93M","0.27","0.81","1.00","4.07%"
"Mirati Ther","3.59B","-","3.34M","522.59K","-5.65","1.82","-","-"
"RusHydro ADR","3.58B","-","-","49.69K","-","-","0.06","-"
"RLJ Lodging Pref","3.57B","15.39","1.57B","106.41K","0.64","1.85","1.95","0.40%"
"China Everbright Intl","3.57B","24.66","-","17.52K","0.23","1.50","0.06","3.60%"
"Vinda International ADR","3.57B","-","-","700.00","-","-","0.36","-"
"Huntsman","3.57B","9.77","8.83B","2.69M","1.72","2.07","0.65","3.87%"
"Marui ADR","3.56B","-","-","11.71K","-","-","-","-"
"Axsome Therapeutics Inc","3.56B","-","-","989.36K","-2.00","3.36","-","-"
"San Miguel ADR","3.56B","-","-","1.73K","-","-","0.66","-"
"Taiyo Yuden ADR","3.55B","-","-","2.36K","-","-","-","-"
"Ashland Global","3.54B","28.81","2.45B","664.19K","2.14","1.45","1.10","1.78%"
"Enel Generacion ADR","3.54B","12.76","36.04B","4.62K","0.86","1.26","0.57","5.20%"
"Qurate Retail B","3.53B","-","13.46B","1.91K","-1.10","1.32","-","-"
"PS Business Parks Pw","3.53B","-","-","19.96K","-","-","1.30","-"
"PS Business Parks ADR X","3.53B","-","-","26.38K","-","-","1.31","-"
"Littelfuse","3.53B","28.36","1.44B","156.22K","5.12","1.09","1.92","1.32%"
"Jefferies Financial","3.52B","4.22","7.05B","2.62M","3.25","1.43","0.60","4.37%"
"Telecom Argentina ADR","3.52B","-","6.28B","215.95K","-0.15","0.53","0.74","19.08%"
"HUYA","3.51B","56.90","184.24M","3.06M","0.28","-","-","-"
"Shizuoka Bank ADR","3.51B","-","-","755.00","-","-","-","-"
"Momenta","3.51B","-","23.86M","1.15M","-2.92","1.50","-","-"
"Brunswick","3.50B","137.51","4.02B","1.02M","0.35","2.08","0.96","2.01%"
"AerCap Holdings NV","3.50B","3.33","-","2.56M","8.45","2.17","-","-"
"Ultragenyx","3.50B","-","103.71M","561.71K","-7.12","2.18","-","-"
"Elekta ADR","3.50B","-","-","15.51K","-","-","0.19","-"
"Lixil Group Corp","3.50B","-","-","6.38K","-","-","-","-"
"BOK Financial","3.49B","-","1.13B","405.28K","-","1.61","2.04","3.94%"
"Descartes Systems","3.49B","94.16","325.79M","177.20K","0.45","1.00","-","-"
"National Fuel Gas","3.49B","12.35","1.65B","844.98K","3.32","0.66","1.74","4.24%"
"Thomson Reuters","3.49B","95.64","7.39B","710.06K","0.74","0.54","1.52","2.36%"
"Cabot","3.49B","49.59","1.10B","307.81K","2.47","1.21","1.76","1.44%"
"Topdanmark AS","3.48B","-","-","7.55K","-","-","0.12","-"
"Thor Industries","3.48B","17.88","8.98B","1.07M","3.70","2.51","1.60","2.42%"
"PS Business Parks Inc Pa ADR","3.47B","-","-","27.84K","-","-","1.44","-"
"PS Business Parks ADR Pref V","3.47B","-","-","3.51K","-","-","1.43","-"
"Hysan Development Co","3.47B","5.38","87.74M","5.13K","1.19","0.40","0.37","5.76%"
"Flowserve","3.46B","14.63","3.94B","1.60M","1.93","1.85","0.80","2.84%"
"Glow Energy ADR","3.46B","-","-","275.00","-","-","0.77","-"
"Fuji Electric ADR","3.46B","-","-","60.77K","-","-","1.01","-"
"IG Group ADR","3.46B","-","-","619.00","-","-","0.56","-"
