"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"NTT Docomo ADR","93.66B","17.41","102.33B","89.59K","1.67","0.01","0.51","3.63%"
"Total ADR","93.26B","8.43","176.25B","4.03M","4.17","0.67","2.92","8.31%"
"Total","93.26B","-","-","54.41K","-","-","-","5.13%"
"Raytheon Technologies","92.69B","10.11","77.05B","11.05M","6.41","1.42","1.90","2.93%"
"Anheuser Busch ADR","90.07B","10.54","64.92B","3.27M","4.41","1.31","2.01","4.31%"
"Nippon ADR","89.31B","10.51","262.84B","233.38K","2.15","0.12","1.75","3.87%"
"SoftBank Group","89.30B","-","-","1.84M","-","-","0.20","-"
"Softbank Group Corp.","89.30B","29.97","209.52B","23.02K","1.42","1.44","0.31","0.38%"
"Keyence","87.81B","-","12.27B","4.00K","-","-","0.93","0.21%"
"CSL","87.05B","-","-","71.11K","-","-","0.95","-"
"Starbucks","86.19B","27.30","26.97B","14.37M","2.81","0.80","1.64","2.14%"
"RBC","85.69B","9.54","763.07M","1.74M","6.46","0.85","3.05","4.95%"
"3M","85.47B","17.82","32.35B","4.92M","8.52","1.00","5.88","3.87%"
"Qualcomm","85.19B","23.35","19.81B","12.17M","3.37","1.38","2.60","3.30%"
"Nippon Telegraph & Telephone Corp","82.82B","-","-","14.41K","-","-","-","3.39%"
"BHP Billiton ADR","81.53B","8.97","45.84B","2.76M","3.73","1.05","2.86","8.55%"
"Diageo ADR","80.79B","21.49","289.50M","742.34K","6.45","0.62","3.45","2.49%"
"Fidelity National Info","79.82B","137.05","10.33B","4.91M","0.96","0.68","1.40","1.06%"
"Industria de Diseno Textil","79.38B","-","-","251.22K","-","-","0.49","-"
"Lowe’s","78.91B","19.15","72.15B","6.75M","5.47","1.36","2.20","2.10%"
"United Parcel Service","78.88B","18.54","74.09B","5.98M","5.11","0.83","4.04","4.27%"
"CVS Health Corp","77.96B","12.11","256.78B","11.41M","5.08","0.71","2.00","3.25%"
"Meituan Dianping","77.78B","-","-","164.64K","-","-","-","-"
"Sony ADR","77.33B","13.27","190.05B","1.57M","4.84","1.12","0.37","0.57%"
"Sony","77.33B","-","190.05B","87.99K","-","-","-","0.58%"
"China Petrol & Chemical ADR","76.46B","18.60","61.69B","303.49K","2.67","1.10","5.59","11.24%"
"Hermes International","76.38B","-","151.43M","329.00","-","-","-","0.69%"
"Hermes International SA","76.38B","-","-","14.88K","-","-","0.84","-"
"BP ADR","75.67B","-","278.40B","18.59M","-0.98","0.84","2.52","10.59%"
"Boeing","75.27B","-","78.81B","27.26M","-6.05","1.45","8.22","2.60%"
"BlackRock","74.98B","18.61","14.90B","1.00M","26.97","1.29","14.52","2.89%"
"Shopify Inc","74.20B","-","1.58B","3.38M","-1.11","1.53","-","-"
"Toronto Dominion Bank","73.83B","8.84","646.91M","2.68M","4.73","0.82","2.28","4.01%"
"Rio Tinto ADR","73.09B","9.47","43.17B","3.06M","4.88","0.69","5.62","12.17%"
"Mondelez","72.47B","20.12","25.87B","9.53M","2.56","0.63","1.14","2.22%"
"HDFC Bank ADR","72.39B","31.77","-","3.16M","1.36","0.83","0.26","1.00%"
"American Express","71.08B","13.82","44.99B","7.45M","6.60","1.11","1.72","1.88%"
"Altria","70.51B","-","25.84B","13.07M","-0.43","0.48","3.36","8.56%"
"Christian Dior","70.35B","-","-","40.00","-","-","-","1.28%"
"Christian Dior ADR","70.20B","-","-","668.00","-","-","9.96","-"
"Volkswagen Pref ADR","70.19B","3.01","-","159.22K","5.22","-","0.54","-"
"Volkswagen 10 Pref ADR","69.95B","3.01","-","241.29K","5.22","-","0.54","-"
"Cigna","69.61B","14.58","153.74B","2.96M","13.43","0.68","0.04","0.02%"
"ENEL Societa per Azioni","69.58B","-","-","861.10K","-","-","0.33","-"
"Deutsche Telekom AG","69.24B","-","1.77B","6.02K","-","-","-","4.35%"
"Deutsche Telekom ADR","69.24B","16.26","1.77B","294.84K","0.89","0.54","0.65","4.60%"
"S&P Global","68.99B","30.58","6.91B","2.19M","9.58","1.04","2.68","0.92%"
"Becton Dickinson","68.18B","105.43","17.35B","2.46M","2.40","0.96","3.16","1.25%"
"Anthem","68.07B","15.19","104.26B","2.37M","18.48","0.97","3.80","1.35%"
"Intuit","68.02B","43.69","7.13B","1.77M","6.18","1.04","2.12","0.79%"
