"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"LogMeIn","4.16B","-","1.28B","974.89K","-0.34","0.79","0.65","1.52%"
"One Gas Inc","4.16B","22.98","1.52B","373.53K","3.47","0.28","2.16","2.71%"
"Asm Pacific ADR","4.16B","-","-","15.70K","-","-","0.77","-"
"Axon Enterprise","4.16B","5.65K","530.86M","774.59K","0.01","0.73","-","-"
"Cirrus","4.15B","29.33","1.24B","805.78K","2.58","1.03","-","-"
"Thyssenkrupp ADR","4.15B","-","-","74.73K","-","-","0.17","-"
"Thyssenkrupp AG","4.15B","-","1.14B","3.55K","-","-","-","1.14%"
"GEA Group AG","4.14B","-","-","31.54K","-","-","0.46","-"
"Orica ADR","4.14B","-","-","3.17K","-","-","0.38","-"
"Brookfield Property","4.13B","5.38","10.28B","3.77M","1.86","1.58","1.33","13.27%"
"Bellway ADR","4.13B","-","-","0.00","-","-","1.90","-"
"Equity Commonwealth","4.13B","8.81","127.85M","1.16M","3.85","0.29","-","-"
"ManpowerGroup","4.13B","10.77","20.44B","699.62K","6.90","2.04","2.18","2.94%"
"EQT Midstream Partners LP","4.13B","26.55","1.63B","1.92M","0.76","2.04","1.55","7.70%"
"Tribune Media Co","4.13B","12.16","939.03M","1.14M","3.84","0.62","1.00","2.14%"
"Altran Tech ADR","4.12B","-","-","16.50K","-","-","0.03","-"
"HELLA ADR","4.11B","-","-","1.05K","-","-","1.83","-"
"Medipal ADR","4.11B","-","-","1.63K","-","-","-","-"
"Cenovus Energy Inc","4.11B","21.79","421.19M","10.13M","0.17","2.63","0.18","1.43%"
"Emergent Biosolutions","4.11B","71.96","1.11B","534.17K","1.03","1.25","-","-"
"Adaptive Biotechnologies","4.11B","-","85.08M","1.06M","-0.57","-","-","-"
"Pendrell","4.10B","2.76","-","4.00","19.19K","-1.90","-","-"
"MSA Safety","4.10B","-","1.40B","280.97K","-","1.09","1.68","1.49%"
"UOL ADR","4.09B","-","-","3.69K","-","-","0.52","-"
"NWS ADR","4.08B","-","-","450.00","-","-","0.75","-"
"Southwest Gas Hold","4.08B","19.21","3.12B","527.48K","3.95","0.29","2.28","3.01%"
"Guangzhou Properties ADR","4.07B","-","-","2.57K","-","-","3.61","-"
"Cameco","4.07B","74.60","40.98M","3.73M","0.13","0.88","0.06","0.61%"
"Primerica","4.07B","-","2.05B","318.46K","-","1.35","1.60","1.54%"
"Tate & Lyle ADR","4.07B","14.40","62.66M","2.40K","2.46","0.81","1.47","4.19%"
"China Biologic","4.06B","29.50","503.75M","128.44K","3.53","0.79","-","-"
"Grand Canyon Education","4.06B","16.01","778.65M","666.00K","5.37","0.59","-","-"
"Caltex Australia ADR","4.06B","-","-","0.00","-","-","1.04","-"
"SL Green Realty Corp Pref","4.06B","-","-","29.85K","-","-","1.63","-"
"Fortum ADR","4.06B","9.60","-","4.97K","1.49","0.73","0.24","-"
"Eregli Demir Celik ADR","4.05B","-","-","472.00","-","-","0.98","-"
"Iovance Biotherapeutics","4.05B","-","-","2.05M","-1.59","1.20","-","-"
"MOL ADR","4.04B","-","-","5.27K","-","-","0.25","-"
"Life Storage","4.04B","15.80","711.25M","470.26K","5.54","0.35","4.28","4.89%"
"Casino Guichard ADR","4.04B","-","-","1.06K","-","-","1.07","-"
"Nomad Foods","4.02B","25.01","51.13M","1.51M","0.84","0.90","-","-"
"Polaris Industries","4.02B","16.38","6.69B","1.09M","4.33","2.05","2.48","3.50%"
"Absa ADR","4.02B","-","-","3.31K","-","-","1.35","-"
"Fraport Frankfurt Airport ADR","4.02B","-","-","4.27K","-","-","1.99","-"
"Aboitiz Power ADR","4.01B","-","-","0.00","-","-","0.46","-"
"Deckers Outdoor","4.01B","14.58","2.15B","512.03K","10.20","0.90","-","-"
"Jabil Circuit","4.01B","33.44","26.34B","1.76M","0.85","1.26","0.32","1.13%"
"Ares Management","4.00B","35.96","2.24B","992.38K","0.98","1.31","1.36","3.88%"
"Clearway Energy C","4.00B","-","1.03B","864.95K","-0.11","1.14","0.84","4.39%"
"Livongo","4.00B","-","170.20M","2.27M","-0.61","-","-","-"
