"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Xilinx","20.65B","28.04","3.16B","3.67M","3.12","0.98","1.52","1.74%"
"Simon Property Group Inc Pref","20.59B","-","-","1.86K","-","-","4.19","-"
"Nutrien","20.54B","-","20.02B","2.29M","-","-","1.80","-"
"McCormick&Co","20.53B","30.16","5.33B","1.04M","5.20","0.32","2.48","1.58%"
"TD Ameritrade","20.50B","10.93","5.79B","5.10M","3.59","1.24","1.24","3.16%"
"Nokia ADR","20.50B","51.97","510.31M","37.00M","0.07","0.53","0.11","3.13%"
"Fastenal","20.47B","25.96","5.39B","5.83M","1.40","1.14","1.00","2.76%"
"China Railway ADR","20.39B","-","-","1.24K","-","-","0.47","-"
"Cerner","20.31B","43.12","5.69B","2.90M","1.61","0.86","0.72","1.04%"
"Corteva","20.27B","-","13.85B","5.44M","-0.38","-","0.52","1.92%"
"TELUS","20.27B","15.71","320.96M","1.33M","1.04","0.69","0.82","4.42%"
"Edison","20.26B","17.04","12.31B","2.73M","3.45","0.54","2.55","4.34%"
"New Oriental Education&Tech","20.23B","45.91","3.62B","1.83M","2.78","1.31","-","-"
"BAE Systems PLC","20.16B","-","-","262.87K","-","-","1.88","-"
"BAE Systems","20.16B","-","-","11.24K","-","-","-","4.45%"
"DTE Energy","20.08B","-","-","261.87K","-","-","3.25","-"
"Bridgestone ADR","20.05B","8.19","77.56B","121.76K","1.89","0.52","-","1.19%"
"Hilton Worldwide","19.98B","24.89","9.45B","5.66M","3.04","1.29","0.60","0.79%"
"MPLX LP","19.94B","17.67","10.69B","5.86M","1.07","2.07","2.75","14.51%"
"FleetCor","19.89B","24.29","2.65B","1.24M","9.93","1.49","-","-"
"Wolters Kluwer NV","19.87B","-","-","29.93K","-","-","1.29","-"
"Assa Abloy AB","19.85B","-","-","312.01K","-","-","0.10","-"
"Henderson Land","19.82B","-","532.05M","2.61K","-","-","-","3.51%"
"Henderson Land Development","19.82B","-","-","11.60K","-","-","0.23","-"
"Malayan Banking Berhad","19.80B","-","-","11.09K","-","-","0.30","-"
"Kerry Group ADR","19.79B","-","-","8.67K","-","-","0.86","-"
"Olympus Corp","19.77B","-","-","34.00K","-","-","0.50","-"
"Fujitsu ADR","19.75B","13.68","85.64B","31.53K","1.41","0.84","0.30","0.61%"
"Parker-Hannifin","19.65B","15.51","14.22B","1.64M","10.19","1.65","3.52","2.23%"
"CP All ADR","19.64B","-","-","3.99K","-","-","0.38","-"
"Archer-Daniels-Midland","19.57B","14.79","64.66B","3.67M","2.51","0.96","1.44","3.88%"
"Hyundai Motor","19.57B","-","2.33T","0.00","-","-","-","2.95%"
"Hyundai Motor ADR","19.57B","-","-","0.00","-","-","-","-"
"Ford Motor","19.57B","-","155.90B","99.95M","-0.76","1.26","0.60","6.54%"
"Svenska Handelsbanken A","19.55B","11.96","783.93M","2.61K","21.94","1.05","10.75","5.19%"
"Svenska Handelsbanken PK","19.55B","-","-","493.28K","-","-","0.28","-"
"Microchip","19.53B","34.73","5.28B","4.23M","2.53","1.60","1.47","1.67%"
"FUJIFILM Holdings Corp","19.51B","13.26","51.92B","81.95K","3.58","0.23","0.81","1.69%"
"Imperial Brands","19.49B","-","-","18.12K","-","-","-","12.30%"
"Imperial Brands","19.49B","15.88","695.07M","370.14K","1.33","0.83","2.63","12.45%"
"Palo Alto Networks","19.42B","-","3.12B","1.71M","-1.80","1.14","-","-"
"Welltower","19.42B","42.74","5.12B","4.64M","1.20","0.87","3.48","6.79%"
"DTE Energy","19.39B","16.46","12.67B","1.77M","6.30","0.62","4.05","3.90%"
"Simon Property","19.38B","9.80","5.76B","6.13M","6.81","1.40","8.40","12.58%"
"DocuSign","19.31B","-","973.96M","3.11M","-1.18","-","-","-"
"China Gas ADR","19.29B","-","-","11.55K","-","-","1.47","-"
"Hannover Re","19.26B","-","-","10.45K","-","-","2.95","-"
"Sandvik AB ADR","19.26B","-","-","53.91K","-","-","0.31","-"
"Eisai Co ADR","19.24B","22.05","14.56B","6.32K","3.15","0.42","2.24","2.10%"
"PPL","19.11B","10.71","7.77B","6.71M","2.37","0.76","1.66","6.53%"
