"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"China Minsh","36.52B","-","-","4.20K","-","-","0.50","-"
"Keurig Dr Pepper","36.43B","31.83","11.23B","4.12M","0.83","0.66","0.60","2.27%"
"Hyflux ADR","36.40B","-","-","689.00","-","-","0.31","-"
"Hyflux","36.24B","-","-","2.10K","-","-","-","-"
"General Mills","36.12B","17.22","16.77B","5.56M","3.48","0.57","1.96","3.27%"
"DBS Group Holdings ADR","36.05B","-","-","116.59K","-","-","4.36","-"
"China Citic Bank ADR","36.03B","-","-","1.59K","-","-","0.67","-"
"Kraft Heinz","35.90B","19.43","25.18B","10.53M","1.56","1.02","1.60","5.28%"
"Hon Hai Precision ADR","35.84B","-","-","177.07K","-","-","0.25","-"
"China Shenhua Energy Co","35.61B","-","-","78.66K","-","-","0.53","-"
"HCA","35.50B","12.51","51.68B","3.15M","8.79","1.31","1.72","1.56%"
"Sprint","35.44B","-","32.46B","37.44M","-0.66","-0.89","-","-"
"Roper Technologies","35.41B","21.87","5.43B","655.49K","15.59","1.02","2.05","0.60%"
"Murata Manufacturing Inc","35.30B","-","-","229.77K","-","-","0.60","-"
"Sempra Energy","35.12B","20.94","10.82B","2.16M","5.91","0.76","4.18","3.38%"
"Sumitomo Mitsui Financial","35.08B","-","-","29.80K","-","-","-","4.59%"
"Sumitomo Mitsui Financial ADR","35.08B","5.56","59.15B","3.09M","0.95","1.21","0.35","12.99%"
"Baidu","34.91B","127.19","2.36B","4.70M","0.79","1.42","-","-"
"Exelon","34.88B","12.31","34.44B","7.21M","3.01","0.45","1.53","4.13%"
"Las Vegas Sands","34.86B","17.48","11.88B","8.62M","2.75","1.62","3.16","7.77%"
"Westpac Banking ADR","34.76B","8.45","819.81M","828.19K","1.23","1.03","1.24","11.53%"
"Prudential Public ADR","34.66B","18.80","143.99B","955.41K","1.50","1.51","0.92","3.27%"
"Annaly Capital Management Pd Pref","34.62B","-","929.16M","150.19K","-1.59","1.17","1.88","15.67%"
"ENI ADR","34.17B","-","2.21B","534.29K","-2.38","0.74","1.80","9.88%"
"ENI","34.17B","-","2.21B","143.64K","-","-","-","5.27%"
"The Blackstone","34.12B","70.58","7.34B","7.42M","0.74","1.44","1.97","3.77%"
"Lam Research","34.09B","18.36","9.61B","2.46M","13.90","1.34","4.60","1.80%"
"MTR ADR","34.06B","-","-","1.11K","-","-","0.47","-"
"MTR","34.06B","-","1.20B","430.00","-","-","-","2.47%"
"Workday","34.04B","-","3.63B","2.70M","-2.12","1.51","-","-"
"Hoya Corp","34.00B","-","-","38.93K","-","-","-","-"
"Henkel AG & Co KGAA","33.89B","-","-","87.92K","-","-","0.52","-"
"Henkel Ag A","33.89B","-","-","24.49K","-","-","0.52","-"
"Coloplast A","33.53B","-","-","84.87K","-","-","0.25","-"
"Hang Seng Bank","33.48B","-","-","46.37K","-","-","1.19","-"
"Japan Tobacco ADR","33.39B","-","-","137.78K","-","-","-","-"
"Nidec","33.35B","49.60","41.70B","137.38K","0.30","1.20","0.25","0.42%"
"Bank of New York Mellon Corp ADR","33.32B","-","-","80.15K","-","-","1.30","-"
"Sands China ADR","33.26B","-","-","56.67K","-","-","2.55","-"
"DuPont","33.07B","-","21.51B","7.96M","-0.95","-","1.20","2.55%"
"London Stock Exchange ADR","32.99B","-","-","336.82K","-","-","0.22","-"
"Kinder Morgan","32.95B","26.21","12.89B","20.62M","0.58","1.02","1.05","6.89%"
"Japan Tobacco","32.88B","-","48.18B","13.76K","-","-","-","5.63%"
"Eaton","32.82B","16.40","20.87B","3.58M","5.09","1.16","2.92","3.50%"
"Electronic Arts","32.81B","12.02","5.39B","3.92M","9.50","0.90","-","-"
"Japan Post ADR","32.68B","-","-","0.00","-","-","-","-"
"Xcel Energy","32.65B","24.11","11.53B","4.44M","2.64","0.29","1.72","2.71%"
"Singapore Telecommunications PK","32.61B","-","-","156.49K","-","-","1.27","-"
"BOC Hong Kong ADR","32.57B","-","-","19.90K","-","-","3.74","-"
"Ambev SA","32.53B","25.84","-","37.24M","1.44","0.85","0.12","-"
