"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Bank of America Pm","208.12B","-","-","251.25K","-","-","1.34","-"
"National Art Exchange","200.58B","-","-","195.00","-0.25","-","-","-"
"Bank of America","200.32B","9.81","53.87B","88.63M","2.45","1.61","0.72","2.99%"
"Merck&Co","196.12B","19.96","48.08B","14.38M","3.97","0.51","2.44","3.08%"
"Coca-Cola","195.93B","19.78","37.17B","21.36M","2.32","0.56","1.64","3.57%"
"Louis Vuitton ADR","194.84B","24.68","1.18B","247.25K","3.12","0.78","1.48","0.63%"
"Novartis ADR","193.79B","26.24","49.93B","2.91M","3.23","0.54","3.09","3.64%"
"Novartis","193.79B","-","-","108.58K","-","-","-","3.59%"
"Ping An Insurance Company of China","192.74B","-","-","304.95K","-","-","0.91","-"
"Walt Disney","190.51B","18.23","75.13B","20.71M","5.93","1.08","1.76","1.63%"
"Netflix","182.72B","90.16","21.40B","8.71M","4.66","0.97","-","-"
"Exxon Mobil","182.63B","14.59","255.58B","39.29M","3.18","1.36","3.48","7.49%"
"PepsiCo","180.86B","25.57","68.16B","6.87M","5.17","0.61","3.82","2.89%"
"NVIDIA","174.01B","64.64","10.92B","15.57M","4.52","1.33","0.64","0.22%"
"Cisco","173.66B","15.39","51.55B","32.69M","2.75","0.95","1.44","3.40%"
"Agricultural Bank of China PK","171.47B","-","-","55.85K","-","-","0.63","-"
"Agricultural Bank Of China","171.47B","5.45","11.79B","116.16K","0.57","-","-","6.04%"
"Comcast","168.92B","14.91","108.69B","29.05M","2.52","0.96","0.92","2.44%"
"Toyota Motor ADR","168.91B","7.66","672.77B","290.74K","16.14","0.66","4.11","3.25%"
"Toyota Motor","168.91B","-","672.77B","21.39K","-","-","-","3.22%"
"Chevron","167.13B","62.06","140.16B","15.07M","1.48","1.33","5.16","5.61%"
"Adobe","165.82B","53.54","11.66B","4.11M","6.61","0.90","-","-"
"China Mobile","164.11B","9.58","16.41B","5.35K","8.04","0.44","3.51","3.87%"
"China Mobile ADR","164.11B","10.84","16.41B","1.57M","3.69","0.57","2.08","5.22%"
"Oracle","163.36B","16.68","39.77B","15.28M","3.18","0.88","0.96","1.81%"
"L’Oreal ADR","162.52B","-","-","153.69K","-","-","0.86","-"
"Abbott Labs","158.82B","46.22","32.10B","10.39M","1.99","0.97","1.44","1.56%"
"Eli Lilly","147.12B","25.64","23.09B","4.84M","6.03","0.26","2.96","1.91%"
"Novo Nordisk ADR","146.05B","26.35","2.68B","2.32M","2.40","0.46","1.23","1.94%"
"PayPal Holdings Inc","143.37B","59.69","17.77B","10.19M","2.07","1.12","-","-"
"SAP ADR","141.67B","30.39","615.60M","994.06K","3.90","0.95","1.71","1.44%"
"SAP","141.67B","-","615.60M","17.96K","-","-","-","1.47%"
"Salesforce.com","140.05B","761.83","17.10B","7.85M","0.21","1.07","-","-"
"Bristol-Myers Squibb","136.45B","27.68","26.15B","16.26M","2.20","0.72","1.80","2.96%"
"McDonald’s","135.81B","24.57","20.84B","5.70M","7.63","0.68","5.00","2.67%"
"Amgen","135.76B","18.58","23.36B","3.39M","12.88","0.98","6.40","2.68%"
"AstraZeneca ADR","134.53B","101.21","24.38B","4.76M","0.52","0.59","1.40","2.68%"
"AstraZeneca","134.53B","-","-","6.95K","-","-","-","2.62%"
"Unilever ADR","134.29B","22.11","1.14B","1.68M","2.35","0.52","1.81","3.48%"
"Royal Dutch Shell ADR","133.89B","13.65","321.17B","9.62M","2.43","0.84","3.76","11.35%"
"Royal Dutch Shell B ADR","133.89B","13.65","321.17B","8.86M","2.43","0.84","3.76","11.35%"
"Royal Dutch Shell A","133.89B","-","-","137.48K","-","-","-","5.62%"
"Costco","133.39B","35.85","158.35B","3.89M","8.45","0.71","2.80","0.92%"
"Nike","133.00B","32.26","41.27B","10.38M","2.70","0.76","0.98","1.12%"
"Unilever NV ADR","130.92B","21.07","1.14B","2.93M","2.35","0.51","1.81","3.65%"
"Thermo Fisher Scientific","130.32B","36.44","25.65B","2.40M","9.18","1.05","0.88","0.26%"
"Tesla","129.82B","-","24.58B","20.76M","-0.87","1.16","-","-"
"Medtronic","127.53B","24.99","31.06B","7.61M","3.91","0.70","2.16","2.21%"
"China Merchants Bank Co","125.31B","-","-","42.91K","-","-","0.68","-"
"ASML Holding","124.71B","20.00","-","4.85K","3.82","1.47","0.90","0.76%"
