"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Nucor","12.35B","-","28.69B","3.21M","-","1.47","1.61","3.91%"
"Yandex","12.34B","62.23","4.07B","3.61M","0.61","1.64","-","-"
"Ryanair ADR","12.32B","12.49","188.63M","958.77K","5.08","1.26","-","-"
"Thai Beverage ADR","12.29B","-","-","1.60K","-","-","1.52","-"
"Insulet","12.28B","1.08K","738.21M","665.60K","0.19","0.93","-","-"
"Duke","12.28B","31.43","973.76M","2.95M","1.10","0.67","0.94","2.71%"
"Freeport-McMoran","12.28B","-","18.19B","30.92M","-","2.25","0.20","1.62%"
"Seagate","12.28B","7.43","10.36B","3.35M","6.72","1.09","2.60","5.21%"
"Atmos Energy","12.25B","22.89","3.78B","1.08M","4.45","0.34","2.30","2.26%"
"Teladoc Inc","12.22B","-","605.54M","3.39M","-1.36","0.51","-","-"
"Kansas City Southern","12.19B","21.89","2.92B","1.48M","5.96","0.88","1.60","1.23%"
"Wirecard ADR","12.18B","-","-","17.39K","-","-","0.11","-"
"HKT ADR","12.18B","-","-","800.00","-","-","0.90","-"
"Jack Henry&Associates","12.16B","44.76","1.63B","716.68K","3.65","0.59","1.72","1.05%"
"Carvana","12.15B","-","3.94B","3.63M","-2.46","-","-","-"
"ZALANDO ADR","12.12B","-","-","19.67K","-","-","-","-"
"Western Digital","12.11B","-","15.58B","6.42M","-4.26","1.68","2.00","4.34%"
"Ulta Beauty","12.08B","17.93","7.40B","1.27M","12.16","1.45","-","-"
"Shinhan","12.07B","4.42","308.46B","199.07K","5.77","0.99","1.43","2.95%"
"New World ADR","12.07B","-","-","8.53K","-","-","0.13","-"
"Straumann ADR","12.03B","-","-","5.98K","-","-","0.30","-"
"Godaddy Inc","12.02B","89.87","2.99B","2.09M","0.76","0.84","-","-"
"EPAM Systems","12.02B","48.81","2.29B","423.91K","4.53","1.32","-","-"
"Vodacom Group Ltd PK","12.02B","-","-","56.81K","-","-","0.58","-"
"Ono Pharmaceutical Co","12.01B","-","-","7.88K","-","-","-","-"
"Expeditors Washington","12.00B","21.12","8.18B","1.90M","3.39","0.74","1.00","1.40%"
"Tradeweb Markets","11.99B","53.09","775.57M","1.03M","1.01","-","0.32","0.60%"
"STERIS","11.99B","31.03","2.98B","816.00K","4.59","0.75","1.48","1.04%"
"Teva ADR","11.99B","-","16.89B","21.72M","-0.91","1.60","-","-"
"Omnicom","11.97B","9.38","14.89B","2.90M","6.08","0.77","2.60","4.56%"
"Zebra","11.97B","24.04","4.47B","593.32K","9.55","1.64","-","-"
"Pinterest","11.94B","-","1.14B","14.02M","-2.97","-","-","-"
"Sompo ADR","11.91B","-","-","14.02K","-","-","-","-"
"Veolia ADR","11.86B","15.34","598.15M","107.11K","1.40","0.56","1.57","7.34%"
"Tractor Supply","11.85B","21.38","8.49B","1.85M","4.74","0.95","1.40","1.38%"
"Ashtead Gro","11.85B","-","-","16.83K","-","-","2.04","-"
"OMRON ADR","11.85B","-","-","16.99K","-","-","-","-"
"KB Financial","11.83B","4.07","381.47B","282.03K","6.92","0.96","1.70","6.34%"
"Carrefour SA PK","11.82B","-","-","373.63K","-","-","0.10","-"
"Line ADR","11.81B","-","5.16B","40.74K","-1.78","0.72","-","-"
"Burlington Stores","11.81B","26.40","7.29B","1.04M","6.92","0.70","-","-"
"Masimo","11.80B","58.01","975.79M","543.50K","3.69","0.88","-","-"
"Swiss Life ADR","11.75B","-","-","11.00K","-","-","0.78","-"
"Lennar B","11.75B","7.94","26.76B","134.06K","6.31","1.51","0.50","1.00%"
"Ingersoll Rand","11.73B","38.17","2.45B","5.71M","0.76","-","2.12","1.58%"
"Teledyne Technologies","11.72B","29.96","3.20B","279.42K","10.87","1.00","-","-"
"Coupa Software","11.70B","-","389.71M","1.78M","-1.45","1.30","-","-"
"Bouygues ADR","11.69B","-","-","0.00","-","-","0.38","-"
"FMC","11.64B","22.56","4.61B","1.16M","4.07","1.26","1.76","1.92%"
"Rakuten ADR","11.61B","-","-","64.25K","-","-","-","-"
