"Name","Market Cap","P/E Ratio","Revenue","Average Vol. (3m)","EPS","Beta","Dividend","Yield"
"Tokyo Electric Power Co., Inc.","5.23B","-","-","15.39K","-","-","-","-"
"Tokyo Electric Power Co","5.23B","-","-","4.63K","-","-","-","-"
"Jones Lang LaSalle","5.22B","10.07","17.98B","554.05K","10.48","1.70","0.86","0.81%"
"Bemis","5.22B","22.68","1000.00M","9.40M","2.52","0.77","1.28","2.24%"
"PTT Global ADR","5.22B","-","-","600.00","-","-","0.32","-"
"Bank the Philippine Islands ADR","5.22B","-","-","4.51K","-","-","0.70","-"
"Hyatt","5.22B","7.76","5.02B","1.71M","7.25","1.44","0.80","1.42%"
"CNFinance","5.21B","4.08","68.17M","26.70K","1.02","-","-","-"
"Steel Dynamics","5.21B","8.08","10.22B","2.75M","3.00","1.44","1.00","4.12%"
"Newell Brands","5.20B","32.10","11.43B","4.79M","0.43","1.05","0.92","6.63%"
"Zions Bancorporation Pa ADR","5.18B","-","-","4.56K","-","-","1.01","-"
"Zions Bancorporation Ph ADR","5.18B","-","-","15.30K","-","-","1.44","-"
"Zions Bancorporation Pg ADR","5.18B","-","-","16.13K","-","-","1.58","-"
"Norsk Hydro ASA ADR","5.18B","-","3.29B","216.03K","-0.09","1.20","0.11","2.62%"
"TravelSky ADR","5.17B","-","-","3.63K","-","-","0.41","-"
"Herbalife","5.16B","17.07","4.88B","1.69M","2.19","0.96","-","-"
"Douglas Emmett","5.16B","14.71","936.68M","1.42M","2.07","0.77","1.12","3.67%"
"Westlake Chemical","5.16B","13.37","8.12B","936.89K","3.25","1.68","1.05","2.42%"
"Pilgrims Pride","5.14B","12.48","11.76B","1.17M","1.76","1.05","-","-"
"People’s United","5.14B","9.98","1.20B","5.35M","1.27","1.28","0.72","5.67%"
"Euler Hermes","5.13B","16.25","-","131.69K","7.51","0.45","-","-"
"Singapore Airlines","5.11B","-","371.14M","9.82K","-","-","-","4.04%"
"Singapore Airlines","5.11B","-","-","3.19K","-","-","0.43","-"
"Interconnection Electric","5.10B","-","-","3.00","-","-","3.85","-"
"Sumitomo Chemical ADR","5.10B","-","-","38.86K","-","-","-","-"
"AB Electrolux","5.10B","21.37","4.68B","11.23K","1.29","1.29","1.76","6.39%"
"KT","5.10B","9.42","535.53B","1.06M","1.04","0.84","-","4.53%"
"Dunkin Brands","5.09B","21.74","1.37B","1.49M","2.89","0.89","1.61","2.56%"
"Oji ADR","5.09B","-","-","880.00","-","-","-","-"
"Robert Half","5.09B","12.56","6.07B","1.60M","3.76","1.58","1.36","2.88%"
"Zions","5.07B","10.02","1.56B","4.05M","3.15","1.68","1.36","4.30%"
"JBG SMITH Properties","5.07B","71.17","647.78M","761.07K","0.49","-","0.90","2.60%"
"Autoliv","5.07B","12.34","8.22B","797.45K","4.86","1.83","2.48","3.34%"
"Hitachi Construction Machinery ADR","5.06B","-","-","1.74K","-","-","-","-"
"MKS Instruments","5.05B","28.08","1.97B","457.58K","3.57","1.50","0.80","0.80%"
"Whitbread ADR","5.05B","-","-","278.94K","-","-","0.31","-"
"Mediobanca ADR","5.03B","-","-","131.53K","-","-","0.52","-"
"Healthcare of America","5.01B","172.15","692.04M","2.11M","0.14","0.57","1.26","5.12%"
"Owl Rock Capital","5.00B","9.03","718.00M","1.26M","1.40","-","1.24","9.79%"
"Spark New Zealand ADR","5.00B","18.94","79.27M","62.79K","0.71","0.66","0.86","6.45%"
"Turkiye Garanti Bankasi AS","5.00B","-","-","232.54K","-","-","0.10","-"
"First American","5.00B","7.94","6.31B","1.35M","5.81","1.05","1.76","3.82%"
"Momo Inc","5.00B","12.86","374.33M","4.08M","1.87","1.85","-","-"
"NewYork Community Bancorp","4.99B","-","947.08M","5.28M","-","0.97","0.68","6.26%"
"Studio City","4.99B","28.60","626.73M","1.71K","0.56","-","-","-"
"Cobham ADR","4.99B","-","-","2.67K","-","-","0.01","-"
"Sabesp ADR","4.99B","8.53","395.64M","1.70M","0.90","1.11","0.25","3.29%"
"Woori Financial","4.99B","3.04","152.23B","91.23K","6.80","0.83","3.44","16.65%"
"Nielsen","4.98B","-","6.49B","4.68M","-1.34","1.24","0.24","1.63%"
"Quanta Services","4.98B","13.34","12.11B","1.88M","2.72","1.15","0.20","0.55%"
